26184141,Apr/07/2017 07:56,leela,1A - Theatre Square,Python 3,Accepted,62 ms,5400 KB,2017-04-07 07:56:00,1
77672738,Apr/22/2020 19:22,Dinara01022000,2A - Winner,Python 3,Accepted,218 ms,300 KB,2020-04-22 19:22:00,2
77675658,Apr/22/2020 19:50,Dinara01022000,3A - Shortest path of the king,Python 3,Accepted,218 ms,300 KB,2020-04-22 19:50:00,3
23413326,Dec/30/2016 08:52,r.mustapha.amine,4A - Watermelon,Python 3,Accepted,154 ms,4500 KB,2016-12-30 08:52:00,4
63197326,Oct/22/2019 22:03,vishnutheerthep,5A - Chat Servers Outgoing Traffic,Python 3,Accepted,218 ms,300 KB,2019-10-22 22:03:00,5
15913452,Feb/09/2016 16:17,not_bot_but_POT,6A - Triangle,Python 3,Accepted,154 ms,0 KB,2016-02-09 16:17:00,6
77677476,Apr/22/2020 20:08,Dinara01022000,7A - Kalevitch and Chess,Python 3,Accepted,218 ms,0 KB,2020-04-22 20:08:00,7
15258528,Jan/08/2016 21:09,merolish,8A - Train and Peter,Python 3,Accepted,184 ms,200 KB,2016-01-08 21:09:00,8
62523601,Oct/13/2019 19:33,Soumya_123,9A - Die Roll,Python 3,Accepted,218 ms,0 KB,2019-10-13 19:33:00,9
79202306,May/06/2020 19:50,coderemite,10A - Power Consumption Calculation,Python 3,Accepted,218 ms,6800 KB,2020-05-06 19:50:00,10
79141476,May/06/2020 16:03,coderemite,11A - Increasing Sequence,Python 3,Accepted,218 ms,300 KB,2020-05-06 16:03:00,11
69686110,Jan/28/2020 20:03,cs1g,12A - Super Agent,Python 3,Accepted,248 ms,0 KB,2020-01-28 20:03:00,12
79405177,May/08/2020 21:13,coderemite,13A - Numbers,Python 3,Accepted,218 ms,6500 KB,2020-05-08 21:13:00,13
79010123,May/05/2020 02:30,coderemite,14A - Letter,Python 3,Accepted,186 ms,300 KB,2020-05-05 02:30:00,14
22062238,Nov/05/2016 21:00,Amores,15A - Cottage Village,Python 3,Accepted,154 ms,300 KB,2016-11-05 21:00:00,15
78997551,May/04/2020 21:54,coderemite,16A - Flag,Python 3,Accepted,218 ms,0 KB,2020-05-04 21:54:00,16
51935830,Mar/28/2019 15:26,vjudge1,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-03-28 15:26:00,17
73151499,Mar/13/2020 18:51,sairahul2001,18A - Triangle,Python 3,Accepted,280 ms,300 KB,2020-03-13 18:51:00,18
9376331,Jan/07/2015 05:06,SteelRaven,19A - World Football Cup,Python 3,Accepted,154 ms,0 KB,2015-01-07 05:06:00,19
70942192,Feb/13/2020 11:47,zhanghengrui,20A - BerOS file system,Python 3,Accepted,280 ms,0 KB,2020-02-13 11:47:00,20
60185880,Sep/06/2019 21:28,mb1te,21A - Jabber ID,Python 3,Accepted,171 ms,800 KB,2019-09-06 21:28:00,21
78991900,May/04/2020 20:37,coderemite,22A - Second Order Statistics,Python 3,Accepted,218 ms,0 KB,2020-05-04 20:37:00,22
9376401,Jan/07/2015 05:32,SteelRaven,23A - You're Given a String...,Python 3,Accepted,156 ms,0 KB,2015-01-07 05:32:00,23
79669391,May/10/2020 18:47,hackerbaba,24A - Ring road,Python 3,Accepted,218 ms,6500 KB,2020-05-10 18:47:00,24
30629662,Sep/23/2017 07:12,winstontsai,25A - IQ test,Python 3,Accepted,122 ms,0 KB,2017-09-23 07:12:00,25
55073000,Jun/04/2019 10:13,iMu_21,26A - Almost Prime,Python 3,Accepted,216 ms,0 KB,2019-06-04 10:13:00,26
79658116,May/10/2020 16:41,anjit_6294,27A - Next Test,Python 3,Accepted,278 ms,6900 KB,2020-05-10 16:41:00,27
35772476,Feb/27/2018 21:49,Qumeric,28A - Bender Problem,Python 3,Accepted,156 ms,5900 KB,2018-02-27 21:49:00,28
79414941,May/08/2020 23:39,coderemite,29A - Spit Problem,Python 3,Accepted,218 ms,6500 KB,2020-05-08 23:39:00,29
9383295,Jan/08/2015 04:50,SteelRaven,30A - Accounting,Python 3,Accepted,124 ms,0 KB,2015-01-08 04:50:00,30
72352527,Mar/03/2020 19:36,cs1g,31A - Worms Evolution,Python 3,Accepted,218 ms,0 KB,2020-03-03 19:36:00,31
73921389,Mar/22/2020 01:30,coderemite,32A - Reconnaissance,Python 3,Accepted,624 ms,300 KB,2020-03-22 01:30:00,32
52875700,Apr/16/2019 22:28,kp_2141,33A - What is for dinner?,Python 3,Accepted,218 ms,0 KB,2019-04-16 22:28:00,33
20887579,Sep/24/2016 15:19,Amores,34A - Reconnaissance 2,Python 3,Accepted,124 ms,0 KB,2016-09-24 15:19:00,34
79416425,May/09/2020 00:08,coderemite,35A - Shell Game,Python 3,Accepted,216 ms,6500 KB,2020-05-09 00:08:00,35
22026986,Nov/04/2016 07:59,Amores,36A - Extra-terrestrial Intelligence,Python 3,Accepted,156 ms,0 KB,2016-11-04 07:59:00,36
67739240,Dec/27/2019 19:16,jvti,37A - Towers,Python 3,Accepted,248 ms,300 KB,2019-12-27 19:16:00,37
69675628,Jan/28/2020 17:12,stars_in_the_sky,38A - Army,Python 3,Accepted,218 ms,0 KB,2020-01-28 17:12:00,38
66011089,Nov/30/2019 05:32,MinecraftFuns,39A - C*++ Calculations,Python 3,Accepted,310 ms,1000 KB,2019-11-30 05:32:00,39
72679271,Mar/07/2020 20:13,cs1g,40A - Find Color,Python 3,Accepted,218 ms,0 KB,2020-03-07 20:13:00,40
4333632,Aug/24/2013 22:03,hl_joker,41A - Translation,Python 3,Accepted,124 ms,0 KB,2013-08-24 22:03:00,41
15101288,Dec/30/2015 17:28,merolish,42A - Guilty --- to the kitchen!,Python 3,Accepted,124 ms,0 KB,2015-12-30 17:28:00,42
63948928,Oct/31/2019 23:08,Soumya_123,43A - Football,Python 3,Accepted,248 ms,0 KB,2019-10-31 23:08:00,43
