,0,10,100,1000,10000,1018,103,104,105,106,109,20,200,2000,50,500,64,absolute,appear,array,bit,cards,case,cell,character,characters,chronological,cin,colors,column,columns,consider,consist,consisting,consists,contain,containing,contains,coordinate,coordinates,correct,corresponding,correspondingly,cout,current,data,day,days,denotes,denoting,described,describes,describing,description,descriptions,different,digit,digits,distinct,does,doesn,element,elements,end,english,equal,equals,exactly,exceed,exceeding,exists,file,follow,following,format,friends,game,given,grid,group,guaranteed,house,i64d,inclusive,increasing,initial,input,integer,integers,latin,leading,left,length,lengths,letter,letters,lines,list,lld,located,lowercase,maximum,means,mm,names,needs,negative,nn,non,note,number,numbered,numbers,order,pair,pairs,participants,people,person,point,points,position,positions,positive,possible,problem,problems,read,representing,represents,required,respectively,right,row,rows,second,separated,sequence,set,single,size,sizes,small,space,spaces,square,stands,start,starts,statement,streams,string,strings,sum,symbols,table,th,time,total,type,uppercase,use,value,values,vasya,vertices,wants,word,words,write,written,zero,zeros
1,0,0,0,0,0,0,0,0,0,0,0.47065244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180217316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318742203,0.284846973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48233216,0,0,0,0,0,0,0,0,0,0,0.575003736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.243712821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127066353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617645557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224736501,0.200837892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340079353,0,0,0,0,0,0,0,0,0,0,0.405419573,0,0,0,0,0,0,0,0,0,0,0,0,0.28559992,0,0,0,0,0,0,0.300904478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0.631050866,0.446255894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170875646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302220013,0.270081762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457330189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0.293783459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678928337,0,0,0,0,0,0,0.153172051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270908467,0.242099904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241747795,0,0,0,0,0,0,0,0,0,0,0,0,0.488712756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0.591701935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226568325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320910198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357587384,0,0.606385622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0.20922262,0,0,0,0,0,0,0,0.284881743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218167883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172415344,0.154505928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344329167,0,0,0,0,0,0,0,0,0,0,0,0,0.696089313,0,0,0,0,0,0,0,0,0,0,0,0.209583839,0.245181862,0,0,0,0,0,0,0.258320522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0.712189549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272704183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482319534,0.431029397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0.236601064,0,0,0,0,0,0,0,0,0,0,0,0,0.427043244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172824853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136581315,0.122394112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462547031,0,0,0,0,0,0,0,0,0,0,0.275708623,0,0,0,0,0,0,0,0,0,0,0,0.166024878,0.194224368,0.291748398,0,0.179065176,0,0,0,0,0.305080554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364201626,0,0
262,0,0,0.212499065,0,0,0,0,0,0,0,0.289343018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221584412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31385101,0,0,0,0,0,0,0,0.242454027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593046719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212865941,0.249021433,0,0,0.229585335,0,0,0,0,0.391153784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0.242661367,0,0.462907204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177251591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296467224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15674843,0,0.251058233,0,0,0,0,0,0,0,0.193945782,0.418058414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237197359,0,0,0,0,0,0,0,0,0,0,0.282770628,0,0,0,0,0,0,0,0,0,0,0,0,0.199199234,0,0,0.183651754,0,0,0,0,0.312894892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
