status,problem,source
1,1A - Theatre Square,"n , m , a = map ( int , input (). split ()) print (- n // a *(- m // a ))"
2,2A - Winner,"n , k , s = eval ( input ()),{},[] for  i  in  range ( n ): a , b = input (). split ( ' ' ); k [ a ]= k . get ( a , 0 )+ int ( b ); s . append ([ a , k [ a ]]) n = max ( k . values ()) for  i  , j  in  s :      if  k [ i ]== n  and  int ( j )>= n : print ( i ); break"
3,3A - Shortest path of the king,"L = input R = print a = L ()+ L () a , b =( ord ( a [ i ])- ord ( a [ i + 2 ]) for  i  in ( 0 , 1 )) R ( max ( a ,- a , b ,- b )) while  a != 0   or  b != 0 :  r = ''   if  a < 0 : r = 'R' ; a += 1   if  a > 0 : r = 'L' ; a -= 1   if  b < 0 : r += 'U' ; b += 1   if  b > 0 : r += 'D' ; b -= 1  R ( r )"
4,4A - Watermelon,"print ( ""YNEOS"" [ 2 ** int ( input ())% 24 < 9 :: 2 ])"
5,5A - Chat Servers Outgoing Traffic,import  sys s = 0 ; n = 0 for  i  in  sys . stdin :      if  i [ 0 ]== '+' : n += 1      elif  i [ 0 ]== '-' : n -= 1      else : s += n *( len ( i )- i . find ( ':' )- 2 ) print ( s )
6,6A - Triangle,"a , b , c , d = sorted ( map ( int , input (). split ())) x = min ( d - b - c , c - a - b ) print ([ ""SEGMENT"" , ""IMPOSSIBLE"" , ""TRIANGLE"" ][( x > 0 )-( x < 0 )])"
7,7A - Kalevitch and Chess,t  =   [ input (). count ( 'B' )   for  i  in  range ( 8 )] print ( min ( t )   %   8   +  t . count ( 8 ))
8,8A - Train and Peter,"def  f ( a ,  b ,  c ):     i ,  j  =  a . find ( b ),  a . rfind ( c )      return  i  !=   - 1   and  j  !=   - 1   and  i  +  len ( b )   <=  j a ,  b ,  c  =  input (),  input (),  input () print (( 'fantasy' ,   'backward' ,   'forward' ,   'both' )[ 2   *  f ( a ,  b ,  c )   +  f ( a [::- 1 ],  b ,  c )])"
9,9A - Die Roll,"print ([ '1/1' , '5/6' , '2/3' , '1/2' , '1/3' , '1/6' ][ max ( map ( int , input (). split ()))- 1 ])"
10,10A - Power Consumption Calculation,"I = lambda : map ( int , input (). split ()) n , a , b , c , u , v = I () exec ( 'x=[' + n * '[*I()],' + ']' ) r = 0 for  i  in  range ( n ):   r += a *( x [ i ][ 1 ]- x [ i ][ 0 ])    if  i :     t = x [ i ][ 0 ]- x [ i - 1 ][ 1 ]     s = min ( t , u ); r += s * a ; t -= s     s = min ( t , v ); r += s * b ; t -= s     r += t * c print ( r )"
11,11A - Increasing Sequence,"I = lambda : map ( int , input (). split ()) n , d = I () a =* I (), x = a [ 0 ] r = 0 for  y  in  a [ 1 :]:   z = 0 --( x + 1 - y )// d    if  z >= 0 :     r += z     y += z * d   x = y print ( r )"
12,12A - Super Agent,I  =  input   s  =  I ()+ I ()+ I ()   print ( 'YES'   if  s == s [::- 1 ]   else   'NO' )
13,13A - Numbers,"import  math a = int ( input ()) r = 0 for  b  in  range ( 2 , a ):   c = a    while  c : r += c % b ; c //= b a -= 2 d = math . gcd ( r , a ) print ( f '{r//d}/{a//d}' )"
14,14A - Letter,"n , m = map ( int , input (). split ()) A =[ input () for  _  in [ 0 ]* n ] a = b = 1E2 ; c = d =- 1 for  y  in  range ( n ):    for  x  in  range ( m ):      if  A [ y ][ x ]== '*' :       a = min ( a , y ); b = min ( b , x )       c = max ( c , y ); d = max ( d , x ) print (*[ x [ b : d + 1 ] for  x  in  A [ a : c + 1 ]], sep = '\n' )"
15,15A - Cottage Village,"I = lambda : list ( map ( int , input (). split ())) n , t = I () x = sorted ( I () for  _  in '0' * n ) a = 0 for  i  in  range ( n - 1 ): 	l = x [ i ][ 0 ]+ t +( x [ i ][ 1 ]+ x [ i + 1 ][ 1 ])/ 2 ; r = x [ i + 1 ][ 0 ] 	 if  l == r : a += 1 	 if  l < r : a += 2 print ( a + 2 )"
16,16A - Flag,"a =[* open ( 0 )][ 1 :] r = any ( len ({* b })> 2   for  b  in  a ) print ( 'YNEOS' [ r | any ( x [ 0 ]== y [ 0 ]   for  x , y  in  zip ( a , a [ 1 :])):: 2 ])"
17,17A - Noldbach problem,"n , k = map ( int , input (). strip (). split ()) v  =   [] for  i  in  range ( 2 , n + 1 ): 	 if  all ( i % j != 0   for  j  in  v ): 		v . append ( i ) c = 0 for  i  in  range ( len ( v )- 1 ): 	 if  v [ i ]+ v [ i + 1 ]+ 1   in  v : 		c += 1 if ( c >= k ): 	 print ( ""YES"" ) else : 	 print ( ""NO"" )"
18,18A - Triangle,"s  =  list ( map ( int , input (). split ()))     def  dis ( a , b , c , d ): 	  return   (( a - c )** 2   +   ( b - d )** 2 )   def  ass ( s ): 	a , b , c , d , e , f  =  s 	AB  =  dis ( a , b , c , d ) 	BC  =  dis ( c , d , e , f ) 	CA  =  dis ( e , f , a , b )   	x  =  max ( AB , BC , CA ) 	 	 return  x  ==  AB + BC + CA - x  and  AB  and  BC  and  CA   if  ass ( s ): 	 print ( ""RIGHT"" )   	exit ()   for  i  in  range ( 6 ): 	s [ i ]   -=   1 	 if  ass ( s ):   print ( ""ALMOST"" ); exit () 	s [ i ]   +=   2 	 if  ass ( s ):   print ( ""ALMOST"" ); exit () 	s [ i ]   -= 1   print ( ""NEITHER"" )  "
19,19A - World Football Cup,"n  =  int ( input ()) d  =  dict () for  i  in  range ( n ): 	d [ input ()]   =   [ 0 ,   0 ,   0 ] for  i  in  range ( n  *   ( n  -   1 )   //   2 ): 	t ,  s  =  input (). split () 	t1 ,  t2  =  t . split ( '-' ) 	s1 ,  s2  =   [ int ( x )   for  x  in  s . split ( ':' )] 	a  =  d [ t1 ] 	b  =  d [ t2 ] 	a [ 2 ]   +=  s1 	b [ 2 ]   +=  s2 	a [ 1 ]   +=  s1  -  s2 	b [ 1 ]   +=  s2  -  s1 	 if  s1  ==  s2 : 		a [ 0 ]   +=   1 		b [ 0 ]   +=   1 	 elif  s1  <  s2 : 		b [ 0 ]   +=   3 	 else : 		a [ 0 ]   +=   3 print ( '\n' . join ( sorted ( b  for  a ,  b  in  sorted (( b ,  a )   for  a ,  b  in  d . items ())[ n  //   2 :   ])))"
20,20A - BerOS file system,"print ( '/'   +   '/' . join ( filter ( None ,  input (). split ( '/' ))))"
21,21A - Jabber ID,"import  re   s  =  input () reg  =  re . compile ( r '^\w{1,16}@(\w{1,16}\.)*\w{1,16}(/\w{1,16})?$' )   if  reg . match ( s ): 	 print ( ""YES"" ) else : 	 print ( ""NO"" )"
22,22A - Second Order Statistics,"print (( sorted ({* map ( int ,[* open ( 0 )][ 1 ]. split ())})+[ 'NO' ])[ 1 ])"
23,23A - You're Given a String...,"s  =  input () for  i  in  range ( len ( s ),   0 ,   - 1 ): 	 for  j  in  range ( len ( s )   -  i  +   1 ): 		 if  s [ j :  j  +  i ]   in  s [ j  +   1 :]: 			 print ( i ) 			exit () print ( 0 )"
24,24A - Ring road,"n  =  int ( input ()) source ,  dest  =   [],   [] sum1 ,  sum2  =   0 ,   0 for  i  in  range ( n ): 	t ,  s  ,  w =  map ( int ,  input (). split ()) 	 if ( t  in  source  or  s  in  dest ): 		t ,  s  =  s ,  t 		sum1  += w 	 else : 		sum2 += w 	source . append ( t ) 	dest . append ( s ) print ( min ( sum2 ,  sum1 ))"
25,25A - IQ test,input (); l =[ int ( x )% 2   for  x  in  input (). split ()] print ( l . index ( sum ( l )== 1 )+ 1 )
26,26A - Almost Prime,"n = int ( input ()) x =[ 0 ]*( n + 1 ) for  i  in  range  ( 2 , n + 1 ):      if  x [ i ]== 0 :          for  j  in  range ( 2 * i , n + 1 , i ):             x [ j ]+= 1 print ( x . count ( 2 ))"
27,27A - Next Test,"input () print ( min ( set ( range ( 1 , 3002 ))- set ( map ( int , input (). split ()))))"
28,28A - Bender Problem,"from  collections  import  defaultdict   n ,  m  =  map ( int ,  input (). split ()) tmp  =  list ( tuple ( map ( int ,  input (). split ()))   for  _  in  range ( n )) nails  =   [ abs ( a  -  c )   +  abs ( b  -  d )   for   ( a ,  b ),   ( c ,  d )   in  zip ( tmp ,  tmp [ 2 :]   +  tmp [: 2 ])] segments  =  defaultdict ( list ) for  i ,  s  in  enumerate ( map ( int ,  input (). split ()),   1 ):     segments [ s ]. append ( i ) for  shift  in   - 1 ,   0 :     res  =   [- 1 ]   *  n      for  nailidx  in  range ( shift ,  n  +  shift ,   2 ):         nail  =  nails [ nailidx ]          if  nail  in  segments  and  segments [ nail ]:             res [( nailidx  +   1 )   %  n ]   =  segments [ nail ]. pop ()          else :              break      else :          print ( ""YES"" )          print ( "" "" . join ( map ( str ,  res )))         exit ( 0 ) print ( ""NO"" )"
29,29A - Spit Problem,"a =[[* map ( int , s . split ())] for  s  in [* open ( 0 )][ 1 :]] print ( 'YNEOS' [ all ( u + v != w  or  w + x != u  for  u , v  in  a  for  w , x  in  a ):: 2 ])"
30,30A - Accounting,"a ,  b ,  n  =   [ int ( x )   for  x  in  input (). split ()] for  x  in  range (- 1000 ,   1001 ): 	 if  a  *  pow ( x ,  n )   ==  b : 		 print ( x ) 		exit () print ( 'No solution' )"
31,31A - Worms Evolution,"n  =  int ( input ()) A  =   [* map ( int ,  input (). split ())] X  =  set ( A )   for  i  in  range ( n ): 	 for  j  in  range ( i ): 		 if  A [ i ]+ A [ j ]   in  X : 			 print ( A . index ( A [ i ]+ A [ j ])+ 1 ,  i + 1 ,  j + 1 ) 			exit ()   print (- 1 )"
32,32A - Reconnaissance,"i = lambda : map ( int , input (). split ()) n , d = i (); a =[* i ()] print ( sum ( abs ( x - y )<= d  for  x  in  a  for  y  in  a )- n )"
33,33A - What is for dinner?,"n ,  m ,  k  =  map ( int , input (). split ()) a  =   [ 200000000 ]* m for  i  in  range ( n ):     r ,  c = map ( int , input (). split ())     a [ r - 1 ]   =  min ( a [ r - 1 ],  c ) print ( min ( sum ( a ),  k ))"
34,34A - Reconnaissance 2,"I = input n = int ( I ()) m = list ( map ( int , I (). split ())) m +=[ m [ 0 ]] a = 0 for  i  in  range ( n ):      if  abs ( m [ i ]- m [ i + 1 ])< abs ( m [ a ]- m [ a + 1 ]): a = i r =( a + 2 )% n print ( a + 1 ,[ n , r ][ r > 0 ])"
35,35A - Shell Game,"F = open ( 'input.txt' , 'r' ) W = open ( 'output.txt' , 'w' ) I = lambda :[* map ( int , F . readline (). split ())] x = I ()[ 0 ] for  _  in [ 0 ]* 3 :   u , v = I ()    if  x == u : x = v    elif  x == v : x = u W . write ( str ( x )) W . close ()"
