problemID,cos
1,"[0, 2, 6, 14, 56, 69, 99, 127, 156, 282, 299, 317, 318, 397, 402, 418, 446, 508, 529, 600, 656, 657, 869, 912, 937]"
2,"[1, 8, 47, 73, 83, 103, 118, 124, 149, 154, 157, 164, 172, 174, 194, 200, 208, 237, 246, 288, 317, 318, 328, 330, 338, 340, 349, 350, 370, 373, 384, 404, 414, 417, 438, 442, 448, 457, 464, 486, 495, 553, 567, 579, 635, 670, 672, 708, 752, 796, 807, 812, 825, 856, 895, 906, 910, 928]"
3,"[0, 2, 6, 29, 56, 98, 127, 156, 188, 190, 211, 282, 348, 354, 402, 529, 600, 656, 657, 679, 725, 869, 912, 937]"
4,"[3, 128, 239, 295, 420, 425, 585, 851, 890, 942]"
5,"[4, 779, 798]"
6,"[5, 546]"
7,"[0, 2, 6, 15, 39, 127, 156, 190, 254, 282, 315, 316, 332, 354, 366, 376, 418, 432, 491, 567, 676, 690, 908, 909, 912, 929]"
8,"[7, 90, 153, 167, 236, 411, 415, 542, 638, 724, 734, 806, 897]"
9,"[1, 8, 73, 103, 164, 174, 246, 317, 318, 333, 349, 350, 384, 417, 442, 457, 486, 553, 715, 719, 812, 856, 895, 906]"
10,"[9, 54, 200, 221, 412, 472, 484, 582, 604, 625, 646, 683, 731, 739, 766, 845, 918]"
11,"[10, 21, 51, 133, 178, 212, 218, 233, 238, 251, 320, 334, 339, 372, 433, 442, 455, 457, 481, 510, 524, 550, 555, 565, 596, 634, 671, 723, 726, 780, 805, 811, 834, 844, 857, 873, 897, 905]"
12,"[11, 12, 367, 390, 405, 577, 938]"
13,"[11, 12, 108, 145, 331, 367, 444, 445, 559, 577, 596, 658, 819, 822, 831, 833, 885, 921, 927, 938]"
14,"[13, 17, 21, 24, 28, 31, 220, 275, 292, 299, 539, 571, 756, 757, 849, 937]"
15,"[0, 14, 275, 299, 317, 318, 398, 446, 574, 592, 612, 656, 657, 659, 675, 762, 836, 856, 858, 937]"
16,"[6, 15, 84, 690, 912]"
17,"[16, 25, 60, 71, 79, 129, 156, 161, 185, 189, 196, 279, 347, 459, 543, 633, 652, 716, 722, 832, 878, 898]"
18,"[13, 17, 21, 24, 28, 31, 220, 222, 243, 259, 292, 299, 350, 375, 398, 582, 668, 757, 824, 849]"
19,"[18, 76, 165, 207, 400, 408, 409, 414, 419, 640, 711, 896, 934]"
20,"[19, 56, 100, 104, 122, 265, 479, 665, 771, 930]"
21,"[20, 117, 162, 191, 218, 486, 529, 530, 579, 654, 661, 740, 764, 772, 855, 920]"
22,"[10, 13, 17, 21, 24, 28, 31, 51, 125, 195, 220, 233, 251, 310, 320, 334, 339, 372, 404, 433, 442, 443, 457, 474, 510, 550, 565, 580, 596, 634, 651, 685, 723, 726, 757, 780, 805, 873]"
23,"[22, 90, 94, 100, 117, 122, 130, 146, 153, 155, 162, 193, 199, 214, 218, 283, 327, 359, 368, 385, 439, 451, 488, 499, 501, 519, 528, 530, 536, 575, 578, 587, 677, 700, 724, 733, 764, 767, 785, 791, 806, 850, 864, 887, 911, 920, 925, 941]"
24,"[23, 75, 167, 207, 236, 415, 483, 542, 545, 558, 638, 665, 725, 734, 758]"
25,"[13, 17, 21, 24, 26, 28, 31, 60, 102, 189, 195, 196, 220, 282, 292, 738, 756, 757, 849]"
26,"[16, 25, 79, 122, 279, 543, 633, 652, 716, 722, 832, 878, 881, 898, 904]"
27,"[24, 26, 102, 195, 282, 375, 405, 424, 472, 504, 826, 827]"
28,"[27, 213, 267, 398, 580, 608, 609, 610, 715, 719, 751, 931]"
29,"[13, 17, 21, 24, 28, 31, 71, 207, 220, 243, 500, 514, 582, 694, 783, 797]"
30,"[2, 29, 98, 160, 182, 188, 189, 211, 266, 348, 586, 679, 725, 774]"
