1879078,Jul/09/2012 16:56,Nakilon,131A - cAPS lOCK,Ruby,Accepted,190 ms,5600 KB,2012-07-09 16:56:00
5597336,Jan/01/2014 14:21,rouder,131A - cAPS lOCK,Ruby,Accepted,92 ms,0 KB,2014-01-01 14:21:00
15913653,Feb/09/2016 16:22,not_bot_but_POT,131A - cAPS lOCK,Ruby,Accepted,62 ms,0 KB,2016-02-09 16:22:00
16325394,Feb/25/2016 14:23,the404,131A - cAPS lOCK,Ruby,Accepted,62 ms,200 KB,2016-02-25 14:23:00
27630756,Jun/07/2017 13:49,I_Love_Umirzhanova_Amina,131A - cAPS lOCK,Ruby,Accepted,92 ms,100 KB,2017-06-07 13:49:00
36636711,Mar/26/2018 12:15,Hans_sama,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-26 12:15:00
46753838,Dec/08/2018 13:37,mah1ndra,131A - cAPS lOCK,Ruby,Accepted,62 ms,200 KB,2018-12-08 13:37:00
51887556,Mar/27/2019 10:17,abzalnurym,131A - cAPS lOCK,Ruby,Accepted,62 ms,0 KB,2019-03-27 10:17:00
56023793,Jun/25/2019 08:49,sorry_im_smurfing,131A - cAPS lOCK,Ruby,Accepted,93 ms,0 KB,2019-06-25 08:49:00
66508574,Dec/08/2019 18:27,Flickyyy,131A - cAPS lOCK,Ruby,Accepted,109 ms,0 KB,2019-12-08 18:27:00
68651196,Jan/12/2020 13:47,mlmaster,131A - cAPS lOCK,Ruby,Accepted,109 ms,0 KB,2020-01-12 13:47:00
35830287,Mar/02/2018 12:10,______M______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 12:10:00
35831769,Mar/02/2018 12:57,______i______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 12:57:00
35831792,Mar/02/2018 12:57,______k______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 12:57:00
35831838,Mar/02/2018 12:58,______h______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 12:58:00
35838388,Mar/02/2018 16:32,_____k_____,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 16:32:00
35838395,Mar/02/2018 16:32,_____i_____,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 16:32:00
35838457,Mar/02/2018 16:34,______u______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 16:34:00
35838460,Mar/02/2018 16:34,______n______,131A - cAPS lOCK,Ruby,Accepted,62 ms,6300 KB,2018-03-02 16:34:00
14187877,Nov/10/2015 20:29,InVoKeR017,131A - cAPS lOCK,Ruby,Accepted,62 ms,100 KB,2015-11-10 20:29:00
62570681,Oct/14/2019 17:24,saitejakatukam,131A - cAPS lOCK,Ruby,Accepted,62 ms,100 KB,2019-10-14 17:24:00
6172970,Mar/29/2014 14:38,rsFalse,131A - cAPS lOCK,Ruby,Accepted,124 ms,0 KB,2014-03-29 14:38:00
6245313,Apr/02/2014 23:42,jaroslove,131A - cAPS lOCK,Ruby,Accepted,124 ms,100 KB,2014-04-02 23:42:00
14684987,Dec/07/2015 13:56,Mohammad017,131A - cAPS lOCK,Ruby,Accepted,93 ms,0 KB,2015-12-07 13:56:00
1099458,Jan/21/2012 19:34,cozyh,131A - cAPS lOCK,Ruby,Accepted,110 ms,5500 KB,2012-01-21 19:34:00
6172930,Mar/29/2014 14:30,rsFalse,131A - cAPS lOCK,Perl,Accepted,62 ms,0 KB,2014-03-29 14:30:00
1652443,May/04/2012 17:56,july,131A - cAPS lOCK,Ruby,Accepted,110 ms,5500 KB,2012-05-04 17:56:00
