78719,Jun/12/2010 21:14,urutom,17A - Noldbach problem,Ruby,Accepted,200 ms,4300 KB,2010-06-12 21:14:00
15913466,Feb/09/2016 16:18,not_bot_but_POT,17A - Noldbach problem,Ruby,Accepted,156 ms,200 KB,2016-02-09 16:18:00
41982395,Aug/23/2018 05:59,Mostafa_Khaled_Robot,17A - Noldbach problem,Ruby,Accepted,186 ms,200 KB,2018-08-23 05:59:00
35834961,Mar/02/2018 15:16,______M______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 15:16:00
35837343,Mar/02/2018 16:10,______i______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 16:10:00
35837631,Mar/02/2018 16:16,______k______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 16:16:00
35837633,Mar/02/2018 16:16,______h______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 16:16:00
35842590,Mar/02/2018 17:55,_____k_____,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 17:55:00
35842593,Mar/02/2018 17:55,_____i_____,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 17:55:00
35842762,Mar/02/2018 18:00,______n______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 18:00:00
35842790,Mar/02/2018 18:00,______u______,17A - Noldbach problem,Ruby,Accepted,186 ms,6400 KB,2018-03-02 18:00:00
2791105,Dec/18/2012 18:20,ghafi007,17A - Noldbach problem,Ruby,Accepted,125 ms,300 KB,2012-12-18 18:20:00
56014649,Jun/24/2019 23:14,sorry_im_smurfing,17A - Noldbach problem,Ruby,Accepted,156 ms,200 KB,2019-06-24 23:14:00
2632011,Nov/23/2012 16:18,daidailanlan,17A - Noldbach problem,Python 2,Accepted,78 ms,100 KB,2012-11-23 16:18:00
7245618,Jul/26/2014 02:43,knight-erraunt#,17A - Noldbach problem,Ruby,Accepted,186 ms,200 KB,2014-07-26 02:43:00
18030377,May/22/2016 13:57,ArGuTe,17A - Noldbach problem,FPC,Accepted,62 ms,1700 KB,2016-05-22 13:57:00
51935830,Mar/28/2019 15:26,vjudge1,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-03-28 15:26:00
79333685,May/08/2020 03:03,coderemite,17A - Noldbach problem,Python 3,Accepted,218 ms,6800 KB,2020-05-08 03:03:00
568872,Jul/29/2011 04:03,SkorKNURE,17A - Noldbach problem,Python 2,Accepted,60 ms,2800 KB,2011-07-29 04:03:00
55736538,Jun/19/2019 07:32,tusharsavaliya,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2019-06-19 07:32:00
55736913,Jun/19/2019 07:50,tushusavaliya,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2019-06-19 07:50:00
1633564,Apr/28/2012 14:05,mera_sirgiy,17A - Noldbach problem,Python 2,Accepted,80 ms,2800 KB,2012-04-28 14:05:00
78330744,Apr/28/2020 00:02,nobab27,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2020-04-28 00:02:00
59821420,Aug/31/2019 20:29,Sali_adelkhah,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-08-31 20:29:00
70514006,Feb/07/2020 18:42,jjbro,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2020-02-07 18:42:00
65619324,Nov/24/2019 08:37,Tony1020,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-11-24 08:37:00
78636126,May/01/2020 11:37,Jhonne_Bravo,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2020-05-01 11:37:00
66481785,Dec/08/2019 06:24,MinecraftFuns,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-12-08 06:24:00
252520,Jan/15/2011 10:21,AntonDubovik,17A - Noldbach problem,Python 2,Accepted,80 ms,2800 KB,2011-01-15 10:21:00
6062750,Mar/18/2014 21:52,Ggaa,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-03-18 21:52:00
6459125,Apr/24/2014 12:54,Akmoyu,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-04-24 12:54:00
57908628,Jul/28/2019 21:49,lopare,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 21:49:00
36647660,Mar/26/2018 18:59,Still_Believe,17A - Noldbach problem,GNU C++11,Accepted,62 ms,3700 KB,2018-03-26 18:59:00
46251967,Nov/26/2018 17:36,kickstar,17A - Noldbach problem,GNU C++14,Accepted,60 ms,0 KB,2018-11-26 17:36:00
10833666,Apr/23/2015 13:36,szh123,17A - Noldbach problem,GNU C++,Accepted,60 ms,2000 KB,2015-04-23 13:36:00
26915044,May/07/2017 06:23,Adachi-San,17A - Noldbach problem,GNU C++11,Accepted,30 ms,0 KB,2017-05-07 06:23:00
49141429,Jan/29/2019 13:27,Bonoy,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-01-29 13:27:00
56002201,Jun/24/2019 16:34,Killer0809,17A - Noldbach problem,GNU C++17,Accepted,60 ms,0 KB,2019-06-24 16:34:00
65582936,Nov/23/2019 14:33,EVON,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-11-23 14:33:00
66367880,Dec/05/2019 23:16,Anus1373,17A - Noldbach problem,GNU C++14,Accepted,60 ms,0 KB,2019-12-05 23:16:00
13878684,Oct/26/2015 22:36,hosseinhashemi,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2015-10-26 22:36:00
69685687,Jan/28/2020 19:55,cs1g,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2020-01-28 19:55:00
78345896,Apr/28/2020 07:39,_Mes_Ney_Sua_Dyb_10,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2020-04-28 07:39:00
50329234,Feb/22/2019 20:51,abo.maheralgefary,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-02-22 20:51:00
41437292,Aug/10/2018 18:52,vjudge1,17A - Noldbach problem,GNU C++,Accepted,62 ms,0 KB,2018-08-10 18:52:00
14897525,Dec/20/2015 13:44,newbeginBKB,17A - Noldbach problem,GNU C++11,Accepted,30 ms,0 KB,2015-12-20 13:44:00
68840290,Jan/15/2020 08:31,pratiikgoogler,17A - Noldbach problem,GNU C++14,Accepted,62 ms,0 KB,2020-01-15 08:31:00
69685735,Jan/28/2020 19:56,cs1g,17A - Noldbach problem,Python 3,Accepted,216 ms,300 KB,2020-01-28 19:56:00
71111258,Feb/15/2020 12:45,codeforces_judge,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2020-02-15 12:45:00
10623659,Apr/07/2015 20:14,musicman783,17A - Noldbach problem,Python 3,Accepted,124 ms,0 KB,2015-04-07 20:14:00
51587707,Mar/20/2019 20:09,vjudge3,17A - Noldbach problem,Python 3,Accepted,216 ms,0 KB,2019-03-20 20:09:00
57986505,Jul/30/2019 14:35,vjudge4,17A - Noldbach problem,GNU C++14,Accepted,92 ms,0 KB,2019-07-30 14:35:00
11043910,May/08/2015 16:39,vjudge2,17A - Noldbach problem,GNU C++,Accepted,62 ms,0 KB,2015-05-08 16:39:00
16276063,Feb/22/2016 14:55,Abdulrahman_hs,17A - Noldbach problem,GNU C++11,Accepted,30 ms,0 KB,2016-02-22 14:55:00
67295763,Dec/20/2019 19:54,vjudge5,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-12-20 19:54:00
26204573,Apr/08/2017 00:30,felipe17,17A - Noldbach problem,GNU C++,Accepted,30 ms,2100 KB,2017-04-08 00:30:00
49490448,Feb/05/2019 12:26,KanhuKeNanu,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2019-02-05 12:26:00
57014880,Jul/14/2019 14:09,vjudge5,17A - Noldbach problem,GNU C++14,Accepted,62 ms,0 KB,2019-07-14 14:09:00
78348,Jun/11/2010 07:55,kusano,17A - Noldbach problem,Python 2,Accepted,60 ms,2700 KB,2010-06-11 07:55:00
17872883,May/12/2016 12:25,AliaAbulhaerova,17A - Noldbach problem,GNU C++11,Accepted,30 ms,2200 KB,2016-05-12 12:25:00
67290077,Dec/20/2019 18:21,raihan2017331088,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-12-20 18:21:00
284130,Feb/13/2011 18:37,watashi,17A - Noldbach problem,Haskell,Accepted,30 ms,1600 KB,2011-02-13 18:37:00
73597803,Mar/18/2020 21:07,zapdospops,17A - Noldbach problem,PyPy 3,Accepted,310 ms,1500 KB,2020-03-18 21:07:00
22851121,Dec/10/2016 11:37,Yash_,17A - Noldbach problem,PyPy 2,Accepted,154 ms,200 KB,2016-12-10 11:37:00
16350142,Feb/26/2016 19:13,orailly,17A - Noldbach problem,Python 3,Accepted,122 ms,0 KB,2016-02-26 19:13:00
41982594,Aug/23/2018 06:09,Mk_Python_v1,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2018-08-23 06:09:00
