36691222,Mar/28/2018 14:51,Bamal,485A - Factory,Python 3,Accepted,78 ms,7200 KB,2018-03-28 14:51:00
47521377,Dec/26/2018 16:16,jaaguptamme,485A - Factory,Python 3,Accepted,109 ms,0 KB,2018-12-26 16:16:00
15914477,Feb/09/2016 16:45,not_bot_but_POT,485A - Factory,Python 3,Accepted,62 ms,0 KB,2016-02-09 16:45:00
9403290,Jan/11/2015 16:31,yugle7,485A - Factory,Python 3,Accepted,62 ms,0 KB,2015-01-11 16:31:00
35863160,Mar/03/2018 01:40,______M______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 01:40:00
35870364,Mar/03/2018 09:28,______i______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 09:28:00
35871028,Mar/03/2018 09:41,______k______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 09:41:00
35871036,Mar/03/2018 09:41,______h______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 09:41:00
35874521,Mar/03/2018 10:52,_____i_____,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 10:52:00
35874615,Mar/03/2018 10:57,_____k_____,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 10:57:00
35875134,Mar/03/2018 11:09,______n______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 11:09:00
35875234,Mar/03/2018 11:09,______u______,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-03-03 11:09:00
15180798,Jan/04/2016 15:19,cugel,485A - Factory,Python 3,Accepted,62 ms,0 KB,2016-01-04 15:19:00
41580430,Aug/14/2018 10:47,vjudge5,485A - Factory,GNU C++,Accepted,30 ms,0 KB,2018-08-14 10:47:00
57818728,Jul/27/2019 00:22,py_ultron,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-07-27 00:22:00
57887945,Jul/28/2019 13:43,lopare,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 13:43:00
71566989,Feb/21/2020 20:39,arman_jhajharia,485A - Factory,GNU C++17,Accepted,31 ms,0 KB,2020-02-21 20:39:00
8585595,Nov/06/2014 10:47,tomlau,485A - Factory,Python 3,Accepted,62 ms,0 KB,2014-11-06 10:47:00
34199722,Jan/15/2018 17:43,.I.,485A - Factory,Python 3,Accepted,62 ms,5500 KB,2018-01-15 17:43:00
41580370,Aug/14/2018 10:45,vjudge1,485A - Factory,GNU C++,Accepted,30 ms,0 KB,2018-08-14 10:45:00
29710436,Aug/23/2017 17:49,rprtr258,485A - Factory,Python 3,Accepted,61 ms,0 KB,2017-08-23 17:49:00
11939222,Jul/05/2015 23:22,Unlenin,485A - Factory,Python 2,Accepted,46 ms,0 KB,2015-07-05 23:22:00
9336405,Jan/01/2015 05:37,SteelRaven,485A - Factory,Python 3,Accepted,61 ms,0 KB,2015-01-01 05:37:00
28939173,Jul/28/2017 02:09,wrong_answer_on_test_137,485A - Factory,Python 3,Accepted,62 ms,4500 KB,2017-07-28 02:09:00
77157927,Apr/18/2020 11:13,vs0404,485A - Factory,Python 3,Accepted,108 ms,0 KB,2020-04-18 11:13:00
14391589,Nov/21/2015 08:04,NarkhanQamzabek,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-11-21 08:04:00
21663226,Oct/22/2016 13:02,harrypotter0,485A - Factory,GNU C++11,Accepted,30 ms,0 KB,2016-10-22 13:02:00
23535019,Jan/04/2017 15:13,BlueHazard_rony,485A - Factory,Python 2,Accepted,61 ms,4500 KB,2017-01-04 15:13:00
55081445,Jun/04/2019 13:53,chochu,485A - Factory,GNU C++14,Accepted,15 ms,0 KB,2019-06-04 13:53:00
56632523,Jul/06/2019 20:18,Jabaiy_Mysyq,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2019-07-06 20:18:00
58889801,Aug/16/2019 07:56,p_ritu,485A - Factory,PyPy 3,Accepted,140 ms,0 KB,2019-08-16 07:56:00
11333027,May/28/2015 15:50,a00012025,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2015-05-28 15:50:00
12798390,Sep/01/2015 10:29,Dracula_pm,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-09-01 10:29:00
8592660,Nov/06/2014 18:32,clarinet758,485A - Factory,Python 2,Accepted,108 ms,3400 KB,2014-11-06 18:32:00
16738608,Mar/16/2016 09:49,DukeOfYork,485A - Factory,Python 2,Accepted,62 ms,0 KB,2016-03-16 09:49:00
42005702,Aug/23/2018 21:17,Mk_Python_v1,485A - Factory,Python 3,Accepted,109 ms,0 KB,2018-08-23 21:17:00
17334919,Apr/16/2016 09:02,Jakymoon,485A - Factory,GNU C,Accepted,30 ms,0 KB,2016-04-16 09:02:00
28783501,Jul/22/2017 19:48,codelegend,485A - Factory,Python 2,Accepted,62 ms,4600 KB,2017-07-22 19:48:00
8560506,Nov/05/2014 19:35,Luk,485A - Factory,Python 3,Accepted,62 ms,0 KB,2014-11-05 19:35:00
8689875,Nov/14/2014 05:55,MakingMaker,485A - Factory,Python 3,Accepted,62 ms,0 KB,2014-11-14 05:55:00
17701963,May/03/2016 21:52,emirmazi,485A - Factory,GNU C,Accepted,15 ms,2000 KB,2016-05-03 21:52:00
23522245,Jan/03/2017 21:22,Ali.Pi,485A - Factory,GNU C++14,Accepted,15 ms,1900 KB,2017-01-03 21:22:00
8953497,Dec/03/2014 17:11,imperio,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-12-03 17:11:00
58567492,Aug/11/2019 11:37,mridul26,485A - Factory,GNU C++14,Accepted,30 ms,0 KB,2019-08-11 11:37:00
22026242,Nov/04/2016 06:42,ipchi,485A - Factory,GNU C++14,Accepted,15 ms,0 KB,2016-11-04 06:42:00
32341808,Nov/15/2017 23:52,Kuha,485A - Factory,Python 3,Accepted,62 ms,0 KB,2017-11-15 23:52:00
75723688,Apr/07/2020 11:04,1412neerujjain,485A - Factory,GNU C++14,Accepted,31 ms,0 KB,2020-04-07 11:04:00
77643354,Apr/22/2020 15:11,nocreative1,485A - Factory,Python 3,Accepted,109 ms,0 KB,2020-04-22 15:11:00
8583240,Nov/06/2014 07:47,Pudge123,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-06 07:47:00
8592784,Nov/06/2014 18:42,clarinet758,485A - Factory,Python 2,Accepted,62 ms,0 KB,2014-11-06 18:42:00
17327074,Apr/15/2016 16:08,Jakymoon,485A - Factory,GNU C,Accepted,31 ms,0 KB,2016-04-15 16:08:00
26783895,May/01/2017 13:52,Mohamed_Ayman,485A - Factory,Python 3,Accepted,62 ms,5400 KB,2017-05-01 13:52:00
77301893,Apr/19/2020 21:00,LOGURT,485A - Factory,Python 3,Accepted,109 ms,0 KB,2020-04-19 21:00:00
24273713,Jan/30/2017 20:35,UnusedFever,485A - Factory,Python 3,Accepted,61 ms,4500 KB,2017-01-30 20:35:00
8932198,Dec/02/2014 16:02,imperio,485A - Factory,GNU C++,Accepted,31 ms,0 KB,2014-12-02 16:02:00
8590234,Nov/06/2014 15:57,asdsteven2,485A - Factory,Haskell,Accepted,46 ms,0 KB,2014-11-06 15:57:00
8575398,Nov/05/2014 21:48,findneel,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-05 21:48:00
10119941,Mar/02/2015 17:03,return_zero,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-03-02 17:03:00
10781766,Apr/19/2015 16:11,illidanldx,485A - Factory,Python 3,Accepted,62 ms,4600 KB,2015-04-19 16:11:00
8713190,Nov/16/2014 20:42,turbofsi,485A - Factory,Python 2,Accepted,77 ms,0 KB,2014-11-16 20:42:00
11384550,Jun/02/2015 04:01,Never_more#,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2015-06-02 04:01:00
23271911,Dec/24/2016 15:51,Lazy_noob,485A - Factory,GNU C++11,Accepted,31 ms,2000 KB,2016-12-24 15:51:00
8982172,Dec/04/2014 17:19,Aircool,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-12-04 17:19:00
27326429,May/25/2017 00:18,Yash_,485A - Factory,PyPy 2,Accepted,62 ms,0 KB,2017-05-25 00:18:00
53195179,Apr/23/2019 17:51,kAN_de_thuong,485A - Factory,Python 3,Accepted,109 ms,0 KB,2019-04-23 17:51:00
69064573,Jan/18/2020 21:02,axtrez,485A - Factory,GNU C++14,Accepted,30 ms,0 KB,2020-01-18 21:02:00
79769176,May/11/2020 20:11,Prachi123456789,485A - Factory,Python 3,Accepted,109 ms,6500 KB,2020-05-11 20:11:00
8561544,Nov/05/2014 19:40,belowthebelt,485A - Factory,Python 2,Accepted,62 ms,0 KB,2014-11-05 19:40:00
8568430,Nov/05/2014 20:23,mtv_2002,485A - Factory,Python 3,Accepted,77 ms,0 KB,2014-11-05 20:23:00
69244118,Jan/21/2020 15:23,KenBIL-8-Ubaydullauly,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2020-01-21 15:23:00
77719792,Apr/23/2020 09:40,tarun07,485A - Factory,GNU C++14,Accepted,31 ms,0 KB,2020-04-23 09:40:00
48677476,Jan/21/2019 15:06,luogu_bot4,485A - Factory,FPC,Accepted,46 ms,0 KB,2019-01-21 15:06:00
8805973,Nov/22/2014 22:07,thewalrus,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-22 22:07:00
8586055,Nov/06/2014 11:16,Sunnat,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-06 11:16:00
9677267,Feb/02/2015 17:58,scorpio19,485A - Factory,Python 2,Accepted,124 ms,3400 KB,2015-02-02 17:58:00
31882257,Oct/30/2017 09:08,Lachesis_Swarna,485A - Factory,GNU C++,Accepted,30 ms,0 KB,2017-10-30 09:08:00
10128481,Mar/03/2015 08:36,enrush,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-03-03 08:36:00
12626566,Aug/21/2015 13:51,someone23#,485A - Factory,MS C++,Accepted,15 ms,0 KB,2015-08-21 13:51:00
8807744,Nov/23/2014 03:33,grrdmatching,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-23 03:33:00
9056071,Dec/09/2014 10:30,dori,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-12-09 10:30:00
35726944,Feb/26/2018 12:47,2017ccut_wuqishuo,485A - Factory,GNU C++14,Accepted,15 ms,2000 KB,2018-02-26 12:47:00
45201009,Nov/02/2018 12:57,vjudge4,485A - Factory,GNU C++17,Accepted,30 ms,200 KB,2018-11-02 12:57:00
65228128,Nov/17/2019 06:12,kchau,485A - Factory,PyPy 3,Accepted,140 ms,0 KB,2019-11-17 06:12:00
76420769,Apr/12/2020 21:53,vikash_vian,485A - Factory,PyPy 3,Accepted,155 ms,1200 KB,2020-04-12 21:53:00
