24016910,Jan/21/2017 20:54,Yash_,571A - Lengthening Sticks,PyPy 2,Accepted,248 ms,22600 KB,2017-01-21 20:54:00
35873991,Mar/03/2018 10:40,______M______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 10:40:00
35875592,Mar/03/2018 11:23,______i______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 11:23:00
35883284,Mar/03/2018 15:51,______k______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 15:51:00
35883588,Mar/03/2018 15:56,______h______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 15:56:00
35888591,Mar/03/2018 17:25,______u______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 17:25:00
35888875,Mar/03/2018 17:30,______n______,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 17:30:00
35894027,Mar/03/2018 19:13,_____k_____,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 19:13:00
35900478,Mar/03/2018 22:31,_____i_____,571A - Lengthening Sticks,PyPy 2,Accepted,218 ms,22000 KB,2018-03-03 22:31:00
37491393,Apr/20/2018 18:12,tystrwor,571A - Lengthening Sticks,PyPy 2,Accepted,311 ms,23400 KB,2018-04-20 18:12:00
12981431,Sep/13/2015 11:20,SylfiiKoishi,571A - Lengthening Sticks,Python 2,Accepted,951 ms,4800 KB,2015-09-13 11:20:00
15914594,Feb/09/2016 16:48,not_bot_but_POT,571A - Lengthening Sticks,Python 2,Accepted,936 ms,4800 KB,2016-02-09 16:48:00
24978146,Feb/24/2017 15:01,sina-ss,571A - Lengthening Sticks,Python 3,Accepted,701 ms,4500 KB,2017-02-24 15:01:00
31876552,Oct/29/2017 23:14,yugle7,571A - Lengthening Sticks,PyPy 3,Accepted,202 ms,1900 KB,2017-10-29 23:14:00
12670331,Aug/23/2015 11:20,ValenKof,571A - Lengthening Sticks,Python 3,Accepted,717 ms,0 KB,2015-08-23 11:20:00
12669859,Aug/23/2015 10:36,ValenKof,571A - Lengthening Sticks,Python 3,Accepted,842 ms,0 KB,2015-08-23 10:36:00
42108320,Aug/26/2018 06:28,Mk_Python_v1,571A - Lengthening Sticks,Python 3,Accepted,810 ms,0 KB,2018-08-26 06:28:00
42136052,Aug/27/2018 03:02,Mk_Python_v1,572C - Lengthening Sticks,Python 3,Accepted,810 ms,0 KB,2018-08-27 03:02:00
12665463,Aug/23/2015 00:45,Sippy,571A - Lengthening Sticks,Python 2,Accepted,717 ms,0 KB,2015-08-23 00:45:00
12669817,Aug/23/2015 10:32,biltharesatyendra,571A - Lengthening Sticks,Python 2,Accepted,717 ms,0 KB,2015-08-23 10:32:00
12675343,Aug/23/2015 19:14,Vasiliy_48,572C - Lengthening Sticks,Python 3,Accepted,967 ms,0 KB,2015-08-23 19:14:00
57817319,Jul/26/2019 23:27,py_ultron,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-07-26 23:27:00
12665272,Aug/23/2015 00:17,Denzed,571A - Lengthening Sticks,Python 3,Accepted,748 ms,0 KB,2015-08-23 00:17:00
12681618,Aug/24/2015 11:34,Vosatorp#,572C - Lengthening Sticks,Python 3,Accepted,997 ms,0 KB,2015-08-24 11:34:00
18412052,Jun/13/2016 15:01,Yash_#,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,2200 KB,2016-06-13 15:01:00
25830703,Mar/27/2017 06:22,ZYF1024,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,1800 KB,2017-03-27 06:22:00
57884848,Jul/28/2019 12:23,lopare,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 12:23:00
12667099,Aug/23/2015 05:15,xumpei,571A - Lengthening Sticks,Python 2,Accepted,873 ms,0 KB,2015-08-23 05:15:00
31446686,Oct/17/2017 14:40,"Han Tian Nen is AK King: _SHENZHEBEI_, Starria#",571A - Lengthening Sticks,GNU C++,Accepted,15 ms,2000 KB,2017-10-17 14:40:00
12726509,Aug/28/2015 06:40,zyf940104357,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-28 06:40:00
12777831,Aug/30/2015 17:18,ZaymMarzuki,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-30 17:18:00
24626427,Feb/13/2017 14:27,jiedai,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,2000 KB,2017-02-13 14:27:00
12745446,Aug/29/2015 18:24,somananda#,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-29 18:24:00
13137763,Sep/22/2015 12:05,wjier,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-09-22 12:05:00
47351219,Dec/22/2018 05:59,ssw666,571A - Lengthening Sticks,GNU C++14,Accepted,31 ms,0 KB,2018-12-22 05:59:00
12677868,Aug/24/2015 01:07,0xA28,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-24 01:07:00
12677872,Aug/24/2015 01:08,0xA28,572C - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-24 01:08:00
59532030,Aug/26/2019 18:25,Legendary_Grandmasterr#,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-08-26 18:25:00
12683288,Aug/24/2015 14:16,anurag21raghav,572C - Lengthening Sticks,Python 2,Accepted,608 ms,0 KB,2015-08-24 14:16:00
12912481,Sep/09/2015 19:28,igdor99,572C - Lengthening Sticks,FPC,Accepted,31 ms,100 KB,2015-09-09 19:28:00
13211583,Sep/25/2015 02:08,manu1311,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-09-25 02:08:00
12883120,Sep/07/2015 13:56,mzlxmzx,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-09-07 13:56:00
13709007,Oct/18/2015 11:17,vjudge3,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-10-18 11:17:00
13912060,Oct/28/2015 13:04,OOOotaku,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-10-28 13:04:00
16819490,Mar/19/2016 16:05,VAVAvile,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,2000 KB,2016-03-19 16:05:00
12670905,Aug/23/2015 12:11,yongwoods,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:11:00
12670908,Aug/23/2015 12:11,yongwoods,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:11:00
12673499,Aug/23/2015 16:09,yongwhan,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-23 16:09:00
12772398,Aug/30/2015 10:52,jerry,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-30 10:52:00
12678359,Aug/24/2015 03:00,ggoh,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-24 03:00:00
12665131,Aug/22/2015 23:52,guille,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-22 23:52:00
12672600,Aug/23/2015 14:47,Kuzey,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 14:47:00
12908071,Sep/09/2015 13:36,Ra16bit,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-09-09 13:36:00
13833645,Oct/25/2015 08:14,130705009,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-10-25 08:14:00
