19673075,Aug/06/2016 18:59,sugar,702A - Maximum Increase,GNU C,Accepted,31 ms,1800 KB,2016-08-06 18:59:00
73974231,Mar/22/2020 18:26,coderemite,702A - Maximum Increase,Python 3,Accepted,171 ms,7200 KB,2020-03-22 18:26:00
74698329,Mar/29/2020 09:17,harshav_b,702A - Maximum Increase,Python 3,Accepted,171 ms,7200 KB,2020-03-29 09:17:00
76959142,Apr/16/2020 13:43,thewarhero_78,702A - Maximum Increase,Python 3,Accepted,171 ms,7300 KB,2020-04-16 13:43:00
69514036,Jan/25/2020 14:23,stars_in_the_sky,702A - Maximum Increase,Python 3,Accepted,186 ms,7200 KB,2020-01-25 14:23:00
73974112,Mar/22/2020 18:24,coderemite,702A - Maximum Increase,Python 3,Accepted,186 ms,7300 KB,2020-03-22 18:24:00
20424196,Sep/06/2016 22:22,hamzzq,702A - Maximum Increase,Python 3,Accepted,124 ms,6700 KB,2016-09-06 22:22:00
20936616,Sep/27/2016 05:00,instantkill,702A - Maximum Increase,Ruby,Accepted,202 ms,17200 KB,2016-09-27 05:00:00
23791745,Jan/13/2017 21:40,hogeover30,702A - Maximum Increase,Ruby,Accepted,202 ms,23400 KB,2017-01-13 21:40:00
61252758,Sep/25/2019 11:55,a.cse18,702A - Maximum Increase,Python 3,Accepted,155 ms,7300 KB,2019-09-25 11:55:00
43998808,Oct/08/2018 15:44,rahatpy,702A - Maximum Increase,Python 3,Accepted,187 ms,7000 KB,2018-10-08 15:44:00
48400494,Jan/14/2019 23:38,Anus1373,702A - Maximum Increase,GNU C++14,Accepted,187 ms,0 KB,2019-01-14 23:38:00
52421315,Apr/06/2019 20:14,Arsengotovitsaksoru,702A - Maximum Increase,GNU C++11,Accepted,218 ms,0 KB,2019-04-06 20:14:00
57814649,Jul/26/2019 22:03,py_ultron,702A - Maximum Increase,GNU C++11,Accepted,218 ms,0 KB,2019-07-26 22:03:00
57879752,Jul/28/2019 10:14,lopare,702A - Maximum Increase,GNU C++11,Accepted,218 ms,0 KB,2019-07-28 10:14:00
20470106,Sep/09/2016 03:19,Amores,702A - Maximum Increase,Python 3,Accepted,124 ms,6800 KB,2016-09-09 03:19:00
69923897,Jan/31/2020 22:28,shivansh2000,702A - Maximum Increase,GNU C++17,Accepted,171 ms,0 KB,2020-01-31 22:28:00
62946897,Oct/19/2019 20:41,Soumya_123,702A - Maximum Increase,Python 3,Accepted,171 ms,7300 KB,2019-10-19 20:41:00
19484179,Jul/29/2016 18:11,rsFalse,702A - Maximum Increase,Perl,Accepted,109 ms,14200 KB,2016-07-29 18:11:00
24948557,Feb/24/2017 00:02,utkarsh_gaur,702A - Maximum Increase,Python 2,Accepted,140 ms,10000 KB,2017-02-24 00:02:00
25472064,Mar/14/2017 14:54,BlueHazard_rony,702A - Maximum Increase,Python 2,Accepted,140 ms,10000 KB,2017-03-14 14:54:00
29882611,Aug/29/2017 18:43,sirjan13,702A - Maximum Increase,Python 2,Accepted,140 ms,5500 KB,2017-08-29 18:43:00
47867507,Jan/03/2019 13:45,harshaa_23,702A - Maximum Increase,Python 3,Accepted,171 ms,8000 KB,2019-01-03 13:45:00
19608937,Aug/04/2016 07:25,MiaShe,702A - Maximum Increase,Python 2,Accepted,124 ms,5500 KB,2016-08-04 07:25:00
19538612,Jul/31/2016 16:06,nealzane,702A - Maximum Increase,PyPy 2,Accepted,109 ms,7300 KB,2016-07-31 16:06:00
19725058,Aug/08/2016 12:38,cielavenir,702A - Maximum Increase,Ruby,Accepted,187 ms,23000 KB,2016-08-08 12:38:00
20744972,Sep/19/2016 01:50,daleks,702A - Maximum Increase,Python 2,Accepted,171 ms,5500 KB,2016-09-19 01:50:00
55515040,Jun/13/2019 07:26,benz_,702A - Maximum Increase,Python 3,Accepted,186 ms,8000 KB,2019-06-13 07:26:00
63907956,Oct/31/2019 10:12,ghjk0498,702A - Maximum Increase,Python 3,Accepted,186 ms,7100 KB,2019-10-31 10:12:00
21058730,Oct/01/2016 09:41,vjudge1,702A - Maximum Increase,Ruby,Accepted,186 ms,17200 KB,2016-10-01 09:41:00
28173580,Jun/30/2017 16:47,jaaguptamme,702A - Maximum Increase,Python 3,Accepted,124 ms,13600 KB,2017-06-30 16:47:00
34903760,Feb/03/2018 21:19,vjudge2,702A - Maximum Increase,Python 2,Accepted,124 ms,9900 KB,2018-02-03 21:19:00
34903940,Feb/03/2018 21:22,vjudge5,702A - Maximum Increase,Python 2,Accepted,124 ms,9900 KB,2018-02-03 21:22:00
42242779,Aug/29/2018 16:30,KBL,702A - Maximum Increase,PyPy 3,Accepted,233 ms,11000 KB,2018-08-29 16:30:00
44429035,Oct/17/2018 09:37,mr.adisbek,702A - Maximum Increase,PyPy 3,Accepted,171 ms,10900 KB,2018-10-17 09:37:00
63907860,Oct/31/2019 10:11,ghjk0498,702A - Maximum Increase,Python 3,Accepted,170 ms,8000 KB,2019-10-31 10:11:00
77321203,Apr/20/2020 05:10,sujoykumar1910477147,702A - Maximum Increase,Python 3,Accepted,171 ms,7900 KB,2020-04-20 05:10:00
19489631,Jul/29/2016 18:44,cleverestbou,702A - Maximum Increase,Python 3,Accepted,155 ms,6700 KB,2016-07-29 18:44:00
45314147,Nov/05/2018 09:57,megachuhancer,702A - Maximum Increase,Ruby,Accepted,171 ms,16700 KB,2018-11-05 09:57:00
47444860,Dec/24/2018 08:25,yellowflash,702A - Maximum Increase,PyPy 3,Accepted,170 ms,11000 KB,2018-12-24 08:25:00
19526642,Jul/31/2016 00:10,S.Ged,702A - Maximum Increase,Python 3,Accepted,124 ms,8300 KB,2016-07-31 00:10:00
26907718,May/06/2017 21:18,decoder123,702A - Maximum Increase,Python 3,Accepted,139 ms,8200 KB,2017-05-06 21:18:00
60671424,Sep/16/2019 13:50,meghana_499,702A - Maximum Increase,Python 3,Accepted,202 ms,7300 KB,2019-09-16 13:50:00
66601406,Dec/10/2019 19:40,kirtanpathak4,702A - Maximum Increase,Python 3,Accepted,187 ms,8000 KB,2019-12-10 19:40:00
71345087,Feb/18/2020 02:16,shaurya950,702A - Maximum Increase,PyPy 3,Accepted,202 ms,10400 KB,2020-02-18 02:16:00
34350971,Jan/20/2018 14:41,pawnage,702A - Maximum Increase,Python 3,Accepted,140 ms,13700 KB,2018-01-20 14:41:00
