30973636,Oct/03/2017 19:50,cielavenir,867A - Between the Offices,Ruby,Accepted,62 ms,100 KB,2017-10-03 19:50:00
50643899,Mar/01/2019 18:04,UTMoonlight,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2019-03-01 18:04:00
51468861,Mar/19/2019 07:47,Rakhimnurlan,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2019-03-19 07:47:00
51469589,Mar/19/2019 08:27,Rayimbek,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2019-03-19 08:27:00
51469922,Mar/19/2019 08:44,dias9b2003,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2019-03-19 08:44:00
58255353,Aug/04/2019 12:44,ravikiranf6,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-08-04 12:44:00
66570166,Dec/10/2019 06:39,MehulJ,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-12-10 06:39:00
30891410,Oct/01/2017 01:49,winstontsai,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 01:49:00
58560017,Aug/11/2019 08:13,QZARO,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2019-08-11 08:13:00
58997202,Aug/18/2019 14:57,Sweft,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-08-18 14:57:00
52016935,Mar/30/2019 13:58,cs1g,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2019-03-30 13:58:00
30891117,Oct/01/2017 01:38,_HossamYehia_,867A - Between the Offices,Python 3,Accepted,46 ms,0 KB,2017-10-01 01:38:00
49374698,Feb/02/2019 22:18,sakred13,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-02-02 22:18:00
54506597,May/23/2019 07:24,burhonbaqoyev,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-05-23 07:24:00
30926310,Oct/02/2017 01:06,yugle7,867A - Between the Offices,Python 3,Accepted,61 ms,0 KB,2017-10-02 01:06:00
69670425,Jan/28/2020 15:50,coderemite,867A - Between the Offices,Python 3,Accepted,109 ms,300 KB,2020-01-28 15:50:00
30905783,Oct/01/2017 13:30,YazanRi,867A - Between the Offices,Python 3,Accepted,61 ms,0 KB,2017-10-01 13:30:00
30972549,Oct/03/2017 19:07,nuga99,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-03 19:07:00
31006698,Oct/05/2017 06:41,pipialvin,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-05 06:41:00
47968506,Jan/05/2019 16:20,daotiennamhlvl,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-01-05 16:20:00
67670896,Dec/26/2019 23:22,hossein7888,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-12-26 23:22:00
76627876,Apr/13/2020 21:43,shekharsomendra,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-13 21:43:00
