31367664,Oct/15/2017 16:54,cielavenir,872A - Search for Pretty Integers,Ruby,Accepted,92 ms,6100 KB,2017-10-15 16:54:00
31371762,Oct/15/2017 19:05,rsFalse,872A - Search for Pretty Integers,Perl,Accepted,31 ms,2000 KB,2017-10-15 19:05:00
74641327,Mar/28/2020 16:00,coderemite,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2020-03-28 16:00:00
32334782,Nov/15/2017 17:42,hckray,870A - Search for Pretty Integers,Ruby,Accepted,77 ms,300 KB,2017-11-15 17:42:00
55861285,Jun/21/2019 12:41,vjudge2,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-06-21 12:41:00
45876846,Nov/17/2018 15:19,Bombo,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2018-11-17 15:19:00
32377855,Nov/17/2017 15:24,Jiburiru,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,0 KB,2017-11-17 15:24:00
31370445,Oct/15/2017 18:20,rsFalse,872A - Search for Pretty Integers,Perl,Accepted,31 ms,0 KB,2017-10-15 18:20:00
31938877,Nov/01/2017 08:41,xlk,870A - Search for Pretty Integers,Python 2,Accepted,46 ms,0 KB,2017-11-01 08:41:00
42454239,Sep/04/2018 13:18,cs1g,870A - Search for Pretty Integers,Python 3,Accepted,139 ms,0 KB,2018-09-04 13:18:00
45633542,Nov/12/2018 20:55,ranjit,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2018-11-12 20:55:00
42454192,Sep/04/2018 13:16,cs1g,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2018-09-04 13:16:00
31382296,Oct/16/2017 08:23,nealzane,870A - Search for Pretty Integers,PyPy 2,Accepted,62 ms,20700 KB,2017-10-16 08:23:00
31619799,Oct/23/2017 08:06,f1u77y,872A - Search for Pretty Integers,Ruby,Accepted,62 ms,6300 KB,2017-10-23 08:06:00
32981553,Dec/06/2017 19:21,Qumeric,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-12-06 19:21:00
39944534,Jul/04/2018 09:42,franckmy,870A - Search for Pretty Integers,Python 2,Accepted,171 ms,0 KB,2018-07-04 09:42:00
