38246,Apr/18/2010 01:44,Chortos-2,8A - Train and Peter,Ruby,Accepted,160 ms,8700 KB,2010-04-18 01:44:00
2791242,Dec/18/2012 18:46,ghafi007,8A - Train and Peter,Ruby,Accepted,78 ms,4900 KB,2012-12-18 18:46:00
15913456,Feb/09/2016 16:17,not_bot_but_POT,8A - Train and Peter,Ruby,Accepted,154 ms,4900 KB,2016-02-09 16:17:00
41982377,Aug/23/2018 05:58,Mostafa_Khaled_Robot,8A - Train and Peter,Ruby,Accepted,184 ms,4700 KB,2018-08-23 05:58:00
56014205,Jun/24/2019 22:56,sorry_im_smurfing,8A - Train and Peter,Ruby,Accepted,154 ms,4800 KB,2019-06-24 22:56:00
35891335,Mar/03/2018 18:10,______i______,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 18:10:00
35892342,Mar/03/2018 18:27,______h______,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 18:27:00
35892348,Mar/03/2018 18:27,______k______,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 18:27:00
35897819,Mar/03/2018 21:05,_____i_____,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 21:05:00
35897944,Mar/03/2018 21:10,______n______,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 21:10:00
35898608,Mar/03/2018 21:20,_____k_____,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 21:20:00
35898696,Mar/03/2018 21:22,______u______,8A - Train and Peter,Ruby,Accepted,154 ms,11000 KB,2018-03-03 21:22:00
268129,Jan/31/2011 11:19,watashi,8A - Train and Peter,Ruby,Accepted,140 ms,8000 KB,2011-01-31 11:19:00
268127,Jan/31/2011 11:15,watashi,8A - Train and Peter,Ruby,Accepted,220 ms,8000 KB,2011-01-31 11:15:00
18388267,Jun/12/2016 13:24,ShiviChan,8A - Train and Peter,Ruby,Accepted,278 ms,11100 KB,2016-06-12 13:24:00
1516463,Apr/13/2012 05:41,bonism,8A - Train and Peter,Python 2,Accepted,90 ms,3100 KB,2012-04-13 05:41:00
2749663,Dec/11/2012 09:55,daidailanlan,8A - Train and Peter,Python 2,Accepted,93 ms,300 KB,2012-12-11 09:55:00
21822404,Oct/27/2016 16:08,franckmy,8A - Train and Peter,Python 2,Accepted,154 ms,400 KB,2016-10-27 16:08:00
1401480,Mar/24/2012 12:10,ronaflx,8A - Train and Peter,Python 2,Accepted,90 ms,3100 KB,2012-03-24 12:10:00
11449529,Jun/05/2015 18:34,rahulrd,8A - Train and Peter,Python 2,Accepted,124 ms,400 KB,2015-06-05 18:34:00
11896629,Jul/02/2015 14:52,RahulHP,8A - Train and Peter,Python 2,Accepted,124 ms,400 KB,2015-07-02 14:52:00
273616,Feb/02/2011 18:37,ajmarin,8A - Train and Peter,Python 2,Accepted,80 ms,3000 KB,2011-02-02 18:37:00
6608163,May/13/2014 10:56,ike43,8A - Train and Peter,Python 2,Accepted,122 ms,400 KB,2014-05-13 10:56:00
857015,Nov/11/2011 02:23,paykoob,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-11-11 02:23:00
857004,Nov/11/2011 02:16,paykoob,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-11-11 02:16:00
857012,Nov/11/2011 02:22,paykoob,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-11-11 02:22:00
457164,May/16/2011 21:29,Rotsor,8A - Train and Peter,Haskell,Accepted,420 ms,6100 KB,2011-05-16 21:29:00
52487903,Apr/08/2019 13:12,RetiaAdolf,8A - Train and Peter,Python 2,Accepted,374 ms,400 KB,2019-04-08 13:12:00
