34079206,Jan/11/2018 04:00,cielavenir,907A - Masha and Bears,Ruby,Accepted,77 ms,6300 KB,2018-01-11 04:00:00
33646285,Dec/26/2017 15:17,eugalt,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-26 15:17:00
33599667,Dec/24/2017 22:10,eugalt,907A - Masha and Bears,Python 3,Accepted,77 ms,5400 KB,2017-12-24 22:10:00
34518004,Jan/24/2018 16:21,iantha98,907A - Masha and Bears,Python 3,Accepted,61 ms,5500 KB,2018-01-24 16:21:00
35257501,Feb/14/2018 16:35,Qumeric,907A - Masha and Bears,Python 3,Accepted,77 ms,5500 KB,2018-02-14 16:35:00
33577939,Dec/23/2017 23:23,eugalt,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-23 23:23:00
42120373,Aug/26/2018 15:09,Mk_Python_v1,907A - Masha and Bears,Python 3,Accepted,109 ms,0 KB,2018-08-26 15:09:00
79750018,May/11/2020 16:33,krishna369,907A - Masha and Bears,PyPy 3,Accepted,140 ms,19700 KB,2020-05-11 16:33:00
35727885,Feb/26/2018 13:21,caozy623,907A - Masha and Bears,Python 3,Accepted,62 ms,5600 KB,2018-02-26 13:21:00
33976632,Jan/07/2018 08:22,Incognito,907A - Masha and Bears,Python 3,Accepted,124 ms,5500 KB,2018-01-07 08:22:00
34175762,Jan/14/2018 16:14,Yash_,907A - Masha and Bears,PyPy 2,Accepted,62 ms,20900 KB,2018-01-14 16:14:00
33620591,Dec/25/2017 18:23,n_badiuc,907A - Masha and Bears,Python 3,Accepted,62 ms,5400 KB,2017-12-25 18:23:00
33845889,Jan/01/2018 14:27,franckmy,907A - Masha and Bears,Python 2,Accepted,124 ms,4500 KB,2018-01-01 14:27:00
33590752,Dec/24/2017 13:42,lkdn3t,907A - Masha and Bears,Python 3,Accepted,61 ms,5400 KB,2017-12-24 13:42:00
33574104,Dec/23/2017 20:29,Hahahahahahahhahaha,907A - Masha and Bears,Python 2,Accepted,62 ms,4500 KB,2017-12-23 20:29:00
33670017,Dec/27/2017 16:38,BlueHazard_rony,907A - Masha and Bears,Python 2,Accepted,124 ms,4500 KB,2017-12-27 16:38:00
