684787,Sep/09/2011 08:14,bjin,113B - Petr#,Haskell,Accepted,1310 ms,3100 KB,2011-09-09 08:14:00
31426861,Oct/16/2017 20:01,MarcoXerox,113B - Petr#,GNU C++14,Accepted,1308 ms,52400 KB,2017-10-16 20:01:00
32308845,Nov/14/2017 13:47,asipu_pawan,113B - Petr#,GNU C++14,Accepted,1340 ms,52400 KB,2017-11-14 13:47:00
32308861,Nov/14/2017 13:47,asipu_pawan,113B - Petr#,GNU C++14,Accepted,1278 ms,52400 KB,2017-11-14 13:47:00
56981176,Jul/13/2019 16:57,shauryakr,113B - Petr#,GNU C++17,Accepted,1622 ms,65200 KB,2019-07-13 16:57:00
57904204,Jul/28/2019 19:56,lopare,113B - Petr#,GNU C++11,Accepted,1372 ms,52200 KB,2019-07-28 19:56:00
47710142,Dec/30/2018 05:18,VedaE,113B - Petr#,GNU C++14,Accepted,1214 ms,52400 KB,2018-12-30 05:18:00
72034988,Feb/28/2020 15:28,colintian,113B - Petr#,GNU C++14,Accepted,1216 ms,52400 KB,2020-02-28 15:28:00
28390909,Jul/09/2017 19:29,vjudge4,113B - Petr#,GNU C++,Accepted,404 ms,26700 KB,2017-07-09 19:29:00
28562563,Jul/15/2017 06:51,vjudge4,113B - Petr#,GNU C++,Accepted,404 ms,26700 KB,2017-07-15 06:51:00
28390895,Jul/09/2017 19:28,vjudge1,113B - Petr#,GNU C++,Accepted,404 ms,26700 KB,2017-07-09 19:28:00
28562586,Jul/15/2017 06:52,vjudge3,113B - Petr#,GNU C++,Accepted,434 ms,26700 KB,2017-07-15 06:52:00
28390916,Jul/09/2017 19:29,ITer,113B - Petr#,GNU C++,Accepted,434 ms,26700 KB,2017-07-09 19:29:00
37865293,May/03/2018 17:36,jiaangk_,113B - Petr#,GNU C++14,Accepted,1372 ms,55600 KB,2018-05-03 17:36:00
16820169,Mar/19/2016 16:36,freebsdx,113B - Petr#,GNU C++11,Accepted,30 ms,2200 KB,2016-03-19 16:36:00
2959750,Jan/19/2013 17:07,nealzane,113B - Petr#,GNU C++,Accepted,31 ms,0 KB,2013-01-19 17:07:00
14191416,Nov/11/2015 04:49,130705009,113B - Petr#,GNU C++,Accepted,30 ms,0 KB,2015-11-11 04:49:00
2959717,Jan/19/2013 17:01,nealzane,113B - Petr#,GNU C++,Accepted,31 ms,0 KB,2013-01-19 17:01:00
37026574,Apr/06/2018 19:37,ch.hui.yin.ch,113B - Petr#,GNU C++11,Accepted,342 ms,19200 KB,2018-04-06 19:37:00
52564420,Apr/10/2019 14:53,vjudge5,113B - Petr#,GNU C++14,Accepted,154 ms,203700 KB,2019-04-10 14:53:00
69420760,Jan/23/2020 17:20,armin.atarod,113B - Petr#,GNU C++14,Accepted,1278 ms,52400 KB,2020-01-23 17:20:00
32885807,Dec/03/2017 00:45,Arian_Az,114D - Petr#,GNU C++14,Accepted,434 ms,26500 KB,2017-12-03 00:45:00
56017820,Jun/25/2019 02:09,sorry_im_smurfing,114D - Petr#,GNU C++14,Accepted,434 ms,24700 KB,2019-06-25 02:09:00
72299395,Mar/03/2020 14:11,iShibly,113B - Petr#,GNU C++17,Accepted,1840 ms,65100 KB,2020-03-03 14:11:00
15839594,Feb/06/2016 12:22,ITDOI,113B - Petr#,GNU C++11,Accepted,404 ms,24600 KB,2016-02-06 12:22:00
3259852,Mar/06/2013 22:26,eddycael,113B - Petr#,GNU C++,Accepted,31 ms,0 KB,2013-03-06 22:26:00
52564403,Apr/10/2019 14:53,FENGZX,113B - Petr#,GNU C++11,Accepted,124 ms,203600 KB,2019-04-10 14:53:00
32747333,Nov/28/2017 14:04,Sahashoo,113B - Petr#,GNU C++14,Accepted,434 ms,26500 KB,2017-11-28 14:04:00
32747432,Nov/28/2017 14:09,dan3m3,113B - Petr#,GNU C++11,Accepted,404 ms,26700 KB,2017-11-28 14:09:00
22672961,Dec/03/2016 12:16,vjudge3,114D - Petr#,GNU C++,Accepted,62 ms,47200 KB,2016-12-03 12:16:00
59834768,Sep/01/2019 06:01,vjudge2,114D - Petr#,GNU C++17,Accepted,1652 ms,65100 KB,2019-09-01 06:01:00
685343,Sep/09/2011 11:37,ZhouYuChen,113B - Petr#,GNU C++,Accepted,280 ms,26100 KB,2011-09-09 11:37:00
26380434,Apr/15/2017 16:31,Sirivasv,113B - Petr#,GNU C++11,Accepted,404 ms,26700 KB,2017-04-15 16:31:00
73648482,Mar/19/2020 14:37,vjudge3,113B - Petr#,GNU C++11,Accepted,1310 ms,52200 KB,2020-03-19 14:37:00
27701474,Jun/10/2017 10:11,Zrj,113B - Petr#,GNU C++11,Accepted,92 ms,204200 KB,2017-06-10 10:11:00
6027098,Mar/16/2014 17:08,vjudge5,113B - Petr#,GNU C++,Accepted,124 ms,203900 KB,2014-03-16 17:08:00
7498623,Aug/18/2014 11:19,vjudge1,113B - Petr#,GNU C++,Accepted,1466 ms,52400 KB,2014-08-18 11:19:00
66429979,Dec/07/2019 04:57,zyc666,113B - Petr#,GNU C++11,Accepted,124 ms,205600 KB,2019-12-07 04:57:00
39768437,Jun/29/2018 15:45,shifanyiakioi,113B - Petr#,GNU C++14,Accepted,122 ms,205600 KB,2018-06-29 15:45:00
40506085,Jul/18/2018 11:27,felmid,113B - Petr#,GNU C++17,Accepted,342 ms,24700 KB,2018-07-18 11:27:00
20826262,Sep/22/2016 23:25,Motarack,113B - Petr#,GNU C++14,Accepted,498 ms,56000 KB,2016-09-22 23:25:00
40540199,Jul/19/2018 11:14,vjudge4,113B - Petr#,GNU C++17,Accepted,374 ms,24700 KB,2018-07-19 11:14:00
47735871,Dec/30/2018 17:51,vjudge3,113B - Petr#,GNU C++11,Accepted,124 ms,251300 KB,2018-12-30 17:51:00
15975467,Feb/12/2016 20:31,yusufk,113B - Petr#,GNU C++,Accepted,124 ms,251600 KB,2016-02-12 20:31:00
47755460,Dec/30/2018 19:07,SiberiaHLY,113B - Petr#,GNU C++11,Accepted,92 ms,203600 KB,2018-12-30 19:07:00
47784451,Dec/31/2018 12:54,luogu_bot5,113B - Petr#,GNU C++11,Accepted,92 ms,203600 KB,2018-12-31 12:54:00
33741466,Dec/28/2017 20:02,Sanitator,113B - Petr#,GNU C++11,Accepted,1840 ms,54200 KB,2017-12-28 20:02:00
25349990,Mar/09/2017 00:19,aylartesa,113B - Petr#,GNU C++,Accepted,342 ms,33500 KB,2017-03-09 00:19:00
57288860,Jul/18/2019 18:45,Jabaiy_Mysyq,113B - Petr#,GNU C++11,Accepted,1714 ms,52300 KB,2019-07-18 18:45:00
19516794,Jul/30/2016 15:25,vjudge1,113B - Petr#,GNU C++,Accepted,342 ms,15700 KB,2016-07-30 15:25:00
19516848,Jul/30/2016 15:27,vjudge4,113B - Petr#,GNU C++,Accepted,372 ms,15700 KB,2016-07-30 15:27:00
57802885,Jul/26/2019 16:59,lost_,113B - Petr#,GNU C++17,Accepted,1434 ms,65100 KB,2019-07-26 16:59:00
1508061,Apr/10/2012 07:34,random.johnnyh,113B - Petr#,GNU C++0x,Accepted,1670 ms,53500 KB,2012-04-10 07:34:00
1028986,Jan/11/2012 09:23,random.johnnyh,113B - Petr#,GNU C++0x,Accepted,1640 ms,53500 KB,2012-01-11 09:23:00
17292957,Apr/12/2016 19:57,vjudge1,113B - Petr#,GNU C++,Accepted,434 ms,24600 KB,2016-04-12 19:57:00
17292944,Apr/12/2016 19:57,blacktea123,113B - Petr#,GNU C++,Accepted,436 ms,24600 KB,2016-04-12 19:57:00
24542861,Feb/09/2017 09:52,lzr_010506,113B - Petr#,GNU C++11,Accepted,404 ms,28600 KB,2017-02-09 09:52:00
22224734,Nov/15/2016 18:06,dthangnguyen19,113B - Petr#,GNU C++14,Accepted,434 ms,24700 KB,2016-11-15 18:06:00
53119555,Apr/22/2019 13:29,qinding,113B - Petr#,GNU C++11,Accepted,154 ms,251300 KB,2019-04-22 13:29:00
40693080,Jul/24/2018 09:49,paris2007,113B - Petr#,GNU C++14,Accepted,404 ms,24700 KB,2018-07-24 09:49:00
25333612,Mar/08/2017 08:11,BARF,113B - Petr#,GNU C++14,Accepted,436 ms,26500 KB,2017-03-08 08:11:00
73653211,Mar/19/2020 15:44,vjudge1,113B - Petr#,GNU C++14,Accepted,186 ms,204000 KB,2020-03-19 15:44:00
19541195,Jul/31/2016 18:44,nickluo,113B - Petr#,GNU C++,Accepted,342 ms,31400 KB,2016-07-31 18:44:00
40509662,Jul/18/2018 13:20,vjudge4,113B - Petr#,GNU C++14,Accepted,496 ms,24700 KB,2018-07-18 13:20:00
8293893,Oct/18/2014 16:41,rxdoi#,113B - Petr#,GNU C++,Accepted,124 ms,244000 KB,2014-10-18 16:41:00
19541213,Jul/31/2016 18:45,vjudge2,113B - Petr#,GNU C++,Accepted,374 ms,31400 KB,2016-07-31 18:45:00
25300128,Mar/06/2017 21:45,-Sali-,113B - Petr#,GNU C++11,Accepted,1934 ms,68900 KB,2017-03-06 21:45:00
70345004,Feb/05/2020 12:24,vjudge2,113B - Petr#,GNU C++17,Accepted,374 ms,24700 KB,2020-02-05 12:24:00
