2019991,Aug/16/2012 20:24,xlk,134B - Pairs of Numbers,Ruby,Accepted,1410 ms,5600 KB,2012-08-16 20:24:00
15914843,Feb/09/2016 16:54,not_bot_but_POT,134B - Pairs of Numbers,Ruby,Accepted,748 ms,0 KB,2016-02-09 16:54:00
56023879,Jun/25/2019 08:52,sorry_im_smurfing,134B - Pairs of Numbers,Ruby,Accepted,655 ms,0 KB,2019-06-25 08:52:00
35830603,Mar/02/2018 12:22,______M______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 12:22:00
35831957,Mar/02/2018 13:02,______i______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 13:02:00
35833254,Mar/02/2018 14:10,______k______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 14:10:00
35833255,Mar/02/2018 14:10,______h______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 14:10:00
35838661,Mar/02/2018 16:38,_____k_____,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 16:38:00
35838671,Mar/02/2018 16:38,_____i_____,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 16:38:00
35838766,Mar/02/2018 16:40,______u______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 16:40:00
35838770,Mar/02/2018 16:40,______n______,134B - Pairs of Numbers,Ruby,Accepted,748 ms,6300 KB,2018-03-02 16:40:00
929402,Dec/04/2011 16:22,urutom,134B - Pairs of Numbers,Ruby,Accepted,1130 ms,3500 KB,2011-12-04 16:22:00
937434,Dec/09/2011 18:23,wysoviet,134B - Pairs of Numbers,Haskell,Accepted,1110 ms,2000 KB,2011-12-09 18:23:00
915735,Dec/02/2011 19:37,* Rotsor,134B - Pairs of Numbers,Haskell,Accepted,1140 ms,2000 KB,2011-12-02 19:37:00
27934094,Jun/21/2017 02:59,Ahmedabdalmola,134B - Pairs of Numbers,GNU C++,Accepted,139 ms,2000 KB,2017-06-21 02:59:00
57903303,Jul/28/2019 19:34,lopare,134B - Pairs of Numbers,GNU C++11,Accepted,140 ms,0 KB,2019-07-28 19:34:00
2378549,Oct/17/2012 14:31,nealzane,134B - Pairs of Numbers,GNU C++,Accepted,171 ms,0 KB,2012-10-17 14:31:00
14183304,Nov/10/2015 14:24,130705009,134B - Pairs of Numbers,GNU C++,Accepted,109 ms,0 KB,2015-11-10 14:24:00
32318327,Nov/14/2017 22:02,JordiR,134B - Pairs of Numbers,GNU C++14,Accepted,93 ms,0 KB,2017-11-14 22:02:00
65795720,Nov/27/2019 07:25,Chaska,134B - Pairs of Numbers,GNU C++17,Accepted,124 ms,0 KB,2019-11-27 07:25:00
25463591,Mar/14/2017 02:39,ekzhang,134B - Pairs of Numbers,PyPy 3,Accepted,342 ms,23800 KB,2017-03-14 02:39:00
35780689,Feb/28/2018 13:02,Qumeric,134B - Pairs of Numbers,GNU C++17,Accepted,93 ms,2000 KB,2018-02-28 13:02:00
12349471,Aug/05/2015 12:59,yongwhan,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2015-08-05 12:59:00
917575,Dec/03/2011 06:52,guyomes,134B - Pairs of Numbers,Python 2,Accepted,1420 ms,12400 KB,2011-12-03 06:52:00
63958419,Nov/01/2019 06:36,FlyHorse,134B - Pairs of Numbers,GNU C++11,Accepted,155 ms,0 KB,2019-11-01 06:36:00
17084046,Apr/01/2016 06:02,freebsdx,134B - Pairs of Numbers,GNU C++11,Accepted,109 ms,2000 KB,2016-04-01 06:02:00
2203194,Sep/17/2012 16:27,tobpro,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1500 KB,2012-09-17 16:27:00
14399804,Nov/21/2015 17:21,NotMeAnyMore,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2015-11-21 17:21:00
12905207,Sep/09/2015 07:19,Kuzey,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2015-09-09 07:19:00
31547492,Oct/21/2017 04:42,zd11024,134B - Pairs of Numbers,GNU C++11,Accepted,93 ms,2000 KB,2017-10-21 04:42:00
57271502,Jul/18/2019 12:03,luogu_bot4,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2019-07-18 12:03:00
1666670,May/06/2012 18:26,7Midav7,134B - Pairs of Numbers,FPC,Accepted,220 ms,1100 KB,2012-05-06 18:26:00
14892155,Dec/20/2015 01:25,ITDOI,134B - Pairs of Numbers,GNU C++11,Accepted,249 ms,0 KB,2015-12-20 01:25:00
928006,Dec/04/2011 01:32,Daniil,134B - Pairs of Numbers,FPC,Accepted,610 ms,1000 KB,2011-12-04 01:32:00
10018959,Feb/25/2015 15:09,knowl,134B - Pairs of Numbers,GNU C++0x,Accepted,93 ms,0 KB,2015-02-25 15:09:00
59550610,Aug/27/2019 05:37,2020yyf,134B - Pairs of Numbers,GNU C++11,Accepted,156 ms,0 KB,2019-08-27 05:37:00
20190142,Aug/27/2016 10:35,Smaug,134B - Pairs of Numbers,GNU C++,Accepted,139 ms,2000 KB,2016-08-27 10:35:00
26648735,Apr/24/2017 23:32,Angry_Nigger,134B - Pairs of Numbers,GNU C++14,Accepted,93 ms,1900 KB,2017-04-24 23:32:00
915456,Dec/02/2011 19:26,Anastasko,134B - Pairs of Numbers,Delphi,Accepted,340 ms,800 KB,2011-12-02 19:26:00
4416585,Sep/07/2013 08:59,zzxchavo,134B - Pairs of Numbers,GNU C++,Accepted,218 ms,0 KB,2013-09-07 08:59:00
3607758,Apr/23/2013 00:07,soulnet,134B - Pairs of Numbers,GNU C++,Accepted,125 ms,0 KB,2013-04-23 00:07:00
24869800,Feb/21/2017 14:39,RUSH_D_CAT,134B - Pairs of Numbers,GNU C++14,Accepted,124 ms,1900 KB,2017-02-21 14:39:00
36527517,Mar/23/2018 13:33,RHTDM,134B - Pairs of Numbers,GNU C++17,Accepted,139 ms,3300 KB,2018-03-23 13:33:00
42833727,Sep/13/2018 17:20,Martin53,134B - Pairs of Numbers,GNU C++17,Accepted,187 ms,200 KB,2018-09-13 17:20:00
67453023,Dec/23/2019 08:27,Supzle,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2019-12-23 08:27:00
78431239,Apr/29/2020 03:07,ar7L,134B - Pairs of Numbers,GNU C++14,Accepted,234 ms,0 KB,2020-04-29 03:07:00
948423,Dec/10/2011 08:28,kord,134B - Pairs of Numbers,Delphi,Accepted,190 ms,900 KB,2011-12-10 08:28:00
2508263,Nov/05/2012 00:24,mercer_gb,134B - Pairs of Numbers,GNU C++,Accepted,78 ms,0 KB,2012-11-05 00:24:00
15609729,Jan/27/2016 13:47,-Sali-,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2016-01-27 13:47:00
25600586,Mar/18/2017 15:52,anh1l1ator,134B - Pairs of Numbers,GNU C++14,Accepted,171 ms,1900 KB,2017-03-18 15:52:00
1075355,Jan/18/2012 16:46,lysine,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1400 KB,2012-01-18 16:46:00
43486966,Sep/27/2018 13:48,luogu_bot4,134B - Pairs of Numbers,GNU C++11,Accepted,93 ms,0 KB,2018-09-27 13:48:00
972249,Dec/23/2011 05:09,Archon.JK,134B - Pairs of Numbers,GNU C++0x,Accepted,160 ms,1300 KB,2011-12-23 05:09:00
14975438,Dec/24/2015 18:36,_Hieu,134B - Pairs of Numbers,GNU C++,Accepted,93 ms,0 KB,2015-12-24 18:36:00
34641753,Jan/28/2018 22:05,Aditya_Ramesh,134B - Pairs of Numbers,GNU C++14,Accepted,233 ms,1900 KB,2018-01-28 22:05:00
985478,Dec/25/2011 16:57,flashmt,134B - Pairs of Numbers,GNU C++,Accepted,90 ms,1400 KB,2011-12-25 16:57:00
3665301,May/03/2013 20:12,brunoja,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,0 KB,2013-05-03 20:12:00
12534527,Aug/14/2015 20:58,vjudge2,134B - Pairs of Numbers,GNU C++,Accepted,109 ms,0 KB,2015-08-14 20:58:00
928064,Dec/04/2011 02:19,islamdiaa,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-04 02:19:00
928164,Dec/02/2011 19:01,islamdiaa#,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-02 19:01:00
32802701,Nov/30/2017 13:52,arshiya_,134B - Pairs of Numbers,GNU C++,Accepted,109 ms,2100 KB,2017-11-30 13:52:00
915476,Dec/02/2011 19:27,* sevenkplus,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-02 19:27:00
4619759,Oct/01/2013 15:58,vjudge1,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2013-10-01 15:58:00
70692584,Feb/09/2020 23:27,hardikpandya,134B - Pairs of Numbers,GNU C++11,Accepted,140 ms,0 KB,2020-02-09 23:27:00
973559,Dec/24/2011 02:20,itpro54#,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-24 02:20:00
60283255,Sep/09/2019 02:10,LittleBeetle,134B - Pairs of Numbers,GNU C++11,Accepted,140 ms,0 KB,2019-09-09 02:10:00
45155752,Nov/01/2018 04:17,luogu_bot5,134B - Pairs of Numbers,GNU C++11,Accepted,202 ms,15600 KB,2018-11-01 04:17:00
38087332,May/10/2018 12:08,3308044284,134B - Pairs of Numbers,GNU C++11,Accepted,139 ms,3800 KB,2018-05-10 12:08:00
38133318,May/12/2018 11:56,cr0n,134B - Pairs of Numbers,GNU C++14,Accepted,109 ms,3600 KB,2018-05-12 11:56:00
57272950,Jul/18/2019 12:36,luogu_bot5,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2019-07-18 12:36:00
15832636,Feb/05/2016 23:02,I_love_chickpea,134B - Pairs of Numbers,GNU C++11,Accepted,109 ms,0 KB,2016-02-05 23:02:00
26785501,May/01/2017 15:36,YazanRi,134B - Pairs of Numbers,GNU C++14,Accepted,202 ms,1900 KB,2017-05-01 15:36:00
928559,Dec/04/2011 08:27,david942j,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1300 KB,2011-12-04 08:27:00
1131377,Feb/01/2012 22:44,mage,134B - Pairs of Numbers,GNU C,Accepted,170 ms,1300 KB,2012-02-01 22:44:00
2069909,Aug/30/2012 20:39,mhadih,134B - Pairs of Numbers,FPC,Accepted,660 ms,600 KB,2012-08-30 20:39:00
59487511,Aug/25/2019 21:02,KhaiPV,134B - Pairs of Numbers,PyPy 3,Accepted,343 ms,2000 KB,2019-08-25 21:02:00
917751,Dec/03/2011 09:46,o_logn,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-03 09:46:00
8507555,Nov/01/2014 05:02,Chinawyh,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2014-11-01 05:02:00
58160178,Aug/02/2019 10:09,XZ20220135,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2019-08-02 10:09:00
12550821,Aug/15/2015 20:33,MaGaroo,134B - Pairs of Numbers,GNU C++11,Accepted,140 ms,0 KB,2015-08-15 20:33:00
932968,Dec/06/2011 16:33,okuzn,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-06 16:33:00
37504254,Apr/21/2018 08:51,vjudge4,134B - Pairs of Numbers,GNU C++,Accepted,249 ms,65900 KB,2018-04-21 08:51:00
914744,Dec/02/2011 19:08,Rmin,134B - Pairs of Numbers,GNU C++,Accepted,1050 ms,32600 KB,2011-12-02 19:08:00
13102157,Sep/19/2015 16:18,m.Sina,134B - Pairs of Numbers,GNU C++11,Accepted,218 ms,0 KB,2015-09-19 16:18:00
916869,Dec/02/2011 21:18,Sayakiss,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-02 21:18:00
12528698,Aug/14/2015 14:04,vjudge5,134B - Pairs of Numbers,GNU C++,Accepted,62 ms,0 KB,2015-08-14 14:04:00
17530647,Apr/27/2016 07:16,RNS_CUS#,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,2200 KB,2016-04-27 07:16:00
45155603,Nov/01/2018 03:56,luogu_bot4,134B - Pairs of Numbers,GNU C++11,Accepted,202 ms,15600 KB,2018-11-01 03:56:00
45155662,Nov/01/2018 04:04,luogu_bot2,134B - Pairs of Numbers,GNU C++11,Accepted,202 ms,15600 KB,2018-11-01 04:04:00
59659420,Aug/29/2019 14:51,lenalude,134B - Pairs of Numbers,GNU C++17,Accepted,171 ms,0 KB,2019-08-29 14:51:00
918783,Dec/03/2011 18:20,Aharon,134B - Pairs of Numbers,GNU C++,Accepted,1130 ms,32600 KB,2011-12-03 18:20:00
933160,Dec/06/2011 18:20,xukez2,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1300 KB,2011-12-06 18:20:00
3665393,May/03/2013 20:33,ffao,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,0 KB,2013-05-03 20:33:00
1237811,Feb/27/2012 00:21,codeforum,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-02-27 00:21:00
43707858,Oct/03/2018 03:30,Soren_15,134B - Pairs of Numbers,GNU C++14,Accepted,62 ms,0 KB,2018-10-03 03:30:00
36773424,Mar/31/2018 15:17,aaa2333333,134B - Pairs of Numbers,GNU C++17,Accepted,93 ms,3300 KB,2018-03-31 15:17:00
25638360,Mar/19/2017 10:10,bonfire,134B - Pairs of Numbers,GNU C++14,Accepted,218 ms,1900 KB,2017-03-19 10:10:00
915613,Dec/02/2011 19:33,* liuq901,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1300 KB,2011-12-02 19:33:00
