2039169,Aug/21/2012 05:12,xlk,137B - Permutation,Ruby,Accepted,140 ms,5700 KB,2012-08-21 05:12:00
15914846,Feb/09/2016 16:54,not_bot_but_POT,137B - Permutation,Ruby,Accepted,124 ms,300 KB,2016-02-09 16:54:00
56028279,Jun/25/2019 11:08,sorry_im_smurfing,137B - Permutation,Ruby,Accepted,154 ms,300 KB,2019-06-25 11:08:00
35830614,Mar/02/2018 12:22,______M______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 12:22:00
35831967,Mar/02/2018 13:02,______i______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 13:02:00
35834250,Mar/02/2018 14:58,______k______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 14:58:00
35834263,Mar/02/2018 14:58,______h______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 14:58:00
35838693,Mar/02/2018 16:38,_____k_____,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 16:38:00
35838701,Mar/02/2018 16:38,_____i_____,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 16:38:00
35838815,Mar/02/2018 16:41,______u______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 16:41:00
35838819,Mar/02/2018 16:41,______n______,137B - Permutation,Ruby,Accepted,122 ms,6500 KB,2018-03-02 16:41:00
962587,Dec/16/2011 13:32,nab,137B - Permutation,Ruby,Accepted,170 ms,5600 KB,2011-12-16 13:32:00
1479950,Apr/06/2012 17:46,satoshii,137B - Permutation,Ruby,Accepted,110 ms,5600 KB,2012-04-06 17:46:00
1130019,Feb/01/2012 12:23,watashi,137B - Permutation,Ruby,Accepted,130 ms,5600 KB,2012-02-01 12:23:00
5140835,Nov/18/2013 15:09,tomdmitriev,137B - Permutation,Ruby,Accepted,92 ms,200 KB,2013-11-18 15:09:00
962584,Dec/16/2011 13:31,nab,137B - Permutation,Python 2,Accepted,80 ms,3300 KB,2011-12-16 13:31:00
