15914854,Feb/09/2016 16:54,not_bot_but_POT,144B - Meeting,Haskell,Accepted,810 ms,8300 KB,2016-02-09 16:54:00
35830977,Mar/02/2018 12:32,______M______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 12:32:00
35834504,Mar/02/2018 15:05,______i______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 15:05:00
35834695,Mar/02/2018 15:10,______k______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 15:10:00
35834733,Mar/02/2018 15:10,______h______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 15:10:00
35839292,Mar/02/2018 16:50,_____i_____,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 16:50:00
35839296,Mar/02/2018 16:50,_____k_____,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 16:50:00
35839960,Mar/02/2018 17:09,______n______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 17:09:00
35839967,Mar/02/2018 17:09,______u______,144B - Meeting,Haskell,Accepted,686 ms,52000 KB,2018-03-02 17:09:00
56028547,Jun/25/2019 11:17,sorry_im_smurfing,144B - Meeting,Haskell,Accepted,934 ms,100 KB,2019-06-25 11:17:00
1099347,Jan/21/2012 18:53,Rotsor,144B - Meeting,Haskell,Accepted,1410 ms,2000 KB,2012-01-21 18:53:00
1741829,May/29/2012 22:09,nab,144B - Meeting,GNU C++,Accepted,60 ms,1400 KB,2012-05-29 22:09:00
57902949,Jul/28/2019 19:26,lopare,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 19:26:00
4412897,Sep/06/2013 05:38,kujta1,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2013-09-06 05:38:00
13950636,Oct/30/2015 14:05,Panqvela#,144B - Meeting,GNU C++11,Accepted,62 ms,100 KB,2015-10-30 14:05:00
76291426,Apr/12/2020 09:04,zero_01,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2020-04-12 09:04:00
2994819,Jan/23/2013 06:00,Chen_ChaoRui,144B - Meeting,GNU C++,Accepted,31 ms,0 KB,2013-01-23 06:00:00
12596237,Aug/19/2015 06:07,vjudge1,144B - Meeting,GNU C++,Accepted,92 ms,0 KB,2015-08-19 06:07:00
1076284,Jan/18/2012 19:16,Aman,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:16:00
31847127,Oct/28/2017 21:02,vjudge3,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2017-10-28 21:02:00
20427071,Sep/07/2016 03:58,Amores,144B - Meeting,PyPy 3,Accepted,654 ms,3900 KB,2016-09-07 03:58:00
70130677,Feb/03/2020 13:23,theWatchmak3r,144B - Meeting,PyPy 3,Accepted,842 ms,10100 KB,2020-02-03 13:23:00
44729286,Oct/23/2018 12:37,arkapravapaul,144B - Meeting,GNU C++11,Accepted,92 ms,0 KB,2018-10-23 12:37:00
11388816,Jun/02/2015 14:03,khewalgaurav,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2015-06-02 14:03:00
1742158,May/30/2012 10:42,AKruglyak,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-05-30 10:42:00
1685116,May/13/2012 01:13,jmazon,144B - Meeting,Haskell,Accepted,1510 ms,3100 KB,2012-05-13 01:13:00
1083635,Jan/19/2012 03:49,-dp-,144B - Meeting,Python 2,Accepted,60 ms,3100 KB,2012-01-19 03:49:00
16828479,Mar/20/2016 01:23,esam88,144B - Meeting,GNU C++,Accepted,60 ms,2200 KB,2016-03-20 01:23:00
1087106,Jan/19/2012 14:17,nealzane,144B - Meeting,Python 2,Accepted,60 ms,3100 KB,2012-01-19 14:17:00
55952732,Jun/23/2019 07:22,mostafametwally084,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-06-23 07:22:00
40236475,Jul/12/2018 18:12,Xsnake,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2018-07-12 18:12:00
73751172,Mar/20/2020 04:11,ZUST-18ZZL,144B - Meeting,GNU C++17,Accepted,92 ms,0 KB,2020-03-20 04:11:00
73751107,Mar/20/2020 04:09,vjudge5,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2020-03-20 04:09:00
41451121,Aug/11/2018 06:51,vjudge4,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2018-08-11 06:51:00
1417922,Mar/26/2012 02:20,alexey.enkov,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-03-26 02:20:00
1290506,Mar/05/2012 16:22,vkuzkokov,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-03-05 16:22:00
11366138,May/31/2015 15:05,irevt#,144B - Meeting,FPC,Accepted,92 ms,0 KB,2015-05-31 15:05:00
29758998,Aug/24/2017 21:59,Qumeric,144B - Meeting,GNU C++14,Accepted,30 ms,0 KB,2017-08-24 21:59:00
2097168,Sep/05/2012 15:23,Filins,144B - Meeting,MS C++,Accepted,200 ms,700 KB,2012-09-05 15:23:00
1090586,Jan/19/2012 17:06,MiFaFaOvO,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-19 17:06:00
1084687,Jan/19/2012 10:24,cojna,144B - Meeting,Haskell,Accepted,200 ms,2000 KB,2012-01-19 10:24:00
5024241,Nov/07/2013 20:42,alienApple#,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2013-11-07 20:42:00
61417677,Sep/28/2019 13:47,auth,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-09-28 13:47:00
2048094,Aug/25/2012 14:44,baezilisK,144B - Meeting,GNU C,Accepted,80 ms,1400 KB,2012-08-25 14:44:00
1101139,Jan/22/2012 10:48,LiJiancheng,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-22 10:48:00
7975332,Sep/26/2014 22:42,fktyf,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2014-09-26 22:42:00
50297402,Feb/22/2019 00:50,BabaYaga42,144B - Meeting,GNU C++17,Accepted,62 ms,0 KB,2019-02-22 00:50:00
4427338,Sep/07/2013 16:21,vjudge3,144B - Meeting,GNU C++,Accepted,30 ms,0 KB,2013-09-07 16:21:00
14181763,Nov/10/2015 11:43,130705009,144B - Meeting,GNU C++,Accepted,30 ms,0 KB,2015-11-10 11:43:00
8771968,Nov/21/2014 10:58,hakobyan.tigran,144B - Meeting,GNU C++0x,Accepted,62 ms,0 KB,2014-11-21 10:58:00
1612913,Apr/22/2012 14:11,vlad107,144B - Meeting,FPC,Accepted,80 ms,7000 KB,2012-04-22 14:11:00
1113808,Jan/24/2012 10:40,Archon.JK,144B - Meeting,GNU C++0x,Accepted,30 ms,1400 KB,2012-01-24 10:40:00
72534132,Mar/05/2020 21:48,turtle407,144B - Meeting,GNU C++14,Accepted,62 ms,200 KB,2020-03-05 21:48:00
80260521,May/15/2020 23:06,Erce_Can#,144B - Meeting,GNU C++11,Accepted,404 ms,3800 KB,2020-05-15 23:06:00
2528868,Nov/10/2012 01:51,daidailanlan,144B - Meeting,Python 2,Accepted,78 ms,300 KB,2012-11-10 01:51:00
2528866,Nov/10/2012 01:49,daidailanlan,144B - Meeting,Python 2,Accepted,78 ms,300 KB,2012-11-10 01:49:00
1937536,Jul/25/2012 06:39,claire_,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-07-25 06:39:00
56392611,Jul/01/2019 16:12,tvs1998,144B - Meeting,GNU C++11,Accepted,374 ms,0 KB,2019-07-01 16:12:00
1116172,Jan/25/2012 10:01,zhyu,144B - Meeting,Python 2,Accepted,60 ms,3100 KB,2012-01-25 10:01:00
1314534,Mar/09/2012 10:43,peter50216,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-03-09 10:43:00
4308690,Aug/18/2013 17:35,lovefly1983,144B - Meeting,GNU C++0x,Accepted,62 ms,0 KB,2013-08-18 17:35:00
75638129,Apr/06/2020 11:35,vjudge3,144B - Meeting,Clang++17 Diagnostics,Accepted,684 ms,0 KB,2020-04-06 11:35:00
1078883,Jan/18/2012 19:58,* wrong,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-01-18 19:58:00
1079380,Jan/18/2012 20:07,ErfanA,144B - Meeting,FPC,Accepted,280 ms,1100 KB,2012-01-18 20:07:00
40509575,Jul/18/2018 13:17,kunalkumar050894,144B - Meeting,GNU C++17,Accepted,92 ms,0 KB,2018-07-18 13:17:00
2583104,Nov/18/2012 04:08,_martin,144B - Meeting,MS C++,Accepted,46 ms,0 KB,2012-11-18 04:08:00
25754988,Mar/23/2017 21:20,KhaledElshamy,144B - Meeting,GNU C++11,Accepted,62 ms,2100 KB,2017-03-23 21:20:00
15428095,Jan/18/2016 17:07,m.Sina#,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2016-01-18 17:07:00
1077914,Jan/18/2012 19:40,FISHTOBY,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:40:00
1076783,Jan/18/2012 19:22,fagu,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-01-18 19:22:00
7187629,Jul/20/2014 19:30,MURAT_ECEM_EKICI,144B - Meeting,GNU C++,Accepted,124 ms,400 KB,2014-07-20 19:30:00
1182780,Feb/15/2012 20:33,Berezin,144B - Meeting,FPC,Accepted,640 ms,1100 KB,2012-02-15 20:33:00
18963602,Jul/08/2016 10:08,yashar_sb_sb,144B - Meeting,GNU C++11,Accepted,62 ms,200 KB,2016-07-08 10:08:00
2337002,Oct/11/2012 10:12,supdude1,144B - Meeting,MS C++,Accepted,46 ms,0 KB,2012-10-11 10:12:00
32502629,Nov/20/2017 17:26,zooll,144B - Meeting,GNU C++11,Accepted,154 ms,300 KB,2017-11-20 17:26:00
12263965,Jul/29/2015 14:54,samiemad#,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2015-07-29 14:54:00
77997555,Apr/25/2020 11:27,tflave,144B - Meeting,PyPy 3,Accepted,436 ms,3900 KB,2020-04-25 11:27:00
