2151850,Sep/12/2012 04:42,xlk,16B - Burglar and Matches,Ruby,Accepted,130 ms,5600 KB,2012-09-12 04:42:00
2791108,Dec/18/2012 18:21,ghafi007,16B - Burglar and Matches,Ruby,Accepted,46 ms,0 KB,2012-12-18 18:21:00
15914681,Feb/09/2016 16:51,not_bot_but_POT,16B - Burglar and Matches,Ruby,Accepted,122 ms,0 KB,2016-02-09 16:51:00
56014627,Jun/24/2019 23:13,sorry_im_smurfing,16B - Burglar and Matches,Ruby,Accepted,154 ms,100 KB,2019-06-24 23:13:00
35834224,Mar/02/2018 14:58,______M______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 14:58:00
35836332,Mar/02/2018 15:53,______i______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 15:53:00
35836645,Mar/02/2018 15:59,______h______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 15:59:00
35836646,Mar/02/2018 15:59,______k______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 15:59:00
35841594,Mar/02/2018 17:38,_____k_____,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 17:38:00
35841605,Mar/02/2018 17:38,_____i_____,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 17:38:00
35841888,Mar/02/2018 17:43,______n______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 17:43:00
35841911,Mar/02/2018 17:44,______u______,16B - Burglar and Matches,Ruby,Accepted,154 ms,6300 KB,2018-03-02 17:44:00
70136,Jun/03/2010 17:25,urutom,16B - Burglar and Matches,Ruby,Accepted,60 ms,3800 KB,2010-06-03 17:25:00
4831565,Oct/20/2013 10:03,Unlenin,16B - Burglar and Matches,Python 2,Accepted,92 ms,0 KB,2013-10-20 10:03:00
74865,Dec/09/2010 21:59,watashi,16B - Burglar and Matches,Ruby,Accepted,80 ms,3000 KB,2010-12-09 21:59:00
7672229,Sep/03/2014 10:36,abc_1988_1106,16B - Burglar and Matches,Python 2,Accepted,122 ms,0 KB,2014-09-03 10:36:00
79097876,May/06/2020 03:32,coderemite,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2020-05-06 03:32:00
14692488,Dec/08/2015 02:47,merolish,16B - Burglar and Matches,Python 3,Accepted,154 ms,0 KB,2015-12-08 02:47:00
990315,Dec/29/2011 07:21,nealzane,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2011-12-29 07:21:00
7672216,Sep/03/2014 10:34,abc_1988_1106,16B - Burglar and Matches,Python 2,Accepted,92 ms,0 KB,2014-09-03 10:34:00
29621656,Aug/20/2017 16:04,Qumeric,16B - Burglar and Matches,PyPy 3,Accepted,186 ms,0 KB,2017-08-20 16:04:00
55736886,Jun/19/2019 07:49,tushusavaliya,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-06-19 07:49:00
70520744,Feb/07/2020 20:48,jjbro,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-02-07 20:48:00
74016845,Mar/23/2020 10:35,rowida126,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2020-03-23 10:35:00
29364644,Aug/12/2017 01:15,Ahmed.Bassiouny,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-08-12 01:15:00
57908637,Jul/28/2019 21:49,lopare,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 21:49:00
4831554,Oct/20/2013 10:01,Unlenin,16B - Burglar and Matches,Python 2,Accepted,92 ms,0 KB,2013-10-20 10:01:00
3232225,Mar/03/2013 07:35,sambaek,16B - Burglar and Matches,Ruby,Accepted,62 ms,0 KB,2013-03-03 07:35:00
360186,Mar/27/2011 16:45,AntonDubovik,16B - Burglar and Matches,Python 2,Accepted,140 ms,4600 KB,2011-03-27 16:45:00
52277248,Apr/03/2019 18:17,toysheeyeyraku,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-04-03 18:17:00
72639597,Mar/07/2020 13:09,cs1g,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2020-03-07 13:09:00
2752902,Dec/12/2012 05:45,daidailanlan,16B - Burglar and Matches,Python 2,Accepted,78 ms,0 KB,2012-12-12 05:45:00
7240959,Jul/25/2014 14:03,knight-erraunt,16B - Burglar and Matches,Ruby,Accepted,124 ms,0 KB,2014-07-25 14:03:00
29364586,Aug/12/2017 01:08,Ahmed.Bassiouny,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-08-12 01:08:00
989830,Dec/28/2011 19:10,ronaflx,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2011-12-28 19:10:00
3360072,Mar/20/2013 13:24,FredaShi,16B - Burglar and Matches,Python 2,Accepted,62 ms,0 KB,2013-03-20 13:24:00
