284141,Feb/13/2011 18:59,watashi,17B - Hierarchy,Ruby,Accepted,200 ms,3000 KB,2011-02-13 18:59:00
15914683,Feb/09/2016 16:51,not_bot_but_POT,17B - Hierarchy,Ruby,Accepted,186 ms,200 KB,2016-02-09 16:51:00
35834966,Mar/02/2018 15:16,______M______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 15:16:00
35837347,Mar/02/2018 16:10,______i______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 16:10:00
35837638,Mar/02/2018 16:16,______k______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 16:16:00
35837639,Mar/02/2018 16:16,______h______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 16:16:00
35842594,Mar/02/2018 17:55,_____k_____,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 17:55:00
35842795,Mar/02/2018 18:00,_____i_____,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 18:00:00
35843027,Mar/02/2018 18:05,______n______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 18:05:00
35843059,Mar/02/2018 18:05,______u______,17B - Hierarchy,Ruby,Accepted,186 ms,6300 KB,2018-03-02 18:05:00
56014652,Jun/24/2019 23:14,sorry_im_smurfing,17B - Hierarchy,Ruby,Accepted,186 ms,0 KB,2019-06-24 23:14:00
5199091,Nov/23/2013 19:50,Unlenin,17B - Hierarchy,Python 2,Accepted,124 ms,100 KB,2013-11-23 19:50:00
360834,Mar/28/2011 15:21,AntonDubovik,17B - Hierarchy,Python 2,Accepted,90 ms,2800 KB,2011-03-28 15:21:00
2791103,Dec/18/2012 18:20,ghafi007,17B - Hierarchy,Python 2,Accepted,93 ms,0 KB,2012-12-18 18:20:00
922319,Jun/10/2010 19:22,nns2009#,17B - Hierarchy,Python 2,Accepted,90 ms,2900 KB,2010-06-10 19:22:00
5360379,Dec/06/2013 16:42,yugle7,17B - Hierarchy,Python 3,Accepted,156 ms,100 KB,2013-12-06 16:42:00
29629575,Aug/20/2017 23:06,Qumeric,17B - Hierarchy,Python 3,Accepted,280 ms,0 KB,2017-08-20 23:06:00
63756472,Oct/30/2019 02:53,boboquack,17B - Hierarchy,PyPy 3,Accepted,530 ms,4500 KB,2019-10-30 02:53:00
483229,Jun/08/2011 19:17,july,17B - Hierarchy,Python 2,Accepted,90 ms,2800 KB,2011-06-08 19:17:00
74364480,Mar/26/2020 11:09,Vasiliy_48,17B - Hierarchy,Python 3,Accepted,278 ms,300 KB,2020-03-26 11:09:00
7452825,Aug/15/2014 15:38,sjhshuan_NOW,17B - Hierarchy,Python 3,Accepted,186 ms,0 KB,2014-08-15 15:38:00
55736771,Jun/19/2019 07:43,tusharsavaliya,17B - Hierarchy,Python 3,Accepted,278 ms,0 KB,2019-06-19 07:43:00
55736924,Jun/19/2019 07:51,tushusavaliya,17B - Hierarchy,Python 3,Accepted,278 ms,0 KB,2019-06-19 07:51:00
22087234,Nov/07/2016 05:20,ngocthoaia1,17B - Hierarchy,Ruby,Accepted,218 ms,100 KB,2016-11-07 05:20:00
42121927,Aug/26/2018 15:56,Mk_Python_v1,17B - Hierarchy,Python 3,Accepted,280 ms,100 KB,2018-08-26 15:56:00
22087580,Nov/07/2016 06:13,BeanToan,17B - Hierarchy,Ruby,Accepted,278 ms,200 KB,2016-11-07 06:13:00
78031,Jun/10/2010 21:55,yoshibo-,17B - Hierarchy,Ruby,Accepted,160 ms,4000 KB,2010-06-10 21:55:00
267081,Jan/29/2011 08:17,ftiasch,17B - Hierarchy,Python 2,Accepted,90 ms,2700 KB,2011-01-29 08:17:00
39813843,Jul/01/2018 09:47,YashVSingh,17B - Hierarchy,Python 3,Accepted,312 ms,0 KB,2018-07-01 09:47:00
338698,Mar/16/2011 21:40,crfyth,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2011-03-16 21:40:00
17019394,Mar/29/2016 15:24,Ahriman,17B - Hierarchy,FPC,Accepted,30 ms,1600 KB,2016-03-29 15:24:00
332324,Mar/13/2011 16:02,Emelyanov,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2011-03-13 16:02:00
78367,Jun/11/2010 08:24,kusano,17B - Hierarchy,Python 2,Accepted,1420 ms,3700 KB,2010-06-11 08:24:00
58868033,Aug/15/2019 17:09,wuhuang1,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2019-08-15 17:09:00
77184,Jun/10/2010 20:42,sazzad,17B - Hierarchy,MS C++,Accepted,60 ms,1400 KB,2010-06-10 20:42:00
79006,Jun/17/2010 07:33,fobnn,17B - Hierarchy,Python 2,Accepted,1410 ms,3700 KB,2010-06-17 07:33:00
18767909,Jun/28/2016 16:26,VAVAvile,17B - Hierarchy,GNU C++11,Accepted,122 ms,0 KB,2016-06-28 16:26:00
75354,Jun/10/2010 19:16,subscriber,17B - Hierarchy,Delphi,Accepted,50 ms,800 KB,2010-06-10 19:16:00
77070,Jun/10/2010 20:37,sazzad,17B - Hierarchy,MS C++,Accepted,60 ms,1400 KB,2010-06-10 20:37:00
15896071,Feb/08/2016 16:14,Maryam_AbdElmoneam,17B - Hierarchy,MS C++,Accepted,62 ms,100 KB,2016-02-08 16:14:00
46659195,Dec/05/2018 21:08,tarikisildar,17B - Hierarchy,PyPy 3,Accepted,528 ms,3800 KB,2018-12-05 21:08:00
40516742,Jul/18/2018 16:40,vjudge3,17B - Hierarchy,GNU C++,Accepted,156 ms,7800 KB,2018-07-18 16:40:00
79232,Jul/17/2010 21:28,vilcheuski,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2010-07-17 21:28:00
2357387,Oct/14/2012 10:14,tamojit9,17B - Hierarchy,MS C++,Accepted,46 ms,0 KB,2012-10-14 10:14:00
47443236,Dec/24/2018 07:00,Suraj_Yadav,17B - Hierarchy,GNU C++14,Accepted,124 ms,200 KB,2018-12-24 07:00:00
28965692,Jul/29/2017 08:17,hjx_bravery,17B - Hierarchy,GNU C++,Accepted,124 ms,9900 KB,2017-07-29 08:17:00
30463751,Sep/18/2017 15:29,LittleBear1224,17B - Hierarchy,GNU C++14,Accepted,124 ms,9700 KB,2017-09-18 15:29:00
75672,Jun/10/2010 19:28,Shik,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2010-06-10 19:28:00
16963277,Mar/27/2016 01:58,sainiarpit12,17B - Hierarchy,GNU C++,Accepted,124 ms,2200 KB,2016-03-27 01:58:00
78791,Jun/13/2010 19:42,choice,17B - Hierarchy,GNU C,Accepted,50 ms,1300 KB,2010-06-13 19:42:00
5832942,Jan/29/2014 19:11,Vlad_kv,17B - Hierarchy,MS C++,Accepted,62 ms,0 KB,2014-01-29 19:11:00
1531347,Apr/13/2012 23:29,cup_of_tea#,17B - Hierarchy,GNU C++,Accepted,50 ms,1400 KB,2012-04-13 23:29:00
3312633,Mar/14/2013 03:37,aiiYuu,17B - Hierarchy,GNU C++,Accepted,15 ms,0 KB,2013-03-14 03:37:00
10407911,Mar/23/2015 11:29,FightGrovyle,17B - Hierarchy,GNU C++,Accepted,62 ms,0 KB,2015-03-23 11:29:00
37463623,Apr/19/2018 16:44,naive_wcx,17B - Hierarchy,GNU C++,Accepted,154 ms,5000 KB,2018-04-19 16:44:00
78056518,Apr/25/2020 21:37,thErocKstaR,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2020-04-25 21:37:00
253350,Jan/16/2011 17:46,sevenkplus,17B - Hierarchy,GNU C++,Accepted,50 ms,1300 KB,2011-01-16 17:46:00
352623,Mar/23/2011 19:53,alexander-nsk94,17B - Hierarchy,Delphi,Accepted,30 ms,800 KB,2011-03-23 19:53:00
58413318,Aug/07/2019 06:02,I_am_insane,17B - Hierarchy,GNU C++14,Accepted,124 ms,200 KB,2019-08-07 06:02:00
78981534,May/04/2020 18:27,levpon4ik,17B - Hierarchy,GNU C++17,Accepted,122 ms,0 KB,2020-05-04 18:27:00
26504169,Apr/19/2017 23:55,ali96mohammad961996,17B - Hierarchy,GNU C++14,Accepted,92 ms,2700 KB,2017-04-19 23:55:00
6455158,Apr/23/2014 19:17,gskhirtladze,17B - Hierarchy,GNU C++,Accepted,62 ms,7800 KB,2014-04-23 19:17:00
18158325,May/30/2016 17:43,Prateek1996,17B - Hierarchy,GNU C++11,Accepted,124 ms,2200 KB,2016-05-30 17:43:00
322720,Mar/06/2011 19:51,vladislav,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2011-03-06 19:51:00
7199024,Jul/22/2014 06:28,kawazaki,17B - Hierarchy,GNU C++,Accepted,62 ms,0 KB,2014-07-22 06:28:00
55867909,Jun/21/2019 16:08,gaddopur_coder,17B - Hierarchy,GNU C++17,Accepted,92 ms,500 KB,2019-06-21 16:08:00
63672525,Oct/28/2019 20:22,tyler_durden_07,17B - Hierarchy,GNU C++17,Accepted,92 ms,500 KB,2019-10-28 20:22:00
38773890,May/30/2018 16:03,percyjackson,17B - Hierarchy,GNU C++,Accepted,124 ms,11500 KB,2018-05-30 16:03:00
76234023,Apr/11/2020 08:20,vjudge1,17B - Hierarchy,GNU C++11,Accepted,60 ms,0 KB,2020-04-11 08:20:00
15920801,Feb/09/2016 22:50,agat00,17B - Hierarchy,JavaScript,Accepted,122 ms,3100 KB,2016-02-09 22:50:00
71445161,Feb/19/2020 17:58,luogu_bot4,17B - Hierarchy,GNU C++11,Accepted,92 ms,100 KB,2020-02-19 17:58:00
71959950,Feb/27/2020 11:38,luogu_bot1,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2020-02-27 11:38:00
71961356,Feb/27/2020 12:06,luogu_bot4,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2020-02-27 12:06:00
1762025,Jun/03/2012 23:43,scorpion,17B - Hierarchy,FPC,Accepted,30 ms,1200 KB,2012-06-03 23:43:00
59655567,Aug/29/2019 13:12,harshitgargjpr,17B - Hierarchy,GNU C++11,Accepted,62 ms,0 KB,2019-08-29 13:12:00
7540967,Aug/21/2014 11:33,bauka,17B - Hierarchy,GNU C++,Accepted,62 ms,0 KB,2014-08-21 11:33:00
78352590,Apr/28/2020 09:32,yuvrajsingh,17B - Hierarchy,GNU C++17,Accepted,122 ms,300 KB,2020-04-28 09:32:00
49387289,Feb/03/2019 10:41,bhargav_0085,17B - Hierarchy,GNU C++14,Accepted,62 ms,200 KB,2019-02-03 10:41:00
57511729,Jul/22/2019 17:05,amiralisalimi,17B - Hierarchy,GNU C++17,Accepted,124 ms,0 KB,2019-07-22 17:05:00
1567371,Apr/17/2012 19:21,tennisru,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2012-04-17 19:21:00
29249618,Aug/07/2017 01:27,rematchka,17B - Hierarchy,GNU C++14,Accepted,92 ms,1900 KB,2017-08-07 01:27:00
28345911,Jul/07/2017 12:03,somebody_else,17B - Hierarchy,GNU C++14,Accepted,62 ms,1900 KB,2017-07-07 12:03:00
75844,Jun/10/2010 19:34,biochem_fan,17B - Hierarchy,Ruby,Accepted,440 ms,8000 KB,2010-06-10 19:34:00
15893116,Feb/08/2016 12:09,Momentum,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2016-02-08 12:09:00
79707689,May/11/2020 08:22,run_time_terror,17B - Hierarchy,GNU C++17,Accepted,92 ms,3700 KB,2020-05-11 08:22:00
28346775,Jul/07/2017 12:44,vjudge2,17B - Hierarchy,GNU C++14,Accepted,92 ms,1900 KB,2017-07-07 12:44:00
75647,Jun/10/2010 19:27,chavit,17B - Hierarchy,FPC,Accepted,30 ms,1000 KB,2010-06-10 19:27:00
59938215,Sep/03/2019 13:21,harshitbansal05,17B - Hierarchy,GNU C++14,Accepted,124 ms,0 KB,2019-09-03 13:21:00
73320047,Mar/15/2020 12:23,vjudge2,17B - Hierarchy,GNU C++11,Accepted,92 ms,0 KB,2020-03-15 12:23:00
78516,Jun/11/2010 16:01,lyrics,17B - Hierarchy,MS C++,Accepted,50 ms,1300 KB,2010-06-11 16:01:00
78961,Jun/15/2010 15:19,qwrq,17B - Hierarchy,GNU C++,Accepted,90 ms,1300 KB,2010-06-15 15:19:00
20918519,Sep/26/2016 05:41,syt,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2016-09-26 05:41:00
63227172,Oct/23/2019 12:41,Apendenov.Er,17B - Hierarchy,GNU C++14,Accepted,122 ms,0 KB,2019-10-23 12:41:00
48566639,Jan/19/2019 12:55,mmachaidze,17B - Hierarchy,GNU C++14,Accepted,122 ms,0 KB,2019-01-19 12:55:00
63779976,Oct/30/2019 13:44,Alfeh,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2019-10-30 13:44:00
30834979,Sep/29/2017 19:13,samyak.j,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2017-09-29 19:13:00
75686,Jun/10/2010 19:28,PanZverski,17B - Hierarchy,Delphi,Accepted,30 ms,800 KB,2010-06-10 19:28:00
824451,Jun/10/2010 19:16,Battle_Mage#,17B - Hierarchy,MS C++,Accepted,50 ms,1400 KB,2010-06-10 19:16:00
79234,Jul/21/2010 06:41,diegofurts,17B - Hierarchy,GNU C++,Accepted,50 ms,1300 KB,2010-07-21 06:41:00
57945691,Jul/29/2019 17:15,01121846955,17B - Hierarchy,GNU C++17,Accepted,122 ms,100 KB,2019-07-29 17:15:00
53697618,May/03/2019 11:35,saghe_talaii,17B - Hierarchy,GNU C++17,Accepted,92 ms,31800 KB,2019-05-03 11:35:00
3793564,May/30/2013 12:24,delta_4d,17B - Hierarchy,GNU C++,Accepted,15 ms,0 KB,2013-05-30 12:24:00
18378901,Jun/11/2016 20:41,Windboy,17B - Hierarchy,GNU C++11,Accepted,122 ms,2200 KB,2016-06-11 20:41:00
