15914950,Feb/09/2016 16:56,not_bot_but_POT,208B - Solitaire,Ruby,Accepted,77 ms,700 KB,2016-02-09 16:56:00
35837294,Mar/02/2018 16:10,______M______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 16:10:00
35840015,Mar/02/2018 17:09,______i______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 17:09:00
35840311,Mar/02/2018 17:15,______k______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 17:15:00
35840341,Mar/02/2018 17:15,______h______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 17:15:00
35844646,Mar/02/2018 18:33,_____i_____,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 18:33:00
35844647,Mar/02/2018 18:33,_____k_____,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 18:33:00
35847264,Mar/02/2018 19:40,______u______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 19:40:00
35847265,Mar/02/2018 19:40,______n______,208B - Solitaire,Ruby,Accepted,62 ms,7000 KB,2018-03-02 19:40:00
1934719,Jul/24/2012 10:16,Nakilon,208B - Solitaire,Ruby,Accepted,160 ms,5600 KB,2012-07-24 10:16:00
1934605,Jul/24/2012 09:49,xlk,208B - Solitaire,Python 2,Accepted,110 ms,3200 KB,2012-07-24 09:49:00
1926956,Jul/23/2012 20:00,* Shik,208B - Solitaire,Python 2,Accepted,130 ms,3200 KB,2012-07-23 20:00:00
5302832,Nov/29/2013 20:50,Unlenin,208B - Solitaire,Python 2,Accepted,92 ms,400 KB,2013-11-29 20:50:00
2041092,Aug/21/2012 23:47,htvu,208B - Solitaire,Python 2,Accepted,450 ms,5000 KB,2012-08-21 23:47:00
2041111,Aug/22/2012 00:05,htvu,208B - Solitaire,Python 2,Accepted,130 ms,3200 KB,2012-08-22 00:05:00
