66440963,Dec/07/2019 10:55,bularond,235B - Let's Play Osu!,PyPy 3,Accepted,434 ms,9500 KB,2019-12-07 10:55:00
15914985,Feb/09/2016 16:57,not_bot_but_POT,235B - Let's Play Osu!,Python 2,Accepted,218 ms,5900 KB,2016-02-09 16:57:00
35839172,Mar/02/2018 16:48,______M______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 16:48:00
35841808,Mar/02/2018 17:43,______i______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 17:43:00
35842090,Mar/02/2018 17:48,______k______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 17:48:00
35842242,Mar/02/2018 17:49,______h______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 17:49:00
35848928,Mar/02/2018 20:06,_____k_____,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 20:06:00
35848975,Mar/02/2018 20:06,_____i_____,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 20:06:00
35849254,Mar/02/2018 20:11,______n______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 20:11:00
35853552,Mar/02/2018 22:19,______u______,235B - Let's Play Osu!,Python 2,Accepted,248 ms,10400 KB,2018-03-02 22:19:00
60733813,Sep/17/2019 19:42,sorry_im_smurfing,235B - Let's Play Osu!,Python 2,Accepted,466 ms,6000 KB,2019-09-17 19:42:00
2405332,Oct/21/2012 21:25,nealzane,235B - Let's Play Osu!,Python 2,Accepted,171 ms,5700 KB,2012-10-21 21:25:00
2403663,Oct/21/2012 16:49,Cromel,236D - Let's Play Osu!,Ruby,Accepted,453 ms,8900 KB,2012-10-21 16:49:00
2405969,Oct/22/2012 00:29,Cromel,235B - Let's Play Osu!,Ruby,Accepted,453 ms,8900 KB,2012-10-22 00:29:00
2566053,Nov/16/2012 11:04,lfp,235B - Let's Play Osu!,Ruby,Accepted,437 ms,5100 KB,2012-11-16 11:04:00
2406469,Oct/22/2012 06:40,Adelaide,235B - Let's Play Osu!,Ruby,Accepted,468 ms,8900 KB,2012-10-22 06:40:00
2406232,Oct/22/2012 03:15,Den.Sergeyev,236D - Let's Play Osu!,Ruby,Accepted,421 ms,8900 KB,2012-10-22 03:15:00
57821905,Jul/27/2019 03:06,py_ultron,235B - Let's Play Osu!,GNU C++11,Accepted,998 ms,0 KB,2019-07-27 03:06:00
14487097,Nov/26/2015 06:25,carlostrevino,235B - Let's Play Osu!,GNU C++,Accepted,1246 ms,0 KB,2015-11-26 06:25:00
57898889,Jul/28/2019 17:49,lopare,235B - Let's Play Osu!,GNU C++11,Accepted,1060 ms,0 KB,2019-07-28 17:49:00
4165497,Jul/25/2013 22:50,AekdyCoin,236D - Let's Play Osu!,Ruby,Accepted,406 ms,9700 KB,2013-07-25 22:50:00
55586901,Jun/15/2019 13:04,luogu_bot4,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-06-15 13:04:00
2404322,Oct/21/2012 18:13,ray040123,236D - Let's Play Osu!,Python 2,Accepted,187 ms,5700 KB,2012-10-21 18:13:00
63386515,Oct/25/2019 16:55,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-10-25 16:55:00
2407962,Oct/22/2012 14:53,hza,235B - Let's Play Osu!,GNU C++,Accepted,171 ms,0 KB,2012-10-22 14:53:00
2404576,Oct/21/2012 18:54,farmerboy,236D - Let's Play Osu!,FPC,Accepted,46 ms,0 KB,2012-10-21 18:54:00
2408679,Oct/22/2012 17:15,swordfeng,235B - Let's Play Osu!,FPC,Accepted,46 ms,0 KB,2012-10-22 17:15:00
40938107,Jul/30/2018 10:08,vjudge5,236D - Let's Play Osu!,GNU C++,Accepted,1278 ms,0 KB,2018-07-30 10:08:00
61099216,Sep/23/2019 08:43,dblark,235B - Let's Play Osu!,FPC,Accepted,92 ms,0 KB,2019-09-23 08:43:00
71973971,Feb/27/2020 16:10,damon2598,235B - Let's Play Osu!,GNU C++14,Accepted,248 ms,0 KB,2020-02-27 16:10:00
14238350,Nov/13/2015 19:47,bluefi,235B - Let's Play Osu!,GNU C++,Accepted,1216 ms,0 KB,2015-11-13 19:47:00
64881631,Nov/14/2019 14:48,countercurrent-time,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-11-14 14:48:00
58244313,Aug/04/2019 07:15,hotwords,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-08-04 07:15:00
6421641,Apr/20/2014 03:16,ifr33m4n,235B - Let's Play Osu!,GNU C++0x,Accepted,1028 ms,0 KB,2014-04-20 03:16:00
4174408,Jul/27/2013 11:17,vjudge1,236D - Let's Play Osu!,GNU C++,Accepted,124 ms,0 KB,2013-07-27 11:17:00
4174394,Jul/27/2013 11:15,vjudge3,236D - Let's Play Osu!,GNU C++,Accepted,124 ms,0 KB,2013-07-27 11:15:00
11189479,May/21/2015 15:10,JIP,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2015-05-21 15:10:00
5376139,Dec/07/2013 17:28,PSDEV,235B - Let's Play Osu!,GNU C++,Accepted,124 ms,0 KB,2013-12-07 17:28:00
15159926,Jan/02/2016 18:19,sonlh07,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2016-01-02 18:19:00
20085987,Aug/23/2016 16:03,Talon_F,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,1800 KB,2016-08-23 16:03:00
39351467,Jun/18/2018 11:59,luogu_bot1,235B - Let's Play Osu!,GNU C++,Accepted,124 ms,0 KB,2018-06-18 11:59:00
42066490,Aug/24/2018 23:00,DESmart18,235B - Let's Play Osu!,Python 3,Accepted,404 ms,8200 KB,2018-08-24 23:00:00
2415844,Oct/23/2012 09:40,eddy1021,236D - Let's Play Osu!,GNU C++,Accepted,171 ms,0 KB,2012-10-23 09:40:00
2415853,Oct/23/2012 09:43,eddy1021,235B - Let's Play Osu!,GNU C++,Accepted,171 ms,0 KB,2012-10-23 09:43:00
29623282,Aug/20/2017 17:23,cen,235B - Let's Play Osu!,Python 3,Accepted,374 ms,9100 KB,2017-08-20 17:23:00
