301780,Feb/24/2011 21:09,watashi,24B - F1 Champions,Ruby,Accepted,90 ms,3900 KB,2011-02-24 21:09:00
15914692,Feb/09/2016 16:51,not_bot_but_POT,24B - F1 Champions,Ruby,Accepted,124 ms,100 KB,2016-02-09 16:51:00
35840666,Mar/02/2018 17:21,______M______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 17:21:00
35842714,Mar/02/2018 17:59,______i______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 17:59:00
35842976,Mar/02/2018 18:04,______k______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 18:04:00
35843171,Mar/02/2018 18:06,______h______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 18:06:00
35854313,Mar/02/2018 22:39,_____k_____,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 22:39:00
35854330,Mar/02/2018 22:39,_____i_____,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 22:39:00
35854957,Mar/02/2018 22:52,______n______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 22:52:00
35855013,Mar/02/2018 22:52,______u______,24B - F1 Champions,Ruby,Accepted,154 ms,6400 KB,2018-03-02 22:52:00
56014814,Jun/24/2019 23:21,sorry_im_smurfing,24B - F1 Champions,Ruby,Accepted,124 ms,100 KB,2019-06-24 23:21:00
41265656,Aug/06/2018 09:56,eddysboy,24B - F1 Champions,Python 2,Accepted,312 ms,0 KB,2018-08-06 09:56:00
41289102,Aug/07/2018 03:41,luogu_bot3,24B - F1 Champions,Python 2,Accepted,312 ms,0 KB,2018-08-07 03:41:00
45377500,Nov/06/2018 16:05,vjudge4,24B - F1 Champions,PyPy 2,Accepted,248 ms,200 KB,2018-11-06 16:05:00
45377548,Nov/06/2018 16:06,vjudge1,24B - F1 Champions,Python 2,Accepted,342 ms,100 KB,2018-11-06 16:06:00
47815586,Jan/01/2019 17:11,SirULG,24B - F1 Champions,Python 3,Accepted,218 ms,0 KB,2019-01-01 17:11:00
74855519,Mar/30/2020 20:57,Vasiliy_48,24B - F1 Champions,Python 3,Accepted,218 ms,300 KB,2020-03-30 20:57:00
41262941,Aug/06/2018 07:41,Patti,24B - F1 Champions,Python 2,Accepted,342 ms,0 KB,2018-08-06 07:41:00
104796,Jul/26/2010 23:42,kusano,24B - F1 Champions,Python 2,Accepted,60 ms,2700 KB,2010-07-26 23:42:00
35850804,Mar/02/2018 20:57,shivramx,24B - F1 Champions,Python 2,Accepted,124 ms,4500 KB,2018-03-02 20:57:00
6710853,May/25/2014 19:18,yugle7,24B - F1 Champions,Python 3,Accepted,124 ms,0 KB,2014-05-25 19:18:00
29603760,Aug/19/2017 19:41,Qumeric,24B - F1 Champions,Python 3,Accepted,154 ms,0 KB,2017-08-19 19:41:00
41263706,Aug/06/2018 08:24,paris2007,24B - F1 Champions,Python 2,Accepted,372 ms,0 KB,2018-08-06 08:24:00
369340,Apr/02/2011 23:44,AntonDubovik,24B - F1 Champions,Python 2,Accepted,60 ms,2800 KB,2011-04-02 23:44:00
1479215,Apr/06/2012 11:09,jiangzhijie,24B - F1 Champions,Python 2,Accepted,60 ms,2800 KB,2012-04-06 11:09:00
874127,Jul/26/2010 17:36,cup_of_tea#,24B - F1 Champions,Python 2,Accepted,60 ms,2800 KB,2010-07-26 17:36:00
42122127,Aug/26/2018 16:02,Mk_Python_v1,24B - F1 Champions,Python 3,Accepted,218 ms,0 KB,2018-08-26 16:02:00
55737596,Jun/19/2019 08:27,kapilkatrodiya79,24B - F1 Champions,Python 3,Accepted,218 ms,0 KB,2019-06-19 08:27:00
54437164,May/21/2019 09:29,tushartyagi8750,24B - F1 Champions,Python 3,Accepted,248 ms,0 KB,2019-05-21 09:29:00
52743592,Apr/14/2019 13:28,teitoku,24B - F1 Champions,PyPy 3,Accepted,280 ms,300 KB,2019-04-14 13:28:00
45318011,Nov/05/2018 12:04,annoying,24B - F1 Champions,Python 3,Accepted,218 ms,0 KB,2018-11-05 12:04:00
35854992,Mar/02/2018 22:52,foohyfooh,24B - F1 Champions,PyPy 3,Accepted,218 ms,19700 KB,2018-03-02 22:52:00
106080,Aug/03/2010 22:57,odomontois,24B - F1 Champions,Python 2,Accepted,60 ms,2700 KB,2010-08-03 22:57:00
3065116,Feb/02/2013 21:38,m1_k3,24B - F1 Champions,Python 2,Accepted,62 ms,0 KB,2013-02-02 21:38:00
58500732,Aug/09/2019 17:10,vjudge4,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-08-09 17:10:00
16758989,Mar/17/2016 10:20,ITDOI#,24B - F1 Champions,GNU C++11,Accepted,30 ms,0 KB,2016-03-17 10:20:00
57908317,Jul/28/2019 21:39,lopare,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 21:39:00
102164,Jul/26/2010 17:53,david.a.peter,24B - F1 Champions,Python 2,Accepted,60 ms,2900 KB,2010-07-26 17:53:00
34216437,Jan/16/2018 11:25,polphit,24B - F1 Champions,Python 3,Accepted,124 ms,5500 KB,2018-01-16 11:25:00
10828118,Apr/22/2015 22:36,FilipVesovic,24B - F1 Champions,GNU C++11,Accepted,62 ms,2000 KB,2015-04-22 22:36:00
484187,Jun/09/2011 18:42,Archon.JK,24B - F1 Champions,GNU C++0x,Accepted,10 ms,1400 KB,2011-06-09 18:42:00
79123922,May/06/2020 12:09,maoyiting,24B - F1 Champions,GNU C++11,Accepted,62 ms,500 KB,2020-05-06 12:09:00
70434680,Feb/06/2020 15:34,luogu_bot5,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2020-02-06 15:34:00
101478,Jul/26/2010 17:24,tanakh,24B - F1 Champions,Haskell,Accepted,50 ms,3100 KB,2010-07-26 17:24:00
56689166,Jul/08/2019 05:22,batman13,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2019-07-08 05:22:00
