313726,Mar/01/2011 23:12,watashi,30B - Codeforces World Finals,Ruby,Accepted,160 ms,4900 KB,2011-03-01 23:12:00
15914701,Feb/09/2016 16:51,not_bot_but_POT,30B - Codeforces World Finals,Ruby,Accepted,154 ms,300 KB,2016-02-09 16:51:00
35847130,Mar/02/2018 19:39,______M______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 19:39:00
35853529,Mar/02/2018 22:19,______i______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 22:19:00
35854357,Mar/02/2018 22:39,______k______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 22:39:00
35854369,Mar/02/2018 22:39,______h______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 22:39:00
35858324,Mar/02/2018 23:57,_____k_____,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 23:57:00
35858435,Mar/02/2018 23:59,_____i_____,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-02 23:59:00
35858839,Mar/03/2018 00:07,______n______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-03 00:07:00
35859077,Mar/03/2018 00:12,______u______,30B - Codeforces World Finals,Ruby,Accepted,156 ms,6600 KB,2018-03-03 00:12:00
56015023,Jun/24/2019 23:29,sorry_im_smurfing,30B - Codeforces World Finals,Ruby,Accepted,124 ms,300 KB,2019-06-24 23:29:00
13228184,Sep/26/2015 09:13,kewl,30B - Codeforces World Finals,Python 3,Accepted,124 ms,0 KB,2015-09-26 09:13:00
57871487,Jul/28/2019 05:10,Alex_Wei,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 05:10:00
78462223,Apr/29/2020 12:58,ZUST-18ZZL,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,0 KB,2020-04-29 12:58:00
73539981,Mar/18/2020 08:23,luogu_bot2,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-18 08:23:00
78462137,Apr/29/2020 12:57,vjudge5,30B - Codeforces World Finals,GNU C++17 (64),Accepted,62 ms,0 KB,2020-04-29 12:57:00
2265938,Sep/28/2012 15:45,nealzane,30B - Codeforces World Finals,Python 2,Accepted,62 ms,0 KB,2012-09-28 15:45:00
15501340,Jan/22/2016 19:18,merolish,30B - Codeforces World Finals,Python 3,Accepted,124 ms,0 KB,2016-01-22 19:18:00
37914924,May/06/2018 00:22,Qumeric,30B - Codeforces World Finals,Python 3,Accepted,186 ms,6900 KB,2018-05-06 00:22:00
55847362,Jun/21/2019 02:11,dhavalkasodariya11111,30B - Codeforces World Finals,Python 3,Accepted,248 ms,0 KB,2019-06-21 02:11:00
3921223,Jun/19/2013 20:03,delta_4d,30B - Codeforces World Finals,Ruby,Accepted,46 ms,200 KB,2013-06-19 20:03:00
42122153,Aug/26/2018 16:03,Mk_Python_v1,30B - Codeforces World Finals,Python 3,Accepted,248 ms,0 KB,2018-08-26 16:03:00
41458902,Aug/11/2018 10:44,paris2007,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,0 KB,2018-08-11 10:44:00
41897952,Aug/20/2018 13:37,luogu_bot4,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2018-08-20 13:37:00
44045450,Oct/09/2018 19:57,atlasworld,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,0 KB,2018-10-09 19:57:00
57908028,Jul/28/2019 21:32,lopare,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 21:32:00
44045550,Oct/09/2018 20:00,do_good_,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,0 KB,2018-10-09 20:00:00
41512363,Aug/12/2018 06:16,LGD,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-12 06:16:00
277252,Feb/08/2011 18:04,Aleksey,30B - Codeforces World Finals,Python 2,Accepted,80 ms,2700 KB,2011-02-08 18:04:00
41463922,Aug/11/2018 12:54,ssw666,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 12:54:00
42212901,Aug/28/2018 18:23,tzc_wk,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,200 KB,2018-08-28 18:23:00
41463162,Aug/11/2018 12:31,WYF,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 12:31:00
41553269,Aug/13/2018 12:35,luogu_bot1,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2018-08-13 12:35:00
16640733,Mar/11/2016 01:13,Abdo_Issa,30B - Codeforces World Finals,GNU C++11,Accepted,30 ms,0 KB,2016-03-11 01:13:00
50489859,Feb/25/2019 15:58,080818TeddyWang,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-02-25 15:58:00
33589493,Dec/24/2017 12:38,haizhe,30B - Codeforces World Finals,GNU C++14,Accepted,30 ms,1900 KB,2017-12-24 12:38:00
36876511,Apr/02/2018 14:35,Geo_01,30B - Codeforces World Finals,GNU C++14,Accepted,60 ms,3300 KB,2018-04-02 14:35:00
46470932,Dec/02/2018 10:25,scyscy,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2018-12-02 10:25:00
14661388,Dec/05/2015 15:18,froghramar,30B - Codeforces World Finals,GNU C++11,Accepted,30 ms,0 KB,2015-12-05 15:18:00
23375355,Dec/28/2016 13:23,Ali.Pi,30B - Codeforces World Finals,GNU C++14,Accepted,60 ms,1900 KB,2016-12-28 13:23:00
55830419,Jun/20/2019 15:52,lnj,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-06-20 15:52:00
2297794,Oct/04/2012 09:20,vjudge1,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 09:20:00
56545390,Jul/05/2019 10:25,vjudge2,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,0 KB,2019-07-05 10:25:00
13827880,Oct/24/2015 19:36,130705009,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2015-10-24 19:36:00
65882150,Nov/27/2019 22:37,hpfdf#,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,200 KB,2019-11-27 22:37:00
68237828,Jan/05/2020 14:40,Eric-999,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-01-05 14:40:00
