24087292,Jan/24/2017 11:01,Yash_,385B - Bear and Strings,PyPy 3,Accepted,202 ms,23000 KB,2017-01-24 11:01:00
35857338,Mar/02/2018 23:39,______M______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-02 23:39:00
35858995,Mar/03/2018 00:11,______i______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 00:11:00
35859568,Mar/03/2018 00:23,______h______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 00:23:00
35859588,Mar/03/2018 00:23,______k______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 00:23:00
35862556,Mar/03/2018 01:27,_____k_____,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 01:27:00
35862618,Mar/03/2018 01:29,_____i_____,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 01:29:00
35863077,Mar/03/2018 01:38,______n______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 01:38:00
35863261,Mar/03/2018 01:42,______u______,385B - Bear and Strings,PyPy 3,Accepted,93 ms,19500 KB,2018-03-03 01:42:00
20738639,Sep/18/2016 18:34,Amores,385B - Bear and Strings,Python 3,Accepted,77 ms,0 KB,2016-09-18 18:34:00
29594916,Aug/19/2017 12:55,Qumeric,385B - Bear and Strings,Python 3,Accepted,62 ms,0 KB,2017-08-19 12:55:00
5789828,Jan/24/2014 20:03,stas_sl,385B - Bear and Strings,Ruby,Accepted,124 ms,100 KB,2014-01-24 20:03:00
15915204,Feb/09/2016 17:01,not_bot_but_POT,385B - Bear and Strings,Ruby,Accepted,62 ms,100 KB,2016-02-09 17:01:00
78458414,Apr/29/2020 12:12,servermonk,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2020-04-29 12:12:00
23840754,Jan/15/2017 17:25,YazanRi,385B - Bear and Strings,Python 3,Accepted,62 ms,4500 KB,2017-01-15 17:25:00
40619022,Jul/22/2018 00:51,shreyashk1997,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2018-07-22 00:51:00
80274713,May/16/2020 06:28,rowida126,385B - Bear and Strings,Python 3,Accepted,124 ms,6500 KB,2020-05-16 06:28:00
5815490,Jan/27/2014 01:06,rsFalse#,385B - Bear and Strings,Perl,Accepted,30 ms,0 KB,2014-01-27 01:06:00
5960027,Mar/08/2014 04:58,jackowitzd2,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2014-03-08 04:58:00
48643005,Jan/20/2019 19:04,toysheeyeyraku,385B - Bear and Strings,PyPy 3,Accepted,156 ms,100 KB,2019-01-20 19:04:00
48929379,Jan/25/2019 14:57,HazemEssawi,385B - Bear and Strings,PyPy 3,Accepted,140 ms,100 KB,2019-01-25 14:57:00
9160412,Dec/17/2014 13:43,bhargav104,385B - Bear and Strings,Python 2,Accepted,78 ms,100 KB,2014-12-17 13:43:00
48600434,Jan/20/2019 11:08,ashok123,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2019-01-20 11:08:00
74708183,Mar/29/2020 11:27,thukrake_mera_pyaar,385B - Bear and Strings,Python 3,Accepted,109 ms,0 KB,2020-03-29 11:27:00
5853578,Jan/31/2014 07:25,__hehe__,385B - Bear and Strings,Perl,Accepted,31 ms,0 KB,2014-01-31 07:25:00
67696548,Dec/27/2019 16:05,mayurii,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2019-12-27 16:05:00
54568932,May/24/2019 21:05,kaif_7,385B - Bear and Strings,PyPy 2,Accepted,140 ms,100 KB,2019-05-24 21:05:00
5898888,Feb/05/2014 01:22,out0fbounds,385B - Bear and Strings,Python 2,Accepted,62 ms,0 KB,2014-02-05 01:22:00
5898889,Feb/05/2014 01:22,out0fbounds,385B - Bear and Strings,Python 2,Accepted,78 ms,0 KB,2014-02-05 01:22:00
6297614,Apr/08/2014 00:41,jaroslove,385B - Bear and Strings,Ruby,Accepted,77 ms,0 KB,2014-04-08 00:41:00
9556055,Jan/26/2015 07:16,calmhandtitan,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2015-01-26 07:16:00
42125400,Aug/26/2018 17:51,Mk_Python_v1,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2018-08-26 17:51:00
17845312,May/11/2016 18:31,karan_lal2015,385B - Bear and Strings,Python 2,Accepted,77 ms,4600 KB,2016-05-11 18:31:00
5833109,Jan/29/2014 19:44,Adams,385B - Bear and Strings,Python 2,Accepted,61 ms,100 KB,2014-01-29 19:44:00
5801595,Jan/25/2014 04:59,tsfn,385B - Bear and Strings,Ruby,Accepted,93 ms,0 KB,2014-01-25 04:59:00
