625802,Aug/22/2011 14:46,AntonDubovik,3B - Lorry,Python 2,Accepted,940 ms,11300 KB,2011-08-22 14:46:00
15914663,Feb/09/2016 16:50,not_bot_but_POT,3B - Lorry,Python 2,Accepted,1216 ms,9300 KB,2016-02-09 16:50:00
35858473,Mar/03/2018 00:00,______M______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 00:00:00
35860228,Mar/03/2018 00:37,______i______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 00:37:00
35860534,Mar/03/2018 00:44,______h______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 00:44:00
35860549,Mar/03/2018 00:44,______k______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 00:44:00
35863557,Mar/03/2018 01:48,_____k_____,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 01:48:00
35863811,Mar/03/2018 01:55,_____i_____,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 01:55:00
35864186,Mar/03/2018 02:03,______u______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 02:03:00
35864202,Mar/03/2018 02:04,______n______,3B - Lorry,Python 2,Accepted,1246 ms,13700 KB,2018-03-03 02:04:00
2787736,Dec/17/2012 18:56,ghafi007,3B - Lorry,Python 2,Accepted,858 ms,9400 KB,2012-12-17 18:56:00
40534508,Jul/19/2018 08:25,brokenpants,3B - Lorry,Python 2,Accepted,1526 ms,9300 KB,2018-07-19 08:25:00
47872112,Jan/03/2019 16:26,bashetti,3B - Lorry,Python 2,Accepted,1340 ms,9300 KB,2019-01-03 16:26:00
48870315,Jan/24/2019 08:40,siddharthpogul1999,3B - Lorry,Python 2,Accepted,1340 ms,9300 KB,2019-01-24 08:40:00
56013656,Jun/24/2019 22:35,sorry_im_smurfing,3B - Lorry,Python 2,Accepted,1184 ms,9300 KB,2019-06-24 22:35:00
20474573,Sep/09/2016 11:40,franckmy,3B - Lorry,Python 2,Accepted,1246 ms,9300 KB,2016-09-09 11:40:00
65345013,Nov/19/2019 15:17,TianSunXing,3B - Lorry,Python 2,Accepted,1308 ms,9300 KB,2019-11-19 15:17:00
3965894,Jun/27/2013 08:11,E478,3B - Lorry,Python 2,Accepted,998 ms,10000 KB,2013-06-27 08:11:00
76762932,Apr/15/2020 09:16,TianZuiXing,3B - Lorry,GNU C++11,Accepted,124 ms,2300 KB,2020-04-15 09:16:00
5183869,Nov/21/2013 14:13,Unlenin,3B - Lorry,Python 2,Accepted,1092 ms,14000 KB,2013-11-21 14:13:00
673919,Sep/08/2011 17:13,ZhouYuChen,3B - Lorry,GNU C++,Accepted,130 ms,3400 KB,2011-09-08 17:13:00
57914562,Jul/29/2019 02:58,lopare,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-07-29 02:58:00
58382172,Aug/06/2019 13:29,TianZuiXing,3B - Lorry,GNU C++11,Accepted,124 ms,2100 KB,2019-08-06 13:29:00
3172977,Feb/22/2013 19:36,daidailanlan,3B - Lorry,Python 2,Accepted,718 ms,17200 KB,2013-02-22 19:36:00
35589614,Feb/23/2018 09:29,MinecraftFuns,3B - Lorry,GNU C++,Accepted,92 ms,3900 KB,2018-02-23 09:29:00
3551921,Apr/16/2013 15:01,Hamilton10,3B - Lorry,Python 2,Accepted,875 ms,9400 KB,2013-04-16 15:01:00
3502989,Apr/11/2013 14:47,edified,3B - Lorry,GNU C++,Accepted,93 ms,2000 KB,2013-04-11 14:47:00
23170210,Dec/20/2016 08:38,ELNUR.ktl,3B - Lorry,GNU C++,Accepted,124 ms,3900 KB,2016-12-20 08:38:00
23170386,Dec/20/2016 08:50,ELNUR.ktl#,3B - Lorry,GNU C++,Accepted,124 ms,3900 KB,2016-12-20 08:50:00
54744496,May/28/2019 12:49,luogu_bot2,3B - Lorry,GNU C++11,Accepted,154 ms,1900 KB,2019-05-28 12:49:00
54750683,May/28/2019 15:41,Liyi1,3B - Lorry,MS C++,Accepted,124 ms,2100 KB,2019-05-28 15:41:00
59259195,Aug/22/2019 10:53,cys014,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-08-22 10:53:00
64121342,Nov/03/2019 04:34,f7oghroo,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-11-03 04:34:00
9871262,Feb/16/2015 16:00,NIGA,3B - Lorry,GNU C++,Accepted,124 ms,1900 KB,2015-02-16 16:00:00
28422766,Jul/11/2017 10:56,hbxiaohao,3B - Lorry,GNU C++11,Accepted,92 ms,3900 KB,2017-07-11 10:56:00
54750276,May/28/2019 15:31,luogu_bot1,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-05-28 15:31:00
60062027,Sep/05/2019 10:26,Zeus123,3B - Lorry,GNU C++11,Accepted,92 ms,1900 KB,2019-09-05 10:26:00
12486623,Aug/13/2015 06:35,kwakwa,3B - Lorry,GNU C,Accepted,124 ms,1600 KB,2015-08-13 06:35:00
18512941,Jun/16/2016 08:45,tecalm,3B - Lorry,PyPy 2,Accepted,1652 ms,21100 KB,2016-06-16 08:45:00
18512895,Jun/16/2016 08:41,tecalm,3B - Lorry,PyPy 2,Accepted,1496 ms,11200 KB,2016-06-16 08:41:00
44362365,Oct/15/2018 18:08,luogu_bot4,3B - Lorry,GNU C++11,Accepted,92 ms,1900 KB,2018-10-15 18:08:00
