28160904,Jun/30/2017 04:19,Yash_,483B - Friends and Presents,PyPy 2,Accepted,155 ms,21400 KB,2017-06-30 04:19:00
35863154,Mar/03/2018 01:40,______M______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 01:40:00
35870214,Mar/03/2018 09:22,______i______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 09:22:00
35870968,Mar/03/2018 09:40,______k______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 09:40:00
35870979,Mar/03/2018 09:40,______h______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 09:40:00
35874302,Mar/03/2018 10:47,_____i_____,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 10:47:00
35874479,Mar/03/2018 10:51,_____k_____,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 10:51:00
35875084,Mar/03/2018 11:08,______n______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 11:08:00
35875190,Mar/03/2018 11:09,______u______,483B - Friends and Presents,PyPy 2,Accepted,77 ms,20900 KB,2018-03-03 11:09:00
15915348,Feb/09/2016 17:04,not_bot_but_POT,483B - Friends and Presents,Python 2,Accepted,46 ms,0 KB,2016-02-09 17:04:00
8431237,Oct/27/2014 15:42,nealzane,483B - Friends and Presents,Python 2,Accepted,62 ms,0 KB,2014-10-27 15:42:00
29759184,Aug/24/2017 22:01,Qumeric,483B - Friends and Presents,Python 3,Accepted,77 ms,0 KB,2017-08-24 22:01:00
8437972,Oct/27/2014 20:17,tomlau,483B - Friends and Presents,Python 3,Accepted,61 ms,0 KB,2014-10-27 20:17:00
8554001,Nov/05/2014 08:16,harihara_panigrahy,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2014-11-05 08:16:00
42126164,Aug/26/2018 18:20,Mk_Python_v1,483B - Friends and Presents,Python 3,Accepted,124 ms,0 KB,2018-08-26 18:20:00
8384539,Oct/24/2014 21:35,Denzed,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2014-10-24 21:35:00
8394698,Oct/25/2014 00:05,zetilovn,483B - Friends and Presents,Python 3,Accepted,77 ms,0 KB,2014-10-25 00:05:00
73816212,Mar/20/2020 20:31,cp_noob,483B - Friends and Presents,Python 3,Accepted,109 ms,0 KB,2020-03-20 20:31:00
