15915398,Feb/09/2016 17:05,not_bot_but_POT,519B - A and B and Compilation Errors,Ruby,Accepted,514 ms,22700 KB,2016-02-09 17:05:00
10090308,Mar/01/2015 03:28,giguru,519B - A and B and Compilation Errors,Ruby,Accepted,452 ms,22300 KB,2015-03-01 03:28:00
35870723,Mar/03/2018 09:34,______M______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 09:34:00
35872658,Mar/03/2018 10:16,______i______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 10:16:00
35873154,Mar/03/2018 10:24,______k______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 10:24:00
35873336,Mar/03/2018 10:29,______h______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 10:29:00
35883892,Mar/03/2018 16:03,_____i_____,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 16:03:00
35884195,Mar/03/2018 16:08,_____k_____,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 16:08:00
35884988,Mar/03/2018 16:21,______n______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 16:21:00
35885104,Mar/03/2018 16:22,______u______,519B - A and B and Compilation Errors,Ruby,Accepted,467 ms,28900 KB,2018-03-03 16:22:00
56493121,Jul/04/2019 03:33,xcytxc,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,7400 KB,2019-07-04 03:33:00
56524339,Jul/04/2019 19:27,goyal.amanrocks,519B - A and B and Compilation Errors,PyPy 3,Accepted,436 ms,12200 KB,2019-07-04 19:27:00
65340494,Nov/19/2019 13:45,liuteng,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7600 KB,2019-11-19 13:45:00
69978524,Feb/01/2020 18:40,visha1,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-02-01 18:40:00
72863529,Mar/10/2020 05:17,harshav_b,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,8000 KB,2020-03-10 05:17:00
73764233,Mar/20/2020 09:06,18wh1a0428,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-03-20 09:06:00
79794223,May/12/2020 05:48,abhishek_987,519B - A and B and Compilation Errors,PyPy 3,Accepted,405 ms,11300 KB,2020-05-12 05:48:00
43416413,Sep/25/2018 18:43,khaled.meme,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2018-09-25 18:43:00
46760964,Dec/08/2018 16:26,mah1ndra,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-08 16:26:00
46974793,Dec/13/2018 18:55,LiyaKatya,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-13 18:55:00
46975175,Dec/13/2018 19:08,Julia_palm,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-13 19:08:00
46975425,Dec/13/2018 19:16,leog40,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-13 19:16:00
46977534,Dec/13/2018 20:30,timur8554,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-13 20:30:00
46995464,Dec/14/2018 11:08,buranbaev.den,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-14 11:08:00
47528860,Dec/26/2018 20:34,jaaguptamme,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,7300 KB,2018-12-26 20:34:00
49239808,Jan/31/2019 12:45,kakajan,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-01-31 12:45:00
50558050,Feb/27/2019 12:12,16wh1a1221,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-02-27 12:12:00
50558141,Feb/27/2019 12:16,bachhieu1412,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-02-27 12:16:00
51351019,Mar/16/2019 00:58,Soumya_123,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-03-16 00:58:00
64664476,Nov/11/2019 03:30,RicardoLegAc,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7700 KB,2019-11-11 03:30:00
73360679,Mar/15/2020 21:32,ece_18wh1a0445,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,8100 KB,2020-03-15 21:32:00
75975905,Apr/09/2020 12:55,18wh1a0426,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,7900 KB,2020-04-09 12:55:00
72785428,Mar/09/2020 15:38,test_bench,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,8000 KB,2020-03-09 15:38:00
55070167,Jun/04/2019 08:56,_Big_O_,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,7300 KB,2019-06-04 08:56:00
73565148,Mar/18/2020 14:40,ece_18wh1a0447,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,8000 KB,2020-03-18 14:40:00
63623410,Oct/28/2019 04:30,Johuihui,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7700 KB,2019-10-28 04:30:00
71588957,Feb/22/2020 08:47,stars_in_the_sky,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-02-22 08:47:00
71589125,Feb/22/2020 08:51,slepok,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-02-22 08:51:00
10083810,Feb/28/2015 18:38,giguru,519B - A and B and Compilation Errors,Ruby,Accepted,452 ms,20900 KB,2015-02-28 18:38:00
43416287,Sep/25/2018 18:40,khaled.meme,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7200 KB,2018-09-25 18:40:00
72791026,Mar/09/2020 17:16,akshithaadepu,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,8000 KB,2020-03-09 17:16:00
11977890,Jul/09/2015 01:36,animesht,519B - A and B and Compilation Errors,Python 2,Accepted,233 ms,7300 KB,2015-07-09 01:36:00
73196300,Mar/14/2020 11:03,shivangi_dhiman,519B - A and B and Compilation Errors,PyPy 3,Accepted,405 ms,11300 KB,2020-03-14 11:03:00
42696116,Sep/09/2018 10:15,Sanjit,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7300 KB,2018-09-09 10:15:00
71588885,Feb/22/2020 08:45,stars_in_the_sky,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-02-22 08:45:00
46435167,Dec/01/2018 11:35,wishna,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-01 11:35:00
53589079,Apr/30/2019 23:59,ArinaM,519B - A and B and Compilation Errors,PyPy 3,Accepted,405 ms,15400 KB,2019-04-30 23:59:00
50917322,Mar/07/2019 10:12,vincentviktor,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-03-07 10:12:00
10073168,Feb/28/2015 16:44,* giguru,519B - A and B and Compilation Errors,Ruby,Accepted,530 ms,21900 KB,2015-02-28 16:44:00
18399102,Jun/12/2016 22:38,hintpine,519B - A and B and Compilation Errors,Python 2,Accepted,280 ms,11500 KB,2016-06-12 22:38:00
73334014,Mar/15/2020 15:34,mai99,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-03-15 15:34:00
38989745,Jun/06/2018 12:27,kireeti_gupta,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,7300 KB,2018-06-06 12:27:00
42695921,Sep/09/2018 10:09,Sanjit,519B - A and B and Compilation Errors,Python 3,Accepted,249 ms,8700 KB,2018-09-09 10:09:00
10129801,Mar/03/2015 11:26,soda_beta,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7100 KB,2015-03-03 11:26:00
22832860,Dec/09/2016 15:14,BlueHazard_rony,519B - A and B and Compilation Errors,Python 2,Accepted,233 ms,7300 KB,2016-12-09 15:14:00
27599429,Jun/05/2017 22:23,Mr.Dark,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7400 KB,2017-06-05 22:23:00
38566685,May/23/2018 18:37,Fan_Of_The_Secret_Annex,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,7300 KB,2018-05-23 18:37:00
10084764,Feb/28/2015 19:11,rsFalse,519B - A and B and Compilation Errors,Perl,Accepted,529 ms,26900 KB,2015-02-28 19:11:00
46987636,Dec/14/2018 00:58,fidan,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-14 00:58:00
49863163,Feb/13/2019 13:42,Akhil_Maddukuri,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,7300 KB,2019-02-13 13:42:00
71794688,Feb/24/2020 18:36,dhanya_03,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7900 KB,2020-02-24 18:36:00
10093533,Mar/01/2015 11:37,nealzane,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-03-01 11:37:00
46048946,Nov/22/2018 08:42,lucad,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7300 KB,2018-11-22 08:42:00
46976021,Dec/13/2018 19:37,lugenlord,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2018-12-13 19:37:00
10083940,Feb/28/2015 18:42,Igorjan94,519B - A and B and Compilation Errors,PyPy 3,Accepted,421 ms,11000 KB,2015-02-28 18:42:00
