33277741,Dec/16/2017 00:56,yugle7,613B - Skills,PyPy 3,Accepted,1372 ms,45100 KB,2017-12-16 00:56:00
35884334,Mar/03/2018 16:09,______M______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 16:09:00
35887182,Mar/03/2018 16:59,______k______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 16:59:00
35887589,Mar/03/2018 17:07,______h______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 17:07:00
35893285,Mar/03/2018 18:47,______i______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 18:47:00
35895557,Mar/03/2018 19:47,_____i_____,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 19:47:00
35895726,Mar/03/2018 19:52,______u______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 19:52:00
35895804,Mar/03/2018 19:52,______n______,613B - Skills,PyPy 3,Accepted,1169 ms,37000 KB,2018-03-03 19:52:00
57816417,Jul/26/2019 22:57,py_ultron,613B - Skills,GNU C++11,Accepted,156 ms,2400 KB,2019-07-26 22:57:00
28630153,Jul/17/2017 09:47,vjudge3,614D - Skills,GNU C++,Accepted,171 ms,4400 KB,2017-07-17 09:47:00
57882960,Jul/28/2019 11:37,lopare,613B - Skills,GNU C++11,Accepted,140 ms,2400 KB,2019-07-28 11:37:00
15385964,Jan/15/2016 12:37,ITDOI,613B - Skills,GNU C++11,Accepted,171 ms,3100 KB,2016-01-15 12:37:00
78382769,Apr/28/2020 15:39,Soren_15,613B - Skills,GNU C++17,Accepted,93 ms,3400 KB,2020-04-28 15:39:00
36293824,Mar/15/2018 11:45,bojverdict1,613B - Skills,GNU C++,Accepted,187 ms,4400 KB,2018-03-15 11:45:00
36293833,Mar/15/2018 11:45,zengyicheng1,613B - Skills,GNU C++14,Accepted,186 ms,4200 KB,2018-03-15 11:45:00
28744672,Jul/21/2017 11:28,vjudge3,614D - Skills,GNU C++,Accepted,93 ms,5200 KB,2017-07-21 11:28:00
28640153,Jul/17/2017 16:02,vjudge3,614D - Skills,GNU C++14,Accepted,233 ms,41000 KB,2017-07-17 16:02:00
28640200,Jul/17/2017 16:04,Dance_Of_Faith,614D - Skills,GNU C++14,Accepted,249 ms,41000 KB,2017-07-17 16:04:00
48275873,Jan/12/2019 08:40,monk_z,613B - Skills,GNU C++14,Accepted,155 ms,2400 KB,2019-01-12 08:40:00
28630886,Jul/17/2017 10:10,vjudge4,614D - Skills,GNU C++,Accepted,217 ms,5800 KB,2017-07-17 10:10:00
28630555,Jul/17/2017 10:00,jxcakak,614D - Skills,GNU C++,Accepted,202 ms,5800 KB,2017-07-17 10:00:00
19661933,Aug/06/2016 07:13,vjudge3,613B - Skills,GNU C++,Accepted,187 ms,4400 KB,2016-08-06 07:13:00
50145177,Feb/19/2019 06:14,vjudge1,613B - Skills,GNU C++17,Accepted,93 ms,3100 KB,2019-02-19 06:14:00
28624072,Jul/17/2017 05:33,vjudge1,614D - Skills,GNU C++,Accepted,187 ms,4400 KB,2017-07-17 05:33:00
28022497,Jun/25/2017 15:57,demonsbane,613B - Skills,GNU C++14,Accepted,187 ms,4200 KB,2017-06-25 15:57:00
28628559,Jul/17/2017 08:59,vjudge1,614D - Skills,GNU C++,Accepted,186 ms,4200 KB,2017-07-17 08:59:00
19660664,Aug/06/2016 05:09,vjudge4,613B - Skills,GNU C++,Accepted,202 ms,4200 KB,2016-08-06 05:09:00
36190943,Mar/11/2018 10:47,bojverdict2,613B - Skills,GNU C++14,Accepted,249 ms,5000 KB,2018-03-11 10:47:00
54511216,May/23/2019 10:13,Kush.code,613B - Skills,GNU C++14,Accepted,93 ms,2300 KB,2019-05-23 10:13:00
16823626,Mar/19/2016 19:33,freebsdx,613B - Skills,GNU C++11,Accepted,343 ms,4200 KB,2016-03-19 19:33:00
28627991,Jul/17/2017 08:39,foreverpiano,614D - Skills,GNU C++,Accepted,187 ms,4200 KB,2017-07-17 08:39:00
36119146,Mar/09/2018 16:58,Aiky,613B - Skills,GNU C++14,Accepted,93 ms,5000 KB,2018-03-09 16:58:00
15416075,Jan/17/2016 18:00,A.Arslan2016,613B - Skills,GNU C++,Accepted,187 ms,2200 KB,2016-01-17 18:00:00
15430023,Jan/18/2016 19:33,lkdmhy,614D - Skills,GNU C++11,Accepted,187 ms,2200 KB,2016-01-18 19:33:00
19185120,Jul/17/2016 09:26,makeitdone,614D - Skills,GNU C++11,Accepted,202 ms,2200 KB,2016-07-17 09:26:00
24357594,Feb/02/2017 06:08,TianyiChen,613B - Skills,GNU C++14,Accepted,327 ms,5000 KB,2017-02-02 06:08:00
15386511,Jan/15/2016 13:25,130705009,613B - Skills,GNU C++,Accepted,217 ms,2200 KB,2016-01-15 13:25:00
56398120,Jul/01/2019 18:33,1729618548,613B - Skills,GNU C++11,Accepted,187 ms,6300 KB,2019-07-01 18:33:00
36984358,Apr/05/2018 03:54,mohammedehab2002,614D - Skills,GNU C++14,Accepted,187 ms,5200 KB,2018-04-05 03:54:00
22193175,Nov/13/2016 15:56,Gold_7,613B - Skills,GNU C++,Accepted,93 ms,2900 KB,2016-11-13 15:56:00
15377912,Jan/15/2016 00:19,Whalanator,613B - Skills,GNU C++11,Accepted,156 ms,3100 KB,2016-01-15 00:19:00
15614030,Jan/27/2016 18:08,yaoling1997,613B - Skills,GNU C++,Accepted,78 ms,6100 KB,2016-01-27 18:08:00
15373142,Jan/14/2016 21:33,OICyan,614D - Skills,GNU C++,Accepted,187 ms,2200 KB,2016-01-14 21:33:00
28637520,Jul/17/2017 14:16,vjudge1,614D - Skills,GNU C++,Accepted,265 ms,5200 KB,2017-07-17 14:16:00
27993780,Jun/24/2017 02:18,Deathly_Hallows,613B - Skills,GNU C++11,Accepted,187 ms,5200 KB,2017-06-24 02:18:00
28636264,Jul/17/2017 13:19,zhaimingshuzms,614D - Skills,GNU C++,Accepted,264 ms,5200 KB,2017-07-17 13:19:00
20795788,Sep/21/2016 16:33,Submissions_Me,614D - Skills,GNU C++11,Accepted,468 ms,31300 KB,2016-09-21 16:33:00
15783324,Feb/04/2016 11:07,GinghouLuk,614D - Skills,GNU C++,Accepted,452 ms,6300 KB,2016-02-04 11:07:00
17774976,May/07/2016 12:02,Libre,613B - Skills,GNU C++11,Accepted,249 ms,4900 KB,2016-05-07 12:02:00
16648967,Mar/11/2016 16:06,alex20030190,613B - Skills,GNU C++,Accepted,78 ms,2000 KB,2016-03-11 16:06:00
28627062,Jul/17/2017 08:07,vjudge5,614D - Skills,GNU C++,Accepted,234 ms,5800 KB,2017-07-17 08:07:00
72222454,Mar/02/2020 04:20,Zhu_Xiangyu,613B - Skills,GNU C++11,Accepted,233 ms,234800 KB,2020-03-02 04:20:00
24915150,Feb/23/2017 14:44,vjudge4,614D - Skills,GNU C++,Accepted,405 ms,3600 KB,2017-02-23 14:44:00
21210407,Oct/05/2016 16:58,Ajatar,613B - Skills,GNU C++,Accepted,202 ms,3000 KB,2016-10-05 16:58:00
72990678,Mar/12/2020 03:52,saza,613B - Skills,GNU C++11,Accepted,233 ms,234800 KB,2020-03-12 03:52:00
16030378,Feb/15/2016 12:54,vjudge2,613B - Skills,GNU C++,Accepted,93 ms,2200 KB,2016-02-15 12:54:00
15469007,Jan/21/2016 16:32,coder_in_use,613B - Skills,GNU C++11,Accepted,343 ms,3100 KB,2016-01-21 16:32:00
15674878,Jan/30/2016 11:10,"zzqsps: TLE, PeterShao#",614D - Skills,GNU C++11,Accepted,421 ms,7300 KB,2016-01-30 11:10:00
15373926,Jan/14/2016 22:13,12121005,613B - Skills,GNU C++11,Accepted,77 ms,2700 KB,2016-01-14 22:13:00
20785787,Sep/21/2016 01:23,bluefi,614D - Skills,GNU C++11,Accepted,171 ms,2000 KB,2016-09-21 01:23:00
15373944,Jan/14/2016 22:14,12121005,613B - Skills,GNU C++11,Accepted,62 ms,2700 KB,2016-01-14 22:14:00
15383676,Jan/15/2016 10:00,ErdemKirez,613B - Skills,GNU C++11,Accepted,202 ms,2400 KB,2016-01-15 10:00:00
24914970,Feb/23/2017 14:32,YangHong,614D - Skills,GNU C++14,Accepted,358 ms,3400 KB,2017-02-23 14:32:00
49104119,Jan/28/2019 15:27,vjudge2,614D - Skills,GNU C++11,Accepted,140 ms,3100 KB,2019-01-28 15:27:00
17304962,Apr/13/2016 19:28,yusufk,613B - Skills,GNU C++,Accepted,327 ms,2400 KB,2016-04-13 19:28:00
72136428,Mar/01/2020 09:41,vjudge4,613B - Skills,GNU C++14,Accepted,202 ms,3100 KB,2020-03-01 09:41:00
72222463,Mar/02/2020 04:20,vjudge2,613B - Skills,GNU C++17,Accepted,233 ms,234800 KB,2020-03-02 04:20:00
28638181,Jul/17/2017 14:43,vjudge5,614D - Skills,GNU C++,Accepted,218 ms,5200 KB,2017-07-17 14:43:00
16030374,Feb/15/2016 12:54,Randolph87,613B - Skills,GNU C++,Accepted,109 ms,2200 KB,2016-02-15 12:54:00
28627702,Jul/17/2017 08:30,vjudge4,614D - Skills,GNU C++,Accepted,78 ms,6800 KB,2017-07-17 08:30:00
21433683,Oct/15/2016 00:42,OmarHashim#,613B - Skills,GNU C++11,Accepted,202 ms,5200 KB,2016-10-15 00:42:00
16775403,Mar/18/2016 07:38,sigma425,613B - Skills,GNU C++11,Accepted,358 ms,3100 KB,2016-03-18 07:38:00
22202955,Nov/14/2016 09:00,cgt,613B - Skills,GNU C++,Accepted,93 ms,4700 KB,2016-11-14 09:00:00
15450190,Jan/20/2016 11:15,lancer,613B - Skills,GNU C++11,Accepted,343 ms,3200 KB,2016-01-20 11:15:00
15375400,Jan/14/2016 22:48,tommyricardo,613B - Skills,GNU C++,Accepted,327 ms,2700 KB,2016-01-14 22:48:00
15450353,Jan/20/2016 11:28,lancer,613B - Skills,GNU C++11,Accepted,327 ms,3200 KB,2016-01-20 11:28:00
72136367,Mar/01/2020 09:40,zzctommy,613B - Skills,GNU C++11,Accepted,187 ms,3100 KB,2020-03-01 09:40:00
72136420,Mar/01/2020 09:41,zzctommy,613B - Skills,GNU C++11,Accepted,187 ms,3100 KB,2020-03-01 09:41:00
52586458,Apr/11/2019 03:38,KevinWan,613B - Skills,GNU C++17,Accepted,78 ms,3900 KB,2019-04-11 03:38:00
15374543,Jan/14/2016 22:31,Osholbolbol_awli,613B - Skills,GNU C++11,Accepted,436 ms,4000 KB,2016-01-14 22:31:00
28624529,Jul/17/2017 05:57,vjudge4,614D - Skills,GNU C++,Accepted,265 ms,5200 KB,2017-07-17 05:57:00
28638091,Jul/17/2017 14:40,tene3nt,614D - Skills,GNU C++11,Accepted,218 ms,5200 KB,2017-07-17 14:40:00
55733151,Jun/19/2019 03:28,xielinhan#,613B - Skills,GNU C++11,Accepted,78 ms,6300 KB,2019-06-19 03:28:00
15378127,Jan/15/2016 00:36,bluefi,614D - Skills,GNU C++,Accepted,343 ms,3100 KB,2016-01-15 00:36:00
28624517,Jul/17/2017 05:56,cxt,614D - Skills,GNU C++14,Accepted,280 ms,5000 KB,2017-07-17 05:56:00
41447503,Aug/11/2018 04:40,Phos,614D - Skills,GNU C++14,Accepted,265 ms,3100 KB,2018-08-11 04:40:00
