16945924,Mar/26/2016 10:14,SoMuchDrama,649B - Этажи,PyPy 3,Accepted,124 ms,22500 KB,2016-03-26 10:14:00
16947130,Mar/26/2016 10:41,Shostina,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:41:00
16947799,Mar/26/2016 10:57,* f1u77y,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:57:00
16946150,Mar/26/2016 10:19,Artemiy_fly,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:19:00
16946983,Mar/26/2016 10:38,biwboris,649B - Этажи,Python 3,Accepted,77 ms,4500 KB,2016-03-26 10:38:00
16946698,Mar/26/2016 10:31,ForceMaster,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:31:00
16946970,Mar/26/2016 10:37,Southernair,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 10:37:00
16946245,Mar/26/2016 10:21,Vosatorp,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:21:00
16946159,Mar/26/2016 10:19,* Kniaz,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:19:00
16947306,Mar/26/2016 10:45,iSerya,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:45:00
16945861,Mar/26/2016 10:13,hey_boris,649B - Этажи,GNU C++11,Accepted,31 ms,2000 KB,2016-03-26 10:13:00
16947299,Mar/26/2016 10:45,LadyPython,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:45:00
16946889,Mar/26/2016 10:36,landash98,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:36:00
16945802,Mar/26/2016 10:11,* maxplus,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:11:00
16947580,Mar/26/2016 10:52,Bedragaren,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:52:00
16946644,Mar/26/2016 10:30,Garynych,649B - Этажи,Python 3,Accepted,77 ms,4500 KB,2016-03-26 10:30:00
16947213,Mar/26/2016 10:43,Allors,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16946420,Mar/26/2016 10:25,alexmir,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:25:00
16949784,Mar/26/2016 11:44,Ibodullo_Yorov,649B - Этажи,GNU C++,Accepted,31 ms,2000 KB,2016-03-26 11:44:00
16945839,Mar/26/2016 10:12,* komendart,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:12:00
16947925,Mar/26/2016 11:00,faizov_boris,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:00:00
16950301,Mar/26/2016 11:57,kostyayatsok,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:57:00
16947128,Mar/26/2016 10:41,Fursin,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:41:00
16949348,Mar/26/2016 11:33,Loli228,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:33:00
16946858,Mar/26/2016 10:35,yudgin070707,649B - Этажи,Python 3,Accepted,62 ms,4500 KB,2016-03-26 10:35:00
16946205,Mar/26/2016 10:20,DmitryBelikov,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 10:20:00
16949999,Mar/26/2016 11:50,lionozavr,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:50:00
16946791,Mar/26/2016 10:33,* Krktv,649B - Этажи,GNU C++,Accepted,30 ms,2000 KB,2016-03-26 10:33:00
16947017,Mar/26/2016 10:39,lesswrong,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:39:00
16950161,Mar/26/2016 11:54,belkka,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:54:00
16948945,Mar/26/2016 11:23,habibulka,649B - Этажи,Python 3,Accepted,62 ms,4800 KB,2016-03-26 11:23:00
16946729,Mar/26/2016 10:32,Dmitr-ut,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:32:00
16948472,Mar/26/2016 11:13,TMB,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:13:00
16948885,Mar/26/2016 11:22,* Holidin,649B - Этажи,Delphi,Accepted,31 ms,2500 KB,2016-03-26 11:22:00
16949297,Mar/26/2016 11:32,vladoss,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:32:00
16946315,Mar/26/2016 10:22,Varfalomei,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:22:00
16946276,Mar/26/2016 10:21,l21561,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:21:00
16947951,Mar/26/2016 11:01,Vladimir_Yankovskiy,649B - Этажи,GNU C++,Accepted,31 ms,1800 KB,2016-03-26 11:01:00
16948251,Mar/26/2016 11:07,nezametdinov,649B - Этажи,GNU C++11,Accepted,31 ms,2000 KB,2016-03-26 11:07:00
16946455,Mar/26/2016 10:26,levapnilirbuz,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:26:00
16947333,Mar/26/2016 10:46,Artem48,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 10:46:00
16948344,Mar/26/2016 11:09,ogree,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:09:00
16945975,Mar/26/2016 10:15,ivankrut856,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 10:15:00
16949256,Mar/26/2016 11:30,NewBacsNewNick,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 11:30:00
16946063,Mar/26/2016 10:17,* ksun48,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:17:00
16948257,Mar/26/2016 11:08,Oleg_Shitikov,649B - Этажи,FPC,Accepted,15 ms,1600 KB,2016-03-26 11:08:00
16945864,Mar/26/2016 10:13,keymaster,649B - Этажи,MS C++,Accepted,30 ms,2000 KB,2016-03-26 10:13:00
16946361,Mar/26/2016 10:23,Alex_PKZDL,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:23:00
16947339,Mar/26/2016 10:46,Rahmandretop,649B - Этажи,Python 3,Accepted,62 ms,4800 KB,2016-03-26 10:46:00
16948967,Mar/26/2016 11:24,SemBarner22,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:24:00
16946994,Mar/26/2016 10:38,Mikhniuk,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:38:00
16946414,Mar/26/2016 10:25,achulkov2,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:25:00
16948279,Mar/26/2016 11:08,KotMashina,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:08:00
16950373,Mar/26/2016 11:59,sigmund,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 11:59:00
16946165,Mar/26/2016 10:19,Lavrenov_temp,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:19:00
16946743,Mar/26/2016 10:32,EpfnV-0o0-V,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:32:00
16949736,Mar/26/2016 11:43,koloshmet,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:43:00
16946023,Mar/26/2016 10:16,trilis,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:16:00
16946095,Mar/26/2016 10:18,* maxxaon,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:18:00
16946271,Mar/26/2016 10:21,fadeeva.kate.22.03,649B - Этажи,GNU C++11,Accepted,31 ms,2000 KB,2016-03-26 10:21:00
16947324,Mar/26/2016 10:46,Atomik,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:46:00
16946285,Mar/26/2016 10:22,CleverCoder,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:22:00
16949745,Mar/26/2016 11:43,temeslol,649B - Этажи,FPC,Accepted,30 ms,1600 KB,2016-03-26 11:43:00
16947282,Mar/26/2016 10:44,equocredite,649B - Этажи,GNU C++11,Accepted,31 ms,1800 KB,2016-03-26 10:44:00
16950028,Mar/26/2016 11:51,Leastick,649B - Этажи,GNU C++11,Accepted,31 ms,1800 KB,2016-03-26 11:51:00
16948094,Mar/26/2016 11:04,FlyLikeSoarin,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:04:00
16948350,Mar/26/2016 11:09,NorDDay,649B - Этажи,MS C++,Accepted,31 ms,2200 KB,2016-03-26 11:09:00
16949560,Mar/26/2016 11:38,NatalyaSann,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:38:00
16948017,Mar/26/2016 11:02,* Kamfucius,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:02:00
16949643,Mar/26/2016 11:40,SerVB,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:40:00
16948935,Mar/26/2016 11:23,BondSpaceX,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:23:00
16946434,Mar/26/2016 10:25,tazik,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:25:00
16950370,Mar/26/2016 11:59,Frankmayer,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:59:00
16948778,Mar/26/2016 11:19,AlexStv26,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:19:00
16945747,Mar/26/2016 10:10,JewRaper,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:10:00
16948646,Mar/26/2016 11:16,tehnik2032,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:16:00
16947053,Mar/26/2016 10:39,crusty,649B - Этажи,GNU C++11,Accepted,15 ms,1800 KB,2016-03-26 10:39:00
16948443,Mar/26/2016 11:12,Igor_1,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:12:00
16947479,Mar/26/2016 10:50,Farhod_Farmon,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:50:00
16946625,Mar/26/2016 10:29,* wrg0ababd,649B - Этажи,Java 8,Accepted,140 ms,20400 KB,2016-03-26 10:29:00
16948047,Mar/26/2016 11:03,zigfridd,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:03:00
16947825,Mar/26/2016 10:58,h35jfhr8js,649B - Этажи,FPC,Accepted,15 ms,1600 KB,2016-03-26 10:58:00
16947319,Mar/26/2016 10:46,alex_morgan,649B - Этажи,FPC,Accepted,15 ms,1600 KB,2016-03-26 10:46:00
16947200,Mar/26/2016 10:43,MaxZh,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16950050,Mar/26/2016 11:52,annikura,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:52:00
16949487,Mar/26/2016 11:37,alex499,649B - Этажи,FPC,Accepted,30 ms,1600 KB,2016-03-26 11:37:00
16947628,Mar/26/2016 10:53,* Spieler,649B - Этажи,FPC,Accepted,30 ms,1600 KB,2016-03-26 10:53:00
16947830,Mar/26/2016 10:58,IvanVan,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:58:00
16947842,Mar/26/2016 10:58,* Anuar,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:58:00
16948453,Mar/26/2016 11:12,GoToCoding,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:12:00
16948621,Mar/26/2016 11:16,* IsmagilS,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:16:00
16950378,Mar/26/2016 11:59,Elibay,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:59:00
16947225,Mar/26/2016 10:43,hunter111,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16949564,Mar/26/2016 11:38,* Spolutrean,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:38:00
16947526,Mar/26/2016 10:51,vasiliydz,649B - Этажи,Java 7,Accepted,124 ms,38400 KB,2016-03-26 10:51:00
16946632,Mar/26/2016 10:29,* AHTuTTuTyX,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:29:00
