337919,Mar/15/2011 18:00,urutom,67B - Restoration of the Permutation,Ruby,Accepted,170 ms,4000 KB,2011-03-15 18:00:00
15914751,Feb/09/2016 16:52,not_bot_but_POT,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,0 KB,2016-02-09 16:52:00
35890034,Mar/03/2018 17:49,______h______,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 17:49:00
35890065,Mar/03/2018 17:49,______k______,67B - Restoration of the Permutation,Ruby,Accepted,216 ms,6200 KB,2018-03-03 17:49:00
35893538,Mar/03/2018 18:59,______i______,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 18:59:00
35895998,Mar/03/2018 19:58,_____i_____,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 19:58:00
35896217,Mar/03/2018 20:03,______n______,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 20:03:00
35897196,Mar/03/2018 20:47,_____k_____,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 20:47:00
35897249,Mar/03/2018 20:48,______u______,67B - Restoration of the Permutation,Ruby,Accepted,218 ms,6200 KB,2018-03-03 20:48:00
56016428,Jun/25/2019 00:37,sorry_im_smurfing,67B - Restoration of the Permutation,Ruby,Accepted,186 ms,0 KB,2019-06-25 00:37:00
10280870,Mar/15/2015 03:30,Zyflair,67B - Restoration of the Permutation,Ruby,Accepted,248 ms,0 KB,2015-03-15 03:30:00
336286,Mar/14/2011 00:55,iensen,67B - Restoration of the Permutation,Python 2,Accepted,140 ms,2900 KB,2011-03-14 00:55:00
10280863,Mar/15/2015 03:29,Zyflair,67B - Restoration of the Permutation,Ruby,Accepted,248 ms,0 KB,2015-03-15 03:29:00
10280827,Mar/15/2015 03:19,Zyflair,67B - Restoration of the Permutation,Ruby,Accepted,280 ms,0 KB,2015-03-15 03:19:00
334289,Mar/13/2011 20:46,zibada,67B - Restoration of the Permutation,Python 2,Accepted,230 ms,2800 KB,2011-03-13 20:46:00
333376,Mar/13/2011 20:06,-dp-,67B - Restoration of the Permutation,Python 2,Accepted,280 ms,2800 KB,2011-03-13 20:06:00
470773,May/27/2011 05:30,peter50216,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-05-27 05:30:00
57906067,Jul/28/2019 20:40,lopare,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 20:40:00
35815182,Mar/01/2018 18:50,lqzhhh,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1800 KB,2018-03-01 18:50:00
9395193,Jan/10/2015 07:08,hkglly,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,0 KB,2015-01-10 07:08:00
3503763,Apr/11/2013 17:04,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-04-11 17:04:00
42133510,Aug/26/2018 23:50,Mostafa_Khaled_Robot,67B - Restoration of the Permutation,Python 2,Accepted,622 ms,0 KB,2018-08-26 23:50:00
42133527,Aug/26/2018 23:51,Mk_Python_v1,67B - Restoration of the Permutation,Python 2,Accepted,622 ms,0 KB,2018-08-26 23:51:00
333099,Mar/13/2011 19:53,freak93,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 19:53:00
17298375,Apr/13/2016 09:48,ITDOI#,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,0 KB,2016-04-13 09:48:00
63980379,Nov/01/2019 13:04,domanhtuan19021129,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-11-01 13:04:00
334748,Mar/13/2011 21:12,* Surogatov_S,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1000 KB,2011-03-13 21:12:00
344694,Mar/20/2011 14:43,bobchennan,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-20 14:43:00
31836161,Oct/28/2017 15:06,mr_knownothing,67B - Restoration of the Permutation,GNU C++14,Accepted,30 ms,100 KB,2017-10-28 15:06:00
336246,Mar/14/2011 00:29,ditzone,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-14 00:29:00
337959,Mar/15/2011 18:49,Gravekper,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-15 18:49:00
484583,Jun/10/2011 08:15,balroginfire,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-06-10 08:15:00
70954260,Feb/13/2020 15:20,mmm.,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,200 KB,2020-02-13 15:20:00
624897,Aug/21/2011 20:35,Archon.JK,67B - Restoration of the Permutation,GNU C++0x,Accepted,30 ms,1300 KB,2011-08-21 20:35:00
25307020,Mar/07/2017 06:43,_ShadowSong,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1900 KB,2017-03-07 06:43:00
75708507,Apr/07/2020 06:30,Nson,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,300 KB,2020-04-07 06:30:00
336101,Mar/13/2011 23:28,shilov,67B - Restoration of the Permutation,Python 2,Accepted,200 ms,2900 KB,2011-03-13 23:28:00
338123,Mar/16/2011 00:03,devil.alex.dante,67B - Restoration of the Permutation,Python 2,Accepted,330 ms,2800 KB,2011-03-16 00:03:00
67123991,Dec/17/2019 22:14,int100,67B - Restoration of the Permutation,PyPy 3,Accepted,312 ms,2000 KB,2019-12-17 22:14:00
334163,Mar/13/2011 20:39,Jacob_codefest,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:39:00
20023398,Aug/21/2016 12:33,vjudge2,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,1800 KB,2016-08-21 12:33:00
20027822,Aug/21/2016 16:44,vjudge1,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1800 KB,2016-08-21 16:44:00
20026307,Aug/21/2016 15:20,vjudge2,67B - Restoration of the Permutation,GNU C++11,Accepted,60 ms,1800 KB,2016-08-21 15:20:00
334127,Mar/13/2011 20:37,taras.klaskovsky,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1000 KB,2011-03-13 20:37:00
334082,Mar/13/2011 20:35,Luzan,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1000 KB,2011-03-13 20:35:00
335428,Mar/13/2011 21:59,cantdance,67B - Restoration of the Permutation,Python 2,Accepted,190 ms,3000 KB,2011-03-13 21:59:00
19378868,Jul/24/2016 10:28,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,60 ms,0 KB,2016-07-24 10:28:00
335005,Mar/13/2011 21:28,Petruchcho,67B - Restoration of the Permutation,Delphi,Accepted,30 ms,900 KB,2011-03-13 21:28:00
11271245,May/26/2015 01:16,Amr_Hassan,67B - Restoration of the Permutation,Delphi,Accepted,60 ms,100 KB,2015-05-26 01:16:00
336543,Mar/14/2011 08:55,alik,67B - Restoration of the Permutation,Delphi,Accepted,30 ms,800 KB,2011-03-14 08:55:00
53950412,May/10/2019 12:14,luogu_bot4,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-05-10 12:14:00
