395992,Apr/19/2011 00:03,watashi,74B - Train,Ruby,Accepted,80 ms,3800 KB,2011-04-19 00:03:00
15914759,Feb/09/2016 16:52,not_bot_but_POT,74B - Train,Ruby,Accepted,124 ms,0 KB,2016-02-09 16:52:00
35890489,Mar/03/2018 17:56,______i______,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 17:56:00
35890871,Mar/03/2018 18:02,______k______,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 18:02:00
35890898,Mar/03/2018 18:02,______h______,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 18:02:00
35897055,Mar/03/2018 20:42,_____i_____,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 20:42:00
35897266,Mar/03/2018 20:48,______n______,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 20:48:00
35897561,Mar/03/2018 20:58,_____k_____,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 20:58:00
35897645,Mar/03/2018 21:00,______u______,74B - Train,Ruby,Accepted,124 ms,6300 KB,2018-03-03 21:00:00
56016638,Jun/25/2019 00:50,sorry_im_smurfing,74B - Train,Ruby,Accepted,154 ms,100 KB,2019-06-25 00:50:00
13653561,Oct/15/2015 23:39,sugar,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2015-10-15 23:39:00
57905778,Jul/28/2019 20:33,lopare,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 20:33:00
74614957,Mar/28/2020 10:11,MyTry,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-03-28 10:11:00
6853752,Jun/09/2014 14:53,gagagapapa,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-06-09 14:53:00
60590496,Sep/15/2019 04:47,wuhuang1,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-09-15 04:47:00
13832541,Oct/25/2015 05:32,130705009,74B - Train,GNU C++,Accepted,30 ms,0 KB,2015-10-25 05:32:00
5042698,Nov/10/2013 17:43,Unlenin,74B - Train,Python 2,Accepted,92 ms,0 KB,2013-11-10 17:43:00
35778068,Feb/28/2018 11:08,Qumeric,74B - Train,GNU C++17,Accepted,30 ms,1900 KB,2018-02-28 11:08:00
47441104,Dec/24/2018 04:02,homoeconomicus,74B - Train,PyPy 3,Accepted,280 ms,0 KB,2018-12-24 04:02:00
13653447,Oct/15/2015 23:33,sugar,74B - Train,GNU C++11,Accepted,60 ms,0 KB,2015-10-15 23:33:00
1628497,Apr/26/2012 07:52,ugly.frog2805,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-04-26 07:52:00
6853743,Jun/09/2014 14:50,gagagapapa,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-06-09 14:50:00
545941,Jul/15/2011 10:22,Komaki,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-07-15 10:22:00
1628492,Apr/26/2012 07:49,ugly.frog2805,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-04-26 07:49:00
57278182,Jul/18/2019 14:43,vjudge5,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-07-18 14:43:00
390263,Apr/15/2011 19:28,SeMeKh,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:28:00
5042685,Nov/10/2013 17:41,Unlenin,74B - Train,Python 2,Accepted,92 ms,0 KB,2013-11-10 17:41:00
392443,Apr/15/2011 20:52,Anastasko,74B - Train,Delphi,Accepted,30 ms,800 KB,2011-04-15 20:52:00
393629,Apr/16/2011 09:13,LGM,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 09:13:00
17075012,Mar/31/2016 16:42,freebsdx,74B - Train,GNU C++11,Accepted,60 ms,2000 KB,2016-03-31 16:42:00
389868,Apr/15/2011 19:16,-dp-,74B - Train,Python 2,Accepted,60 ms,2800 KB,2011-04-15 19:16:00
2757603,Dec/13/2012 15:05,Alkochza,74B - Train,GNU C++,Accepted,31 ms,0 KB,2012-12-13 15:05:00
4237363,Aug/06/2013 18:52,vjudge2,74B - Train,GNU C++,Accepted,62 ms,0 KB,2013-08-06 18:52:00
12310289,Aug/02/2015 07:32,vjudge3,74B - Train,GNU C++,Accepted,60 ms,0 KB,2015-08-02 07:32:00
1786787,Jun/12/2012 09:50,nealzane,74B - Train,Python 2,Accepted,110 ms,2900 KB,2012-06-12 09:50:00
68018143,Dec/31/2019 23:07,ayush_ar0204,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2019-12-31 23:07:00
392133,Apr/15/2011 20:39,willy,74B - Train,FPC,Accepted,30 ms,1000 KB,2011-04-15 20:39:00
393624,Apr/16/2011 09:11,LGM,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 09:11:00
3126883,Feb/14/2013 11:23,Chen_ChaoRui,74B - Train,FPC,Accepted,15 ms,0 KB,2013-02-14 11:23:00
1029410,Jan/11/2012 16:13,jiangzhijie,74B - Train,Python 2,Accepted,60 ms,2800 KB,2012-01-11 16:13:00
389982,Apr/15/2011 19:20,tia,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:20:00
23872656,Jan/16/2017 06:52,rogue1,74B - Train,GNU C++14,Accepted,30 ms,1900 KB,2017-01-16 06:52:00
395770,Apr/18/2011 18:35,myar,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-18 18:35:00
3643484,Apr/27/2013 17:38,vjudge4,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-04-27 17:38:00
1628546,Apr/26/2012 09:23,mera_sirgiy,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-04-26 09:23:00
3259467,Mar/06/2013 21:02,rituranjna,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-03-06 21:02:00
6173680,Mar/29/2014 16:39,Vlad_kv,74B - Train,MS C++,Accepted,30 ms,0 KB,2014-03-29 16:39:00
3859542,Jun/12/2013 11:26,1O1,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-06-12 11:26:00
395492,Apr/18/2011 11:37,zlatkov,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-18 11:37:00
4233936,Aug/05/2013 18:32,vjudge5,74B - Train,GNU C++,Accepted,62 ms,0 KB,2013-08-05 18:32:00
36898281,Apr/03/2018 12:57,Seiyaa,74B - Train,GNU C++,Accepted,60 ms,3400 KB,2018-04-03 12:57:00
4234180,Aug/05/2013 19:48,vjudge5,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-08-05 19:48:00
75498729,Apr/04/2020 18:21,rajuIIT,74B - Train,GNU C++17,Accepted,92 ms,200 KB,2020-04-04 18:21:00
389937,Apr/15/2011 19:18,Ra16bit,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:18:00
15343654,Jan/14/2016 14:59,god,74B - Train,GNU C++11,Accepted,30 ms,0 KB,2016-01-14 14:59:00
390350,Apr/15/2011 19:31,ant.ermilov,74B - Train,Delphi,Accepted,30 ms,900 KB,2011-04-15 19:31:00
1447121,Mar/31/2012 19:33,ctzsm,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-03-31 19:33:00
407450,Apr/25/2011 16:37,etfl,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-25 16:37:00
36438865,Mar/20/2018 20:13,vjudge2,74B - Train,GNU C++,Accepted,62 ms,3400 KB,2018-03-20 20:13:00
391027,Apr/15/2011 19:52,ksjuchi,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-15 19:52:00
565085,Jul/25/2011 14:01,clown-fish_Benben,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-07-25 14:01:00
406160,Apr/23/2011 12:04,kiyoshi,74B - Train,Java 6,Accepted,90 ms,42300 KB,2011-04-23 12:04:00
754939,Oct/11/2011 10:40,tmt514,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-10-11 10:40:00
5978035,Mar/10/2014 18:26,yugle7,74B - Train,Python 3,Accepted,124 ms,0 KB,2014-03-10 18:26:00
391963,Apr/15/2011 20:31,golovozhop,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:31:00
391271,Apr/15/2011 20:02,69-64-79,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:02:00
69279631,Jan/22/2020 08:10,vjudge5,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2020-01-22 08:10:00
2754583,Dec/12/2012 16:48,vjudge3,74B - Train,GNU C++,Accepted,31 ms,0 KB,2012-12-12 16:48:00
392380,Apr/15/2011 20:50,DarthRevan,74B - Train,FPC,Accepted,30 ms,1000 KB,2011-04-15 20:50:00
57330146,Jul/19/2019 16:47,vjudge3,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-07-19 16:47:00
497411,Jun/19/2011 00:02,ai9128429340875,74B - Train,Python 2,Accepted,60 ms,2800 KB,2011-06-19 00:02:00
394463,Apr/16/2011 23:23,Warrior,74B - Train,FPC,Accepted,30 ms,1000 KB,2011-04-16 23:23:00
474463,Jun/02/2011 15:05,Archon.JK,74B - Train,GNU C++0x,Accepted,30 ms,1300 KB,2011-06-02 15:05:00
4842173,Oct/22/2013 16:09,Akzhol,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-10-22 16:09:00
74926460,Mar/31/2020 16:17,Edviv,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-03-31 16:17:00
48591896,Jan/20/2019 06:12,day-dreamer,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-01-20 06:12:00
50811787,Mar/05/2019 12:13,Seact,74B - Train,GNU C++14,Accepted,62 ms,200 KB,2019-03-05 12:13:00
391689,Apr/15/2011 20:19,hakomo,74B - Train,GNU C,Accepted,30 ms,1300 KB,2011-04-15 20:19:00
2877262,Jan/06/2013 13:15,hakobyan.tigran,74B - Train,MS C++,Accepted,15 ms,0 KB,2013-01-06 13:15:00
779581,Oct/18/2011 14:29,hutoj,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-10-18 14:29:00
393896,Apr/16/2011 13:35,math94,74B - Train,Python 2,Accepted,60 ms,2800 KB,2011-04-16 13:35:00
58137273,Aug/01/2019 19:39,pmk1302,74B - Train,GNU C++14,Accepted,92 ms,0 KB,2019-08-01 19:39:00
4232689,Aug/05/2013 14:24,kia.masster#,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-08-05 14:24:00
75530932,Apr/05/2020 06:27,vjudge3,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-04-05 06:27:00
390631,Apr/15/2011 19:39,frankyym,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:39:00
11413022,Jun/04/2015 14:54,diiscovery,74B - Train,GNU C++,Accepted,30 ms,0 KB,2015-06-04 14:54:00
549193,Jul/17/2011 13:59,kirimedia,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-07-17 13:59:00
19508130,Jul/30/2016 06:39,vjudge2,74B - Train,GNU C++,Accepted,30 ms,0 KB,2016-07-30 06:39:00
2003415,Aug/13/2012 10:46,vjudge5,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-08-13 10:46:00
75530909,Apr/05/2020 06:26,legend_life,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-04-05 06:26:00
12382290,Aug/06/2015 08:25,vjudge3,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2015-08-06 08:25:00
391566,Apr/15/2011 20:14,Och-Iv2000,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 20:14:00
394025,Apr/16/2011 14:44,Aphrodite,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 14:44:00
5917716,Mar/03/2014 23:14,Amelius,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-03-03 23:14:00
4102679,Jul/19/2013 09:55,dima_gozha,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-07-19 09:55:00
2003414,Aug/13/2012 10:46,tclsm,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-08-13 10:46:00
458855,May/18/2011 21:25,Nikolai,74B - Train,Delphi,Accepted,30 ms,800 KB,2011-05-18 21:25:00
12309530,Aug/02/2015 05:43,vjudge3,74B - Train,GNU C++,Accepted,60 ms,0 KB,2015-08-02 05:43:00
392877,Apr/15/2011 21:55,vroon,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 21:55:00
1904920,Jul/16/2012 22:22,Zarg,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-07-16 22:22:00
391691,Apr/15/2011 20:19,rudolf,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 20:19:00
987380,Dec/26/2011 21:15,aminabedi,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-12-26 21:15:00
390468,Apr/15/2011 19:34,xokin,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:34:00
394095,Apr/16/2011 15:16,jaamaa,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 15:16:00
4595253,Sep/28/2013 11:04,niting112,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-09-28 11:04:00
810184,Oct/28/2011 06:07,roypalacios,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-10-28 06:07:00
