32617830,Nov/24/2017 13:52,yugle7,767B - The Queue,Python 3,Accepted,170 ms,12900 KB,2017-11-24 13:52:00
57771117,Jul/26/2019 03:52,py_ultron,767B - The Queue,GNU C++11,Accepted,249 ms,0 KB,2019-07-26 03:52:00
24788498,Feb/18/2017 22:22,frabbi-sw,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-18 22:22:00
57877015,Jul/28/2019 08:57,lopare,767B - The Queue,GNU C++11,Accepted,249 ms,0 KB,2019-07-28 08:57:00
26214678,Apr/08/2017 12:08,Yeader,767B - The Queue,GNU C++14,Accepted,234 ms,1900 KB,2017-04-08 12:08:00
40171935,Jul/10/2018 15:54,wky32768,767B - The Queue,GNU C++,Accepted,280 ms,0 KB,2018-07-10 15:54:00
24804837,Feb/19/2017 18:01,ThirteenTimes,767B - The Queue,GNU C++14,Accepted,280 ms,1900 KB,2017-02-19 18:01:00
24895392,Feb/22/2017 17:27,gdymind,767B - The Queue,GNU C++11,Accepted,327 ms,2100 KB,2017-02-22 17:27:00
28815808,Jul/24/2017 09:11,Qiekenaing,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-07-24 09:11:00
24775738,Feb/18/2017 14:45,1366138143,767B - The Queue,GNU C++14,Accepted,343 ms,1900 KB,2017-02-18 14:45:00
24776865,Feb/18/2017 15:07,1366138143,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-18 15:07:00
24810713,Feb/20/2017 00:05,179000,767B - The Queue,GNU C++11,Accepted,312 ms,2100 KB,2017-02-20 00:05:00
24896924,Feb/22/2017 18:46,nurakkarabekov,767B - The Queue,GNU C++11,Accepted,295 ms,2100 KB,2017-02-22 18:46:00
24903311,Feb/23/2017 01:58,szechuan_sauce,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-23 01:58:00
24910833,Feb/23/2017 10:51,nurakkarabekov,767B - The Queue,GNU C++11,Accepted,295 ms,2100 KB,2017-02-23 10:51:00
24916629,Feb/23/2017 17:00,DFexpress,767B - The Queue,GNU C++,Accepted,280 ms,2100 KB,2017-02-23 17:00:00
25097733,Feb/28/2017 13:26,Mathf.Abs,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-28 13:26:00
25368459,Mar/09/2017 23:28,csediwanshu,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-03-09 23:28:00
26216888,Apr/08/2017 13:59,hsuppr,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-04-08 13:59:00
25436086,Mar/12/2017 16:50,siddharths067#,767B - The Queue,GNU C++11,Accepted,280 ms,2000 KB,2017-03-12 16:50:00
24802915,Feb/19/2017 16:25,ttt,767B - The Queue,Python 3,Accepted,217 ms,13500 KB,2017-02-19 16:25:00
24955939,Feb/24/2017 09:12,hao5764,767B - The Queue,GNU C++14,Accepted,234 ms,1900 KB,2017-02-24 09:12:00
25094352,Feb/28/2017 09:53,sajad.n,767B - The Queue,Python 2,Accepted,311 ms,12700 KB,2017-02-28 09:53:00
54016134,May/12/2019 09:48,Mohamed_Ayman,767B - The Queue,Python 3,Accepted,264 ms,9000 KB,2019-05-12 09:48:00
24888988,Feb/22/2017 12:26,aasddf,767B - The Queue,Python 2,Accepted,249 ms,12700 KB,2017-02-22 12:26:00
26362963,Apr/14/2017 20:08,fangcun,767B - The Queue,GNU C++,Accepted,280 ms,2100 KB,2017-04-14 20:08:00
25170505,Mar/03/2017 15:47,ioiboirmi2017,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-03-03 15:47:00
24871648,Feb/21/2017 16:00,hansy2015,767B - The Queue,GNU C++11,Accepted,358 ms,2100 KB,2017-02-21 16:00:00
24808558,Feb/19/2017 21:42,Sahashoo,767B - The Queue,GNU C++11,Accepted,312 ms,2000 KB,2017-02-19 21:42:00
42130725,Aug/26/2018 21:22,Mk_Python_v1,767B - The Queue,Python 3,Accepted,296 ms,9000 KB,2018-08-26 21:22:00
24802655,Feb/19/2017 16:12,yudhik,767B - The Queue,GNU C++11,Accepted,420 ms,2000 KB,2017-02-19 16:12:00
39752613,Jun/28/2018 23:07,SJ151,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2018-06-28 23:07:00
24802665,Feb/19/2017 16:13,yudhik,767B - The Queue,GNU C++11,Accepted,343 ms,2000 KB,2017-02-19 16:13:00
24807720,Feb/19/2017 20:52,cgfs10000,767B - The Queue,Python 3,Accepted,249 ms,13500 KB,2017-02-19 20:52:00
24796737,Feb/19/2017 10:27,BuddhaCoder,767B - The Queue,GNU C++11,Accepted,280 ms,2000 KB,2017-02-19 10:27:00
57768310,Jul/26/2019 01:16,AnotherPianist,767B - The Queue,GNU C++11,Accepted,265 ms,0 KB,2019-07-26 01:16:00
30303046,Sep/13/2017 12:36,vjudge1,767B - The Queue,GNU C++,Accepted,46 ms,0 KB,2017-09-13 12:36:00
24854974,Feb/20/2017 23:54,TerenceLiu,767B - The Queue,GNU C++14,Accepted,280 ms,1900 KB,2017-02-20 23:54:00
26695067,Apr/27/2017 05:46,vjudge2,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-04-27 05:46:00
40097959,Jul/09/2018 04:51,luogu_bot2,767B - The Queue,GNU C++,Accepted,93 ms,0 KB,2018-07-09 04:51:00
40159106,Jul/10/2018 08:55,vjudge1,767B - The Queue,GNU C++,Accepted,46 ms,0 KB,2018-07-10 08:55:00
24794232,Feb/19/2017 07:26,Tsaryu,767B - The Queue,GNU C++,Accepted,295 ms,2000 KB,2017-02-19 07:26:00
40101013,Jul/09/2018 08:14,_SHENZHEBEI_,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2018-07-09 08:14:00
