25026956,Feb/26/2017 05:57,cielavenir,777B - Game of Credit Cards,Ruby,Accepted,109 ms,6300 KB,2017-02-26 05:57:00
80276799,May/16/2020 07:17,spatel2528127,777B - Game of Credit Cards,Python 3,Accepted,124 ms,6500 KB,2020-05-16 07:17:00
25287645,Mar/06/2017 12:47,BlueHazard_rony,777B - Game of Credit Cards,Python 2,Accepted,61 ms,4600 KB,2017-03-06 12:47:00
25202420,Mar/04/2017 09:31,wangzpeng,777B - Game of Credit Cards,Python 2,Accepted,62 ms,4600 KB,2017-03-04 09:31:00
51952641,Mar/29/2019 00:47,cs1g,777B - Game of Credit Cards,PyPy 3,Accepted,140 ms,0 KB,2019-03-29 00:47:00
24985077,Feb/24/2017 17:28,Vvalter,777B - Game of Credit Cards,Python 2,Accepted,77 ms,4500 KB,2017-02-24 17:28:00
28945125,Jul/28/2017 09:55,Vasiliy_48,777B - Game of Credit Cards,Python 3,Accepted,77 ms,4500 KB,2017-07-28 09:55:00
75707403,Apr/07/2020 06:00,sasdy17,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2020-04-07 06:00:00
28805947,Jul/23/2017 20:39,Shravanthi_Reddy,777B - Game of Credit Cards,Python 3,Accepted,62 ms,4500 KB,2017-07-23 20:39:00
62408000,Oct/12/2019 12:34,arnav_jain1006,777B - Game of Credit Cards,PyPy 3,Accepted,140 ms,1300 KB,2019-10-12 12:34:00
68992826,Jan/17/2020 18:57,shivam_hbtu,777B - Game of Credit Cards,PyPy 3,Accepted,140 ms,1200 KB,2020-01-17 18:57:00
77215390,Apr/18/2020 21:47,prsb123#,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2020-04-18 21:47:00
25091523,Feb/28/2017 05:38,nealzane,777B - Game of Credit Cards,Python 2,Accepted,77 ms,4600 KB,2017-02-28 05:38:00
58157632,Aug/02/2019 09:17,vulcanx21,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2019-08-02 09:17:00
26416276,Apr/16/2017 18:26,thelastprime,777B - Game of Credit Cards,Python 3,Accepted,62 ms,5400 KB,2017-04-16 18:26:00
25027465,Feb/26/2017 06:41,StoneCold_Xi,777B - Game of Credit Cards,Python 3,Accepted,62 ms,4500 KB,2017-02-26 06:41:00
47391267,Dec/23/2018 11:15,yellowflash,777B - Game of Credit Cards,PyPy 3,Accepted,140 ms,100 KB,2018-12-23 11:15:00
71759685,Feb/24/2020 14:24,uddeshya.singh,777B - Game of Credit Cards,PyPy 3,Accepted,171 ms,1200 KB,2020-02-24 14:24:00
25269307,Mar/05/2017 20:22,Dalie,777B - Game of Credit Cards,Python 3,Accepted,61 ms,4500 KB,2017-03-05 20:22:00
31118654,Oct/07/2017 17:35,bhargav98,777B - Game of Credit Cards,Python 3,Accepted,62 ms,0 KB,2017-10-07 17:35:00
67375516,Dec/21/2019 17:59,akshat_123,777B - Game of Credit Cards,PyPy 3,Accepted,155 ms,0 KB,2019-12-21 17:59:00
42130773,Aug/26/2018 21:23,Mk_Python_v1,777B - Game of Credit Cards,Python 3,Accepted,109 ms,0 KB,2018-08-26 21:23:00
54341712,May/18/2019 13:39,daotiennamhlvl,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2019-05-18 13:39:00
