25082350,Feb/27/2017 19:10,s_p,779B - Weird Rounding,Perl,Accepted,31 ms,2700 KB,2017-02-27 19:10:00
71570448,Feb/21/2020 21:53,mostafaelspagh-0#,779B - Weird Rounding,Python 3,Accepted,109 ms,0 KB,2020-02-21 21:53:00
77352523,Apr/20/2020 14:09,Yakudza#,779B - Weird Rounding,Python 3,Accepted,109 ms,0 KB,2020-04-20 14:09:00
65505283,Nov/22/2019 00:49,Anus1373,779B - Weird Rounding,GNU C++14,Accepted,31 ms,200 KB,2019-11-22 00:49:00
79597904,May/10/2020 00:09,coderemite,779B - Weird Rounding,Python 3,Accepted,124 ms,6500 KB,2020-05-10 00:09:00
25422566,Mar/12/2017 05:53,orailly,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-12 05:53:00
25091165,Feb/28/2017 04:56,StoneCold_Xi,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-28 04:56:00
25425971,Mar/12/2017 10:03,orailly,779B - Weird Rounding,Ruby,Accepted,109 ms,6500 KB,2017-03-12 10:03:00
25078042,Feb/27/2017 16:11,royal_coder,779B - Weird Rounding,Python 3,Accepted,62 ms,5200 KB,2017-02-27 16:11:00
25039793,Feb/26/2017 11:48,borbor,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:48:00
25061858,Feb/26/2017 21:10,cielavenir,779B - Weird Rounding,Ruby,Accepted,93 ms,6500 KB,2017-02-26 21:10:00
57770118,Jul/26/2019 02:47,py_ultron,779B - Weird Rounding,GNU C++11,Accepted,31 ms,0 KB,2019-07-26 02:47:00
58353371,Aug/05/2019 21:10,tanu38,779B - Weird Rounding,PyPy 3,Accepted,140 ms,0 KB,2019-08-05 21:10:00
39815306,Jul/01/2018 10:54,franckmy,779B - Weird Rounding,Python 2,Accepted,186 ms,0 KB,2018-07-01 10:54:00
25078027,Feb/27/2017 16:10,eddy1021,779B - Weird Rounding,Python 3,Accepted,62 ms,5200 KB,2017-02-27 16:10:00
25088415,Feb/27/2017 23:57,nealzane,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-27 23:57:00
28943031,Jul/28/2017 08:00,Vasiliy_48,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-07-28 08:00:00
40211036,Jul/11/2018 22:35,sachin10101998,779B - Weird Rounding,GNU C++14,Accepted,31 ms,0 KB,2018-07-11 22:35:00
57875240,Jul/28/2019 07:50,lopare,779B - Weird Rounding,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 07:50:00
