69598662,Jan/27/2020 09:23,vjudge5,967D - Resource Distribution,PyPy 2,Accepted,592 ms,23100 KB,2020-01-27 09:23:00
37744772,Apr/30/2018 12:24,warc,967D - Resource Distribution,Python 3,Accepted,1575 ms,46000 KB,2018-04-30 12:24:00
37784312,May/01/2018 03:27,belkka,967D - Resource Distribution,Python 3,Accepted,1123 ms,46000 KB,2018-05-01 03:27:00
37792120,May/01/2018 10:58,vjudge3,966B - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-05-01 10:58:00
37792557,May/01/2018 11:17,vjudge5,967D - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-05-01 11:17:00
37883886,May/04/2018 16:18,vjudge3,925B - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-05-04 16:18:00
57871530,Jul/28/2019 05:12,lopare,925B - Resource Distribution,GNU C++11,Accepted,140 ms,2400 KB,2019-07-28 05:12:00
42132645,Aug/26/2018 22:41,Mk_Python_v1,925B - Resource Distribution,Python 3,Accepted,1216 ms,38300 KB,2018-08-26 22:41:00
42132796,Aug/26/2018 22:54,Mk_Python_v1,966B - Resource Distribution,Python 3,Accepted,1216 ms,38300 KB,2018-08-26 22:54:00
37715859,Apr/29/2018 17:00,_ChenKerui,967D - Resource Distribution,GNU C++11,Accepted,140 ms,6600 KB,2018-04-29 17:00:00
55304103,Jun/08/2019 16:22,hoangteo0103,967D - Resource Distribution,GNU C++11,Accepted,140 ms,3100 KB,2019-06-08 16:22:00
37792578,May/01/2018 11:18,Fuko_Ibuki,967D - Resource Distribution,GNU C++11,Accepted,140 ms,5800 KB,2018-05-01 11:18:00
41460102,Aug/11/2018 11:15,DEMOPON,925B - Resource Distribution,GNU C++14,Accepted,156 ms,2400 KB,2018-08-11 11:15:00
37713194,Apr/29/2018 16:44,FtFall,966B - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-04-29 16:44:00
37727565,Apr/29/2018 18:39,cwb_sb,967D - Resource Distribution,GNU C++,Accepted,140 ms,5600 KB,2018-04-29 18:39:00
37743499,Apr/30/2018 11:20,bert30702,967D - Resource Distribution,GNU C++17,Accepted,421 ms,5900 KB,2018-04-30 11:20:00
37722496,Apr/29/2018 17:53,zhouzhendong,966B - Resource Distribution,GNU C++,Accepted,140 ms,5800 KB,2018-04-29 17:53:00
37721898,Apr/29/2018 17:48,RetardedZY,966B - Resource Distribution,GNU C++11,Accepted,140 ms,5800 KB,2018-04-29 17:48:00
38979946,Jun/06/2018 01:25,Daniar#,967D - Resource Distribution,GNU C++14,Accepted,171 ms,8500 KB,2018-06-06 01:25:00
50152935,Feb/19/2019 11:25,vjudge3,925B - Resource Distribution,GNU C++11,Accepted,483 ms,15000 KB,2019-02-19 11:25:00
47186544,Dec/18/2018 08:03,Firepaw,925B - Resource Distribution,Python 3,Accepted,919 ms,39700 KB,2018-12-18 08:03:00
37738893,Apr/30/2018 07:08,dpforest,967D - Resource Distribution,Python 3,Accepted,1231 ms,49900 KB,2018-04-30 07:08:00
37717492,Apr/29/2018 17:12,lych_cys,966B - Resource Distribution,GNU C++11,Accepted,140 ms,11300 KB,2018-04-29 17:12:00
37790040,May/01/2018 09:28,AcceptedMonster,967D - Resource Distribution,GNU C++14,Accepted,140 ms,5600 KB,2018-05-01 09:28:00
37919891,May/06/2018 08:49,cyc2016,967D - Resource Distribution,GNU C++11,Accepted,343 ms,5800 KB,2018-05-06 08:49:00
49446526,Feb/04/2019 06:40,autumn_eel,966B - Resource Distribution,GNU C++14,Accepted,156 ms,6300 KB,2019-02-04 06:40:00
37749274,Apr/30/2018 16:35,1234567891,967D - Resource Distribution,GNU C++11,Accepted,155 ms,8100 KB,2018-04-30 16:35:00
37716440,Apr/29/2018 17:04,Imperishable-Shooting,966B - Resource Distribution,GNU C++11,Accepted,140 ms,11600 KB,2018-04-29 17:04:00
37714382,Apr/29/2018 16:51,CrazyMerlyn,967D - Resource Distribution,Python 3,Accepted,795 ms,49800 KB,2018-04-29 16:51:00
37721245,Apr/29/2018 17:42,mengbier233,967D - Resource Distribution,GNU C++,Accepted,670 ms,5800 KB,2018-04-29 17:42:00
37738971,Apr/30/2018 07:13,too_young_too_top1,967D - Resource Distribution,GNU C++14,Accepted,140 ms,6400 KB,2018-04-30 07:13:00
37722579,Apr/29/2018 17:54,erge,967D - Resource Distribution,GNU C++,Accepted,140 ms,5900 KB,2018-04-29 17:54:00
50152966,Feb/19/2019 11:26,zsben,925B - Resource Distribution,GNU C++11,Accepted,561 ms,15000 KB,2019-02-19 11:26:00
37731332,Apr/29/2018 21:23,Yee_172,966B - Resource Distribution,Python 3,Accepted,1746 ms,47700 KB,2018-04-29 21:23:00
37840494,May/02/2018 15:51,TargetLocked,967D - Resource Distribution,GNU C++11,Accepted,140 ms,5800 KB,2018-05-02 15:51:00
37711698,Apr/29/2018 16:36,"SuperRandomTeamName: Vladyslav, Omelianenko",925B - Resource Distribution,GNU C++11,Accepted,311 ms,8800 KB,2018-04-29 16:36:00
37995205,May/07/2018 15:41,Taxman,966B - Resource Distribution,GNU C++14,Accepted,171 ms,8000 KB,2018-05-07 15:41:00
37714457,Apr/29/2018 16:51,Stilwell,966B - Resource Distribution,GNU C++,Accepted,139 ms,11700 KB,2018-04-29 16:51:00
37715969,Apr/29/2018 17:01,JOHNKRAM,966B - Resource Distribution,GNU C++,Accepted,139 ms,9300 KB,2018-04-29 17:01:00
78255793,Apr/27/2020 08:16,Rahul_cpp,925B - Resource Distribution,GNU C++17,Accepted,155 ms,5500 KB,2020-04-27 08:16:00
48167409,Jan/10/2019 06:10,CrazyTeaMajor,966B - Resource Distribution,GNU C++11,Accepted,139 ms,4500 KB,2019-01-10 06:10:00
37735851,Apr/30/2018 03:18,O0O0O0O0O0,967D - Resource Distribution,GNU C++14,Accepted,140 ms,5600 KB,2018-04-30 03:18:00
37896310,May/05/2018 08:17,Savit_Gupta,966B - Resource Distribution,Python 3,Accepted,1668 ms,38100 KB,2018-05-05 08:17:00
37717527,Apr/29/2018 17:12,ko_osaga,966B - Resource Distribution,GNU C++17,Accepted,171 ms,5600 KB,2018-04-29 17:12:00
37714243,Apr/29/2018 16:50,lllllllllllllllllllllll,966B - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-04-29 16:50:00
37713678,Apr/29/2018 16:46,dy0607,966B - Resource Distribution,GNU C++11,Accepted,156 ms,5800 KB,2018-04-29 16:46:00
38305970,May/16/2018 04:59,ZqlwMatt,967D - Resource Distribution,GNU C++,Accepted,140 ms,5600 KB,2018-05-16 04:59:00
37718502,Apr/29/2018 17:19,ShinriiTin,966B - Resource Distribution,GNU C++14,Accepted,187 ms,10500 KB,2018-04-29 17:19:00
37731055,Apr/29/2018 21:14,irides,967D - Resource Distribution,GNU C++11,Accepted,156 ms,12800 KB,2018-04-29 21:14:00
76945178,Apr/16/2020 11:11,kaizen_,925B - Resource Distribution,GNU C++17,Accepted,171 ms,12400 KB,2020-04-16 11:11:00
37742325,Apr/30/2018 10:19,bert30702,967D - Resource Distribution,GNU C++17,Accepted,452 ms,5600 KB,2018-04-30 10:19:00
64740200,Nov/12/2019 14:44,Az hamin jom-e: Arpa#,966B - Resource Distribution,GNU C++17,Accepted,140 ms,3500 KB,2019-11-12 14:44:00
37724767,Apr/29/2018 18:15,adorkable_,966B - Resource Distribution,GNU C++11,Accepted,124 ms,5600 KB,2018-04-29 18:15:00
69262859,Jan/21/2020 20:37,dontquit#,967D - Resource Distribution,GNU C++17,Accepted,156 ms,4700 KB,2020-01-21 20:37:00
37744520,Apr/30/2018 12:10,VaVshchuck,967D - Resource Distribution,GNU C++17,Accepted,155 ms,5900 KB,2018-04-30 12:10:00
37714731,Apr/29/2018 16:53,Subconscious,966B - Resource Distribution,GNU C++14,Accepted,171 ms,8000 KB,2018-04-29 16:53:00
37733832,Apr/29/2018 23:45,HinataKaho,966B - Resource Distribution,GNU C++11,Accepted,140 ms,10900 KB,2018-04-29 23:45:00
38551173,May/23/2018 07:45,Emiway#,966B - Resource Distribution,GNU C++14,Accepted,155 ms,7500 KB,2018-05-23 07:45:00
80249371,May/15/2020 20:26,mrQalbiat,925B - Resource Distribution,GNU C++14,Accepted,156 ms,9100 KB,2020-05-15 20:26:00
40647929,Jul/22/2018 20:53,livio#,967D - Resource Distribution,GNU C++11,Accepted,140 ms,19400 KB,2018-07-22 20:53:00
