728039,Sep/28/2011 07:40,ikk,117C - Cycle,GNU C,Accepted,2160 ms,99600 KB,2011-09-28 07:40:00
36211698,Mar/12/2018 01:43,chetan52720,117C - Cycle,GNU C++11,Accepted,624 ms,26800 KB,2018-03-12 01:43:00
57904031,Jul/28/2019 19:52,lopare,117C - Cycle,GNU C++11,Accepted,498 ms,24800 KB,2019-07-28 19:52:00
1120287,Jan/27/2012 13:49,zhyu,117C - Cycle,GNU C++,Accepted,590 ms,26100 KB,2012-01-27 13:49:00
11500645,Jun/08/2015 19:03,Badry,117C - Cycle,GNU C++,Accepted,498 ms,24500 KB,2015-06-08 19:03:00
31118135,Oct/07/2017 17:19,__C__,117C - Cycle,GNU C++11,Accepted,496 ms,24500 KB,2017-10-07 17:19:00
720889,Sep/24/2011 04:59,Archon.JK,117C - Cycle,GNU C++0x,Accepted,530 ms,26100 KB,2011-09-24 04:59:00
37686171,Apr/28/2018 15:55,vjudge2,117C - Cycle,GNU C++,Accepted,560 ms,28200 KB,2018-04-28 15:55:00
718599,Sep/23/2011 20:52,siuvit,117C - Cycle,FPC,Accepted,200 ms,26900 KB,2011-09-23 20:52:00
1044475,Jan/14/2012 06:20,hnivhnivt8695,117C - Cycle,FPC,Accepted,170 ms,26900 KB,2012-01-14 06:20:00
26074598,Apr/02/2017 12:45,demonsbane,117C - Cycle,GNU C++11,Accepted,624 ms,26800 KB,2017-04-02 12:45:00
45661623,Nov/13/2018 09:58,Reegan,117C - Cycle,GNU C++14,Accepted,590 ms,24500 KB,2018-11-13 09:58:00
14468924,Nov/25/2015 15:20,cchao,117C - Cycle,GNU C++11,Accepted,810 ms,24800 KB,2015-11-25 15:20:00
45660831,Nov/13/2018 09:28,Reegan,117C - Cycle,GNU C++14,Accepted,592 ms,24800 KB,2018-11-13 09:28:00
78251887,Apr/27/2020 06:53,Soren_15,117C - Cycle,GNU C++17,Accepted,560 ms,25000 KB,2020-04-27 06:53:00
720952,Sep/24/2011 05:46,cjLD,117C - Cycle,GNU C++,Accepted,270 ms,26000 KB,2011-09-24 05:46:00
2493228,Nov/03/2012 06:27,dsafhello,117C - Cycle,GNU C++0x,Accepted,281 ms,24600 KB,2012-11-03 06:27:00
12190651,Jul/23/2015 01:40,shaady,117C - Cycle,GNU C++,Accepted,434 ms,24600 KB,2015-07-23 01:40:00
16830067,Mar/20/2016 05:29,freebsdx,117C - Cycle,GNU C++11,Accepted,654 ms,26600 KB,2016-03-20 05:29:00
78473510,Apr/29/2020 15:12,Yadan,117C - Cycle,GNU C++17,Accepted,530 ms,24800 KB,2020-04-29 15:12:00
37698631,Apr/29/2018 05:59,vjudge1,117C - Cycle,GNU C++,Accepted,716 ms,28200 KB,2018-04-29 05:59:00
37698703,Apr/29/2018 06:04,vjudge3,117C - Cycle,GNU C++,Accepted,716 ms,28200 KB,2018-04-29 06:04:00
14191374,Nov/11/2015 04:37,130705009,117C - Cycle,GNU C++,Accepted,654 ms,24500 KB,2015-11-11 04:37:00
37686254,Apr/28/2018 15:59,vjudge2,117C - Cycle,GNU C++,Accepted,528 ms,28000 KB,2018-04-28 15:59:00
3323218,Mar/16/2013 02:56,al2,117C - Cycle,GNU C++,Accepted,625 ms,24700 KB,2013-03-16 02:56:00
4245757,Aug/09/2013 09:26,Laputa20,117C - Cycle,MS C++,Accepted,686 ms,24500 KB,2013-08-09 09:26:00
17521013,Apr/26/2016 15:07,Amir_Ghouil,117C - Cycle,GNU C++11,Accepted,716 ms,26600 KB,2016-04-26 15:07:00
33648024,Dec/26/2017 16:34,viratian_070,117C - Cycle,GNU C++11,Accepted,624 ms,26600 KB,2017-12-26 16:34:00
1371080,Mar/17/2012 06:09,vjudge5,117C - Cycle,GNU C++,Accepted,670 ms,26500 KB,2012-03-17 06:09:00
40184603,Jul/11/2018 02:37,_poison_,117C - Cycle,GNU C++,Accepted,686 ms,31800 KB,2018-07-11 02:37:00
40184613,Jul/11/2018 02:37,luogu_bot2,117C - Cycle,GNU C++,Accepted,686 ms,31800 KB,2018-07-11 02:37:00
7697586,Sep/07/2014 04:19,noblesse,117C - Cycle,GNU C++,Accepted,654 ms,24700 KB,2014-09-07 04:19:00
7436616,Aug/12/2014 21:59,AFGhazy,117C - Cycle,GNU C++,Accepted,590 ms,98200 KB,2014-08-12 21:59:00
80014795,May/13/2020 22:52,rainboy,117C - Cycle,GNU C11,Accepted,280 ms,3900 KB,2020-05-13 22:52:00
69076035,Jan/19/2020 06:11,begin-a-new-memory,117C - Cycle,GNU C++11,Accepted,342 ms,24600 KB,2020-01-19 06:11:00
73165009,Mar/13/2020 21:37,shpsi,117C - Cycle,GNU C++14,Accepted,436 ms,24600 KB,2020-03-13 21:37:00
37685867,Apr/28/2018 15:44,vjudge5,117C - Cycle,GNU C++,Accepted,748 ms,28300 KB,2018-04-28 15:44:00
48868924,Jan/24/2019 07:53,elmacho,117C - Cycle,GNU C++14,Accepted,622 ms,24500 KB,2019-01-24 07:53:00
69076030,Jan/19/2020 06:11,vjudge4,117C - Cycle,GNU C++11,Accepted,342 ms,24600 KB,2020-01-19 06:11:00
23912133,Jan/18/2017 03:22,Youssef_Ali,117C - Cycle,GNU C++,Accepted,530 ms,26600 KB,2017-01-18 03:22:00
48868816,Jan/24/2019 07:50,elmacho,117C - Cycle,GNU C++14,Accepted,592 ms,24700 KB,2019-01-24 07:50:00
40458199,Jul/17/2018 05:07,bagpipe,117C - Cycle,GNU C++14,Accepted,686 ms,24700 KB,2018-07-17 05:07:00
50729127,Mar/03/2019 13:45,bhargav_0085,117C - Cycle,GNU C++14,Accepted,592 ms,24700 KB,2019-03-03 13:45:00
757031,Oct/12/2011 20:10,StrLght,117C - Cycle,GNU C++,Accepted,270 ms,25800 KB,2011-10-12 20:10:00
14003705,Nov/01/2015 11:54,saisumit,117C - Cycle,GNU C++,Accepted,436 ms,24500 KB,2015-11-01 11:54:00
52440747,Apr/07/2019 09:15,bhargav_0085,117C - Cycle,GNU C++14,Accepted,592 ms,24700 KB,2019-04-07 09:15:00
37698435,Apr/29/2018 05:41,vjudge2,117C - Cycle,GNU C++,Accepted,686 ms,28200 KB,2018-04-29 05:41:00
78993119,May/04/2020 20:53,Rana27,117C - Cycle,GNU C++14,Accepted,592 ms,24800 KB,2020-05-04 20:53:00
16735488,Mar/16/2016 01:47,r_anshul,117C - Cycle,GNU C++11,Accepted,840 ms,98300 KB,2016-03-16 01:47:00
40105913,Jul/09/2018 11:30,An_Account,117C - Cycle,GNU C++,Accepted,686 ms,24900 KB,2018-07-09 11:30:00
9334230,Dec/31/2014 19:05,ltaha,117C - Cycle,GNU C++,Accepted,654 ms,24800 KB,2014-12-31 19:05:00
13429902,Oct/06/2015 13:12,hossain.ruetcse,117C - Cycle,GNU C++,Accepted,686 ms,24600 KB,2015-10-06 13:12:00
