2215084,Sep/19/2012 20:20,* watashi,225C - Barcode,Ruby,Accepted,1531 ms,58100 KB,2012-09-19 20:20:00
35838449,Mar/02/2018 16:33,______M______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 16:33:00
35841185,Mar/02/2018 17:32,______i______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 17:32:00
35841473,Mar/02/2018 17:37,______k______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 17:37:00
35841555,Mar/02/2018 17:38,______h______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 17:38:00
35848210,Mar/02/2018 19:56,_____k_____,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 19:56:00
35848247,Mar/02/2018 19:56,_____i_____,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 19:56:00
35848516,Mar/02/2018 20:01,______n______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 20:01:00
35848634,Mar/02/2018 20:01,______u______,225C - Barcode,Ruby,Accepted,1622 ms,106400 KB,2018-03-02 20:01:00
20770708,Sep/20/2016 11:13,Yash_,225C - Barcode,PyPy 2,Accepted,810 ms,34200 KB,2016-09-20 11:13:00
60733310,Sep/17/2019 19:31,sorry_im_smurfing,225C - Barcode,Ruby,Accepted,1310 ms,100200 KB,2019-09-17 19:31:00
2733696,Dec/09/2012 12:47,daidailanlan,225C - Barcode,Python 2,Accepted,796 ms,5000 KB,2012-12-09 12:47:00
55192185,Jun/06/2019 09:57,Claustrophobic_Penguin,225C - Barcode,PyPy 2,Accepted,652 ms,34300 KB,2019-06-06 09:57:00
9734173,Feb/06/2015 09:40,Lei_Xufei,225C - Barcode,Python 2,Accepted,902 ms,5400 KB,2015-02-06 09:40:00
11409848,Jun/04/2015 09:09,make_pair,225C - Barcode,Python 2,Accepted,872 ms,5400 KB,2015-06-04 09:09:00
57822009,Jul/27/2019 03:13,py_ultron,225C - Barcode,GNU C++11,Accepted,780 ms,0 KB,2019-07-27 03:13:00
50149810,Feb/19/2019 09:48,khuongminh,225C - Barcode,GNU C++14,Accepted,404 ms,200 KB,2019-02-19 09:48:00
57899329,Jul/28/2019 17:59,lopare,225C - Barcode,GNU C++11,Accepted,810 ms,0 KB,2019-07-28 17:59:00
64256974,Nov/04/2019 18:20,mj101,225C - Barcode,GNU C++11,Accepted,312 ms,0 KB,2019-11-04 18:20:00
58793781,Aug/14/2019 06:51,mynamemosta,225C - Barcode,GNU C++11,Accepted,808 ms,0 KB,2019-08-14 06:51:00
39645033,Jun/25/2018 12:36,XianHZ,225C - Barcode,GNU C++11,Accepted,872 ms,0 KB,2018-06-25 12:36:00
49386273,Feb/03/2019 10:05,no_one30,225C - Barcode,GNU C++11,Accepted,780 ms,0 KB,2019-02-03 10:05:00
