3416034,Mar/28/2013 18:29,jhcmonroy,280C - Game on Tree,Perl,Accepted,703 ms,80200 KB,2013-03-28 18:29:00
35842858,Mar/02/2018 18:01,______M______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 18:01:00
35847476,Mar/02/2018 19:45,______i______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 19:45:00
35847655,Mar/02/2018 19:46,______k______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 19:46:00
35847657,Mar/02/2018 19:46,______h______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 19:46:00
35856315,Mar/02/2018 23:17,_____k_____,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 23:17:00
35856689,Mar/02/2018 23:26,_____i_____,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 23:26:00
35857079,Mar/02/2018 23:33,______n______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 23:33:00
35857178,Mar/02/2018 23:34,______u______,280C - Game on Tree,Perl,Accepted,842 ms,111500 KB,2018-03-02 23:34:00
3423858,Mar/30/2013 21:04,daidailanlan,280C - Game on Tree,Python 2,Accepted,593 ms,12000 KB,2013-03-30 21:04:00
3465901,Apr/03/2013 00:30,daidailanlan,281E - Game on Tree,Python 2,Accepted,640 ms,12000 KB,2013-04-03 00:30:00
57821387,Jul/27/2019 02:35,py_ultron,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2019-07-27 02:35:00
3766601,May/24/2013 20:37,nealzane,280C - Game on Tree,Python 2,Accepted,859 ms,11800 KB,2013-05-24 20:37:00
3298507,Mar/13/2013 16:24,konstantanter,280C - Game on Tree,GNU C++0x,Accepted,109 ms,7500 KB,2013-03-13 16:24:00
57897129,Jul/28/2019 17:04,lopare,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2019-07-28 17:04:00
3294846,Mar/12/2013 17:32,rpk74m,280C - Game on Tree,GNU C++0x,Accepted,93 ms,7500 KB,2013-03-12 17:32:00
17306571,Apr/13/2016 21:34,ITDOI#,280C - Game on Tree,GNU C++11,Accepted,748 ms,9000 KB,2016-04-13 21:34:00
34220844,Jan/16/2018 15:03,zhangzy,280C - Game on Tree,GNU C++14,Accepted,530 ms,11000 KB,2018-01-16 15:03:00
67867295,Dec/29/2019 13:07,mota_haathi,280C - Game on Tree,GNU C++14,Accepted,498 ms,8900 KB,2019-12-29 13:07:00
3467491,Apr/03/2013 11:02,codedr,280C - Game on Tree,Python 2,Accepted,609 ms,12000 KB,2013-04-03 11:02:00
66774552,Dec/13/2019 12:24,Fister,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2019-12-13 12:24:00
78464091,Apr/29/2020 13:21,luogu_bot5,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2020-04-29 13:21:00
71422357,Feb/19/2020 11:01,vjudge5,280C - Game on Tree,GNU C++11,Accepted,654 ms,9000 KB,2020-02-19 11:01:00
5767477,Jan/22/2014 04:38,diego_v1,280C - Game on Tree,GNU C++0x,Accepted,92 ms,9100 KB,2014-01-22 04:38:00
59597707,Aug/28/2019 06:20,LittleBeetle,280C - Game on Tree,GNU C++11,Accepted,92 ms,18600 KB,2019-08-28 06:20:00
41138605,Aug/03/2018 03:27,vjudge5,280C - Game on Tree,GNU C++11,Accepted,124 ms,7800 KB,2018-08-03 03:27:00
12024553,Jul/13/2015 05:32,conflict#,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2015-07-13 05:32:00
30571373,Sep/21/2017 11:45,nikola12345,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2017-09-21 11:45:00
11531187,Jun/11/2015 12:47,Bera,280C - Game on Tree,GNU C++,Accepted,124 ms,9000 KB,2015-06-11 12:47:00
42018662,Aug/24/2018 10:51,New-ErA,280C - Game on Tree,GNU C++,Accepted,124 ms,9000 KB,2018-08-24 10:51:00
3289612,Mar/11/2013 16:00,apia,280C - Game on Tree,GNU C++0x,Accepted,93 ms,9100 KB,2013-03-11 16:00:00
75503414,Apr/04/2020 19:18,Sneakoscope,280C - Game on Tree,GNU C++11,Accepted,654 ms,9000 KB,2020-04-04 19:18:00
3284654,Mar/10/2013 22:28,Gassa,280C - Game on Tree,D,Accepted,328 ms,7100 KB,2013-03-10 22:28:00
9335507,Dec/31/2014 23:04,suchir,280C - Game on Tree,GNU C++0x,Accepted,92 ms,9500 KB,2014-12-31 23:04:00
