4179700,Jul/27/2013 13:16,fatboy_cw,332C - Students' Revenge,Python 2,Accepted,1964 ms,28600 KB,2013-07-27 13:16:00
35849033,Mar/02/2018 20:07,______M______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-02 20:07:00
35855523,Mar/02/2018 23:02,______i______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-02 23:02:00
35856104,Mar/02/2018 23:14,______k______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-02 23:14:00
35856177,Mar/02/2018 23:15,______h______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-02 23:15:00
35859654,Mar/03/2018 00:23,_____k_____,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-03 00:23:00
35859722,Mar/03/2018 00:26,_____i_____,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-03 00:26:00
35860138,Mar/03/2018 00:34,______n______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-03 00:34:00
35860326,Mar/03/2018 00:39,______u______,332C - Students' Revenge,Python 2,Accepted,1872 ms,32600 KB,2018-03-03 00:39:00
4157997,Jul/24/2013 22:12,syimyuzya,332C - Students' Revenge,Python 2,Accepted,1562 ms,26200 KB,2013-07-24 22:12:00
57820790,Jul/27/2019 02:00,py_ultron,332C - Students' Revenge,GNU C++11,Accepted,1060 ms,4700 KB,2019-07-27 02:00:00
4205022,Jul/30/2013 19:52,rpk74m,332C - Students' Revenge,GNU C++0x,Accepted,436 ms,4700 KB,2013-07-30 19:52:00
57894975,Jul/28/2019 16:12,lopare,332C - Students' Revenge,GNU C++11,Accepted,1090 ms,4700 KB,2019-07-28 16:12:00
4164674,Jul/25/2013 19:25,diego_v1,332C - Students' Revenge,GNU C++0x,Accepted,375 ms,3600 KB,2013-07-25 19:25:00
4163708,Jul/25/2013 16:08,aropan,332C - Students' Revenge,Python 2,Accepted,1531 ms,20900 KB,2013-07-25 16:08:00
51756110,Mar/23/2019 14:38,vjudge5,332C - Students' Revenge,GNU C++17,Accepted,186 ms,2000 KB,2019-03-23 14:38:00
4366881,Aug/29/2013 20:19,Jonis,332C - Students' Revenge,GNU C++,Accepted,404 ms,3600 KB,2013-08-29 20:19:00
4164590,Jul/25/2013 19:06,DreamFox,332C - Students' Revenge,Python 2,Accepted,1591 ms,22500 KB,2013-07-25 19:06:00
4164662,Jul/25/2013 19:23,diego_v1,332C - Students' Revenge,GNU C++0x,Accepted,390 ms,3600 KB,2013-07-25 19:23:00
28191894,Jul/01/2017 15:51,david-nj,332C - Students' Revenge,GNU C++,Accepted,1090 ms,5600 KB,2017-07-01 15:51:00
11340189,May/29/2015 05:46,qingwen,332C - Students' Revenge,GNU C++,Accepted,1090 ms,3600 KB,2015-05-29 05:46:00
6357299,Apr/14/2014 18:18,moji#,332C - Students' Revenge,GNU C++,Accepted,248 ms,2800 KB,2014-04-14 18:18:00
6368278,Apr/15/2014 19:25,DanAlex,332C - Students' Revenge,GNU C++,Accepted,404 ms,3600 KB,2014-04-15 19:25:00
62540572,Oct/14/2019 06:04,qq574118090,332C - Students' Revenge,GNU C++14,Accepted,186 ms,2800 KB,2019-10-14 06:04:00
4278121,Aug/14/2013 17:47,zhj,332C - Students' Revenge,GNU C++,Accepted,218 ms,2800 KB,2013-08-14 17:47:00
62540590,Oct/14/2019 06:05,vjudge1,332C - Students' Revenge,GNU C++14,Accepted,186 ms,2800 KB,2019-10-14 06:05:00
51755256,Mar/23/2019 14:16,vjudge5,332C - Students' Revenge,GNU C++14,Accepted,216 ms,2200 KB,2019-03-23 14:16:00
4153928,Jul/24/2013 20:51,* squarefk,332C - Students' Revenge,GNU C++,Accepted,171 ms,3500 KB,2013-07-24 20:51:00
38445970,May/20/2018 05:53,vjudge2,332C - Students' Revenge,GNU C++,Accepted,218 ms,2000 KB,2018-05-20 05:53:00
5313408,Nov/30/2013 17:26,PSDEV,332C - Students' Revenge,GNU C++,Accepted,218 ms,2800 KB,2013-11-30 17:26:00
4164639,Jul/25/2013 19:18,diego_v1,332C - Students' Revenge,GNU C++0x,Accepted,437 ms,6700 KB,2013-07-25 19:18:00
51758719,Mar/23/2019 15:46,vjudge1,332C - Students' Revenge,GNU C++14,Accepted,186 ms,3500 KB,2019-03-23 15:46:00
51762801,Mar/23/2019 17:28,luogu_bot4,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3500 KB,2019-03-23 17:28:00
5343020,Dec/03/2013 18:10,ymwneu,332C - Students' Revenge,MS C++,Accepted,186 ms,2700 KB,2013-12-03 18:10:00
6007437,Mar/13/2014 11:37,grundo,332C - Students' Revenge,GNU C++,Accepted,280 ms,3500 KB,2014-03-13 11:37:00
19099709,Jul/14/2016 05:53,yanQval,332C - Students' Revenge,GNU C++,Accepted,156 ms,3100 KB,2016-07-14 05:53:00
41638833,Aug/16/2018 06:19,vjudge1,332C - Students' Revenge,GNU C++,Accepted,280 ms,3500 KB,2018-08-16 06:19:00
60216514,Sep/07/2019 15:02,luogu_bot4,332C - Students' Revenge,GNU C++11,Accepted,186 ms,2400 KB,2019-09-07 15:02:00
7156664,Jul/19/2014 15:03,rxdoi,332C - Students' Revenge,GNU C++,Accepted,404 ms,1500 KB,2014-07-19 15:03:00
51828144,Mar/25/2019 17:54,lqs2015,332C - Students' Revenge,GNU C++17,Accepted,156 ms,2600 KB,2019-03-25 17:54:00
60214383,Sep/07/2019 14:18,vjudge2,332C - Students' Revenge,GNU C++11,Accepted,998 ms,3500 KB,2019-09-07 14:18:00
4164992,Jul/25/2013 20:38,kotori,332C - Students' Revenge,GNU C++,Accepted,218 ms,1600 KB,2013-07-25 20:38:00
51758690,Mar/23/2019 15:45,.tourist.,332C - Students' Revenge,GNU C++14,Accepted,186 ms,3500 KB,2019-03-23 15:45:00
4163856,Jul/25/2013 16:30,abhra,332C - Students' Revenge,GNU C++,Accepted,703 ms,1600 KB,2013-07-25 16:30:00
60216432,Sep/07/2019 15:01,vjudge5,332C - Students' Revenge,GNU C++14,Accepted,248 ms,2400 KB,2019-09-07 15:01:00
