21174942,Oct/04/2016 02:32,Amores,488C - Fight the Monster,PyPy 3,Accepted,514 ms,1500 KB,2016-10-04 02:32:00
35863387,Mar/03/2018 01:45,______M______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 01:45:00
35870424,Mar/03/2018 09:28,______i______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 09:28:00
35871181,Mar/03/2018 09:46,______k______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 09:46:00
35871213,Mar/03/2018 09:46,______h______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 09:46:00
35874528,Mar/03/2018 10:53,_____i_____,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 10:53:00
35874668,Mar/03/2018 10:57,_____k_____,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 10:57:00
35875195,Mar/03/2018 11:09,______n______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 11:09:00
35875344,Mar/03/2018 11:15,______u______,487A - Fight the Monster,PyPy 3,Accepted,373 ms,20300 KB,2018-03-03 11:15:00
15914480,Feb/09/2016 16:45,not_bot_but_POT,487A - Fight the Monster,Python 3,Accepted,62 ms,0 KB,2016-02-09 16:45:00
15441049,Jan/19/2016 16:56,newbeginBKB,487A - Fight the Monster,Python 3,Accepted,139 ms,0 KB,2016-01-19 16:56:00
8804075,Nov/22/2014 18:54,tomlau,487A - Fight the Monster,Python 3,Accepted,77 ms,0 KB,2014-11-22 18:54:00
42005706,Aug/23/2018 21:17,Mk_Python_v1,487A - Fight the Monster,Python 3,Accepted,124 ms,0 KB,2018-08-23 21:17:00
42135776,Aug/27/2018 02:38,Mk_Python_v1,488C - Fight the Monster,Python 3,Accepted,124 ms,0 KB,2018-08-27 02:38:00
57818672,Jul/27/2019 00:19,py_ultron,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2019-07-27 00:19:00
67370473,Dec/21/2019 16:57,ashok123,487A - Fight the Monster,PyPy 2,Accepted,139 ms,700 KB,2019-12-21 16:57:00
10302539,Mar/16/2015 20:23,nealzane,487A - Fight the Monster,Python 2,Accepted,77 ms,0 KB,2015-03-16 20:23:00
30459193,Sep/18/2017 12:09,ditoly,487A - Fight the Monster,GNU C++11,Accepted,15 ms,1900 KB,2017-09-18 12:09:00
33830026,Dec/31/2017 14:04,kefear,487A - Fight the Monster,GNU C++14,Accepted,15 ms,1800 KB,2017-12-31 14:04:00
57887820,Jul/28/2019 13:40,lopare,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 13:40:00
8976279,Dec/04/2014 06:56,imperio,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-12-04 06:56:00
8785243,Nov/21/2014 21:30,ZhouYuChen,487A - Fight the Monster,GNU C++0x,Accepted,31 ms,0 KB,2014-11-21 21:30:00
14407171,Nov/22/2015 00:31,google_was_my_idea,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-11-22 00:31:00
21659523,Oct/22/2016 10:02,Yash_,487A - Fight the Monster,PyPy 2,Accepted,109 ms,400 KB,2016-10-22 10:02:00
26375394,Apr/15/2017 12:13,Nobel_ruettt,488C - Fight the Monster,GNU C++11,Accepted,15 ms,2100 KB,2017-04-15 12:13:00
51349144,Mar/15/2019 23:23,Hagrasss,487A - Fight the Monster,GNU C++11,Accepted,46 ms,0 KB,2019-03-15 23:23:00
15821529,Feb/05/2016 11:49,Depinder,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-02-05 11:49:00
16960649,Mar/26/2016 21:25,zufrieden,487A - Fight the Monster,GNU C++,Accepted,31 ms,2200 KB,2016-03-26 21:25:00
8797413,Nov/22/2014 11:34,coicoichip,488C - Fight the Monster,GNU C++,Accepted,15 ms,100 KB,2014-11-22 11:34:00
33363211,Dec/17/2017 23:40,Fady_Ahdy8,487A - Fight the Monster,GNU C++,Accepted,30 ms,2000 KB,2017-12-17 23:40:00
26375400,Apr/15/2017 12:14,vjudge5,487A - Fight the Monster,GNU C++11,Accepted,15 ms,2000 KB,2017-04-15 12:14:00
14221499,Nov/13/2015 06:21,chalishmaonly,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-11-13 06:21:00
9551178,Jan/25/2015 19:05,yugle7,487A - Fight the Monster,Python 3,Accepted,62 ms,0 KB,2015-01-25 19:05:00
49774487,Feb/11/2019 17:54,nethish,487A - Fight the Monster,Python 3,Accepted,124 ms,0 KB,2019-02-11 17:54:00
33097883,Dec/11/2017 12:12,pranay.agr09,487A - Fight the Monster,GNU C++11,Accepted,15 ms,2000 KB,2017-12-11 12:12:00
11662027,Jun/19/2015 08:26,HYPERHYPERHYPERCUBELOVER#,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-06-19 08:26:00
15457320,Jan/20/2016 20:44,NWO,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-01-20 20:44:00
12526810,Aug/14/2015 11:56,gagagapapa,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-08-14 11:56:00
13920527,Oct/28/2015 20:57,130705009,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-10-28 20:57:00
12595521,Aug/19/2015 04:40,vjudge2,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-08-19 04:40:00
8860840,Nov/26/2014 17:43,mengshangqi,488C - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-26 17:43:00
12595540,Aug/19/2015 04:42,vjudge1,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-08-19 04:42:00
9933821,Feb/20/2015 08:06,Islam.Abdo,488C - Fight the Monster,GNU C++0x,Accepted,30 ms,0 KB,2015-02-20 08:06:00
31999081,Nov/03/2017 10:05,vjudge4,488C - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2017-11-03 10:05:00
12596299,Aug/19/2015 06:18,vjudge3,487A - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2015-08-19 06:18:00
54407216,May/20/2019 10:11,devanshagrawal,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2019-05-20 10:11:00
12595897,Aug/19/2015 05:25,vjudge4,487A - Fight the Monster,GNU C++,Accepted,686 ms,0 KB,2015-08-19 05:25:00
8837551,Nov/24/2014 18:22,IcyGirl#,487A - Fight the Monster,GNU C++0x,Accepted,93 ms,0 KB,2014-11-24 18:22:00
22727580,Dec/06/2016 13:16,zhan8855#,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-12-06 13:16:00
11115556,May/16/2015 12:32,ayusha,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-05-16 12:32:00
12585190,Aug/18/2015 10:16,vjudge5,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-08-18 10:16:00
53292559,Apr/25/2019 19:12,jaaguptamme,487A - Fight the Monster,GNU C++17,Accepted,529 ms,0 KB,2019-04-25 19:12:00
8779391,Nov/21/2014 20:37,Logic_zys,487A - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-21 20:37:00
8808336,Nov/23/2014 07:14,con_nha_nguoi_ta,488C - Fight the Monster,FPC,Accepted,15 ms,100 KB,2014-11-23 07:14:00
8826019,Nov/23/2014 18:40,con_nha_nguoi_ta,487A - Fight the Monster,FPC,Accepted,15 ms,100 KB,2014-11-23 18:40:00
8808339,Nov/23/2014 07:14,con_nha_nguoi_ta,488C - Fight the Monster,FPC,Accepted,171 ms,100 KB,2014-11-23 07:14:00
8797497,Nov/22/2014 11:40,NgocHai#,488C - Fight the Monster,Python 2,Accepted,186 ms,0 KB,2014-11-22 11:40:00
16639597,Mar/10/2016 23:23,viralm,487A - Fight the Monster,Python 2,Accepted,187 ms,0 KB,2016-03-10 23:23:00
12034731,Jul/14/2015 04:11,descrip,488C - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2015-07-14 04:11:00
15566798,Jan/25/2016 07:45,shubhamgoyal__,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-01-25 07:45:00
34573312,Jan/26/2018 14:11,pavankatta,487A - Fight the Monster,Python 2,Accepted,202 ms,4500 KB,2018-01-26 14:11:00
56032204,Jun/25/2019 13:11,user909,487A - Fight the Monster,GNU C++14,Accepted,30 ms,0 KB,2019-06-25 13:11:00
12585125,Aug/18/2015 10:10,vjudge3,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-08-18 10:10:00
9638533,Jan/31/2015 11:13,kunaajain,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-01-31 11:13:00
9714062,Feb/04/2015 15:26,love2_LH,487A - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2015-02-04 15:26:00
37536969,Apr/22/2018 19:40,nowyyz,487A - Fight the Monster,Python 3,Accepted,124 ms,6900 KB,2018-04-22 19:40:00
8784775,Nov/21/2014 21:25,fwm94,487A - Fight the Monster,GNU C++,Accepted,686 ms,0 KB,2014-11-21 21:25:00
51997863,Mar/30/2019 07:00,luogu_bot4,487A - Fight the Monster,FPC,Accepted,31 ms,100 KB,2019-03-30 07:00:00
