11634688,Jun/18/2015 18:18,johannesk,551C - GukiZ hates Boxes,PyPy 3,Accepted,935 ms,11900 KB,2015-06-18 18:18:00
35873002,Mar/03/2018 10:22,______M______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 10:22:00
35874660,Mar/03/2018 10:57,______i______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 10:57:00
35875116,Mar/03/2018 11:08,______k______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 11:08:00
35875384,Mar/03/2018 11:16,______h______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 11:16:00
35887198,Mar/03/2018 16:59,_____k_____,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 16:59:00
35887572,Mar/03/2018 17:07,______n______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 17:07:00
35887597,Mar/03/2018 17:07,______u______,551C - GukiZ hates Boxes,PyPy 3,Accepted,857 ms,34800 KB,2018-03-03 17:07:00
57817592,Jul/26/2019 23:38,py_ultron,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,600 KB,2019-07-26 23:38:00
39975040,Jul/05/2018 09:28,vjudge1,551C - GukiZ hates Boxes,GNU C++11,Accepted,77 ms,900 KB,2018-07-05 09:28:00
57885440,Jul/28/2019 12:38,lopare,551C - GukiZ hates Boxes,GNU C++11,Accepted,77 ms,600 KB,2019-07-28 12:38:00
31636688,Oct/23/2017 18:55,yugle7,551C - GukiZ hates Boxes,PyPy 3,Accepted,1138 ms,32600 KB,2017-10-23 18:55:00
24256252,Jan/30/2017 00:31,1280648,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,2800 KB,2017-01-30 00:31:00
32533848,Nov/21/2017 21:59,amirhossein.sana,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,1600 KB,2017-11-21 21:59:00
41960822,Aug/22/2018 12:18,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,600 KB,2018-08-22 12:18:00
16438784,Mar/01/2016 13:03,abhilash007tt_,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2016-03-01 13:03:00
42889179,Sep/15/2018 14:50,Lee2004,551C - GukiZ hates Boxes,GNU C++11,Accepted,296 ms,800 KB,2018-09-15 14:50:00
78462910,Apr/29/2020 13:06,Z_Blast,551C - GukiZ hates Boxes,GNU C++14,Accepted,233 ms,1600 KB,2020-04-29 13:06:00
12438926,Aug/10/2015 16:07,jacky860226,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2015-08-10 16:07:00
31684576,Oct/24/2017 17:11,BackOnTrack,551C - GukiZ hates Boxes,GNU C++14,Accepted,218 ms,3400 KB,2017-10-24 17:11:00
51093143,Mar/09/2019 18:08,scientificuber,551C - GukiZ hates Boxes,GNU C++11,Accepted,234 ms,400 KB,2019-03-09 18:08:00
18731469,Jun/26/2016 11:14,ConorMcGregor,551C - GukiZ hates Boxes,GNU C++,Accepted,312 ms,800 KB,2016-06-26 11:14:00
39269312,Jun/15/2018 17:51,Elhamslmn,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,1600 KB,2018-06-15 17:51:00
17252351,Apr/09/2016 15:35,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,3700 KB,2016-04-09 15:35:00
21781418,Oct/25/2016 23:13,bluefi,551C - GukiZ hates Boxes,GNU C++11,Accepted,93 ms,800 KB,2016-10-25 23:13:00
11591900,Jun/15/2015 11:33,sanketM,551C - GukiZ hates Boxes,GNU C,Accepted,78 ms,1600 KB,2015-06-15 11:33:00
11603031,Jun/16/2015 09:54,Kerim.K,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,1600 KB,2015-06-16 09:54:00
40231002,Jul/12/2018 15:03,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,400 KB,2018-07-12 15:03:00
29851040,Aug/28/2017 20:26,EliasMera,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2017-08-28 20:26:00
36613158,Mar/25/2018 13:35,conquistador3,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,4200 KB,2018-03-25 13:35:00
57099560,Jul/15/2019 16:19,Jabaiy_Mysyq,551C - GukiZ hates Boxes,GNU C++11,Accepted,61 ms,800 KB,2019-07-15 16:19:00
11911169,Jul/03/2015 16:05,majq,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,800 KB,2015-07-03 16:05:00
12124614,Jul/20/2015 06:05,love2_LH,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-07-20 06:05:00
27674371,Jun/08/2017 18:20,Codeblooded,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2017-06-08 18:20:00
27969184,Jun/22/2017 19:21,avinash_47,551C - GukiZ hates Boxes,GNU C++14,Accepted,62 ms,2700 KB,2017-06-22 19:21:00
12353091,Aug/05/2015 18:30,UsedRose,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2015-08-05 18:30:00
40221066,Jul/12/2018 09:28,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,296 ms,800 KB,2018-07-12 09:28:00
37567969,Apr/24/2018 12:29,vjudge1,551C - GukiZ hates Boxes,GNU C++,Accepted,93 ms,4500 KB,2018-04-24 12:29:00
