57816414,Jul/26/2019 22:57,py_ultron,613C - Necklace,GNU C++11,Accepted,1544 ms,1500 KB,2019-07-26 22:57:00
71526840,Feb/21/2020 07:29,gongsuidashen,613C - Necklace,GNU C++11,Accepted,1263 ms,1700 KB,2020-02-21 07:29:00
72990683,Mar/12/2020 03:53,saza,613C - Necklace,GNU C++11,Accepted,1497 ms,1700 KB,2020-03-12 03:53:00
28631999,Jul/17/2017 10:46,Feeey,614E - Necklace,GNU C++,Accepted,702 ms,3700 KB,2017-07-17 10:46:00
28747196,Jul/21/2017 13:11,Perfectxx,614E - Necklace,GNU C++,Accepted,904 ms,3900 KB,2017-07-21 13:11:00
57882955,Jul/28/2019 11:37,lopare,613C - Necklace,GNU C++11,Accepted,1450 ms,1600 KB,2019-07-28 11:37:00
35884342,Mar/03/2018 16:09,______M______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 16:09:00
35887204,Mar/03/2018 17:00,______k______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 17:00:00
35887594,Mar/03/2018 17:07,______h______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 17:07:00
35893286,Mar/03/2018 18:47,______i______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 18:47:00
35895559,Mar/03/2018 19:47,_____i_____,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 19:47:00
35895729,Mar/03/2018 19:52,______u______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 19:52:00
35895806,Mar/03/2018 19:52,______n______,613C - Necklace,GNU C++,Accepted,811 ms,3900 KB,2018-03-03 19:52:00
73845676,Mar/21/2020 05:17,CaiJiZXY,613C - Necklace,GNU C++11,Accepted,1201 ms,1600 KB,2020-03-21 05:17:00
15387126,Jan/15/2016 14:08,ITDOI,613C - Necklace,GNU C++11,Accepted,31 ms,0 KB,2016-01-15 14:08:00
28631659,Jul/17/2017 10:36,vjudge4,614E - Necklace,GNU C++,Accepted,873 ms,3900 KB,2017-07-17 10:36:00
19663651,Aug/06/2016 09:30,vjudge4,613C - Necklace,GNU C++,Accepted,31 ms,2000 KB,2016-08-06 09:30:00
28774011,Jul/22/2017 11:53,vjudge4,614E - Necklace,GNU C++,Accepted,15 ms,2400 KB,2017-07-22 11:53:00
27791031,Jun/15/2017 13:05,yanQval,613C - Necklace,GNU C++11,Accepted,15 ms,0 KB,2017-06-15 13:05:00
15373895,Jan/14/2016 22:12,cugel,613C - Necklace,Python 3,Accepted,62 ms,1200 KB,2016-01-14 22:12:00
16483444,Mar/03/2016 16:43,TylerX,613C - Necklace,GNU C++11,Accepted,30 ms,300 KB,2016-03-03 16:43:00
15513995,Jan/23/2016 15:31,igdor99,614E - Necklace,FPC,Accepted,15 ms,400 KB,2016-01-23 15:31:00
65347529,Nov/19/2019 16:06,David-M,613C - Necklace,GNU C++17,Accepted,31 ms,300 KB,2019-11-19 16:06:00
19664530,Aug/06/2016 10:19,vjudge2,613C - Necklace,GNU C++11,Accepted,15 ms,1800 KB,2016-08-06 10:19:00
28749245,Jul/21/2017 15:01,vjudge5,614E - Necklace,GNU C++14,Accepted,15 ms,2100 KB,2017-07-21 15:01:00
28650886,Jul/18/2017 03:17,Sahashoo,614E - Necklace,GNU C++14,Accepted,15 ms,3000 KB,2017-07-18 03:17:00
15397081,Jan/16/2016 06:49,bhiaibogf,613C - Necklace,GNU C++,Accepted,15 ms,100 KB,2016-01-16 06:49:00
20777912,Sep/20/2016 17:12,naij,613C - Necklace,GNU C++11,Accepted,30 ms,300 KB,2016-09-20 17:12:00
15896124,Feb/08/2016 16:18,footo,613C - Necklace,GNU C++,Accepted,15 ms,100 KB,2016-02-08 16:18:00
21231659,Oct/06/2016 13:28,Ajatar,613C - Necklace,GNU C++,Accepted,15 ms,200 KB,2016-10-06 13:28:00
17704382,May/04/2016 08:27,Hikari9,613C - Necklace,GNU C++,Accepted,15 ms,2200 KB,2016-05-04 08:27:00
15626135,Jan/28/2016 12:28,lsmll,613C - Necklace,GNU C++,Accepted,15 ms,0 KB,2016-01-28 12:28:00
18003868,May/20/2016 14:35,vjtest,613C - Necklace,GNU C++,Accepted,31 ms,2400 KB,2016-05-20 14:35:00
28638057,Jul/17/2017 14:38,functionendless,614E - Necklace,GNU C++,Accepted,15 ms,41000 KB,2017-07-17 14:38:00
28638305,Jul/17/2017 14:49,vjudge5,614E - Necklace,GNU C++,Accepted,15 ms,41000 KB,2017-07-17 14:49:00
15732971,Feb/01/2016 17:20,1__KaTau6ek__1,614E - Necklace,GNU C++11,Accepted,15 ms,400 KB,2016-02-01 17:20:00
26475766,Apr/18/2017 15:39,Enigma_Inu,614E - Necklace,GNU C++14,Accepted,15 ms,2300 KB,2017-04-18 15:39:00
15732975,Feb/01/2016 17:20,1__KaTau6ek__1,614E - Necklace,GNU C++11,Accepted,15 ms,400 KB,2016-02-01 17:20:00
15732977,Feb/01/2016 17:20,1__KaTau6ek__1,614E - Necklace,GNU C++11,Accepted,15 ms,400 KB,2016-02-01 17:20:00
15732978,Feb/01/2016 17:20,1__KaTau6ek__1,614E - Necklace,GNU C++11,Accepted,15 ms,400 KB,2016-02-01 17:20:00
15430773,Jan/18/2016 20:36,0xA28,614E - Necklace,GNU C++11,Accepted,15 ms,400 KB,2016-01-18 20:36:00
15554163,Jan/24/2016 14:37,gulu.311295,614E - Necklace,GNU C++,Accepted,15 ms,400 KB,2016-01-24 14:37:00
49188975,Jan/30/2019 10:25,LMOliver,613C - Necklace,GNU C++11,Accepted,31 ms,0 KB,2019-01-30 10:25:00
15390532,Jan/15/2016 17:42,yarek,613C - Necklace,GNU C++11,Accepted,15 ms,0 KB,2016-01-15 17:42:00
28625273,Jul/17/2017 06:40,xc01,614E - Necklace,GNU C++11,Accepted,30 ms,2400 KB,2017-07-17 06:40:00
18003861,May/20/2016 14:35,tianx,613C - Necklace,GNU C++11,Accepted,15 ms,2400 KB,2016-05-20 14:35:00
28625272,Jul/17/2017 06:40,vjudge1,614E - Necklace,GNU C++11,Accepted,15 ms,2400 KB,2017-07-17 06:40:00
28628205,Jul/17/2017 08:47,vjudge3,614E - Necklace,GNU C++11,Accepted,15 ms,2400 KB,2017-07-17 08:47:00
16662099,Mar/12/2016 01:11,Neumann,613C - Necklace,GNU C++11,Accepted,15 ms,300 KB,2016-03-12 01:11:00
36500066,Mar/22/2018 14:46,vjudge4,613C - Necklace,GNU C++,Accepted,31 ms,3800 KB,2018-03-22 14:46:00
15783598,Feb/04/2016 11:27,GinghouLuk,614E - Necklace,GNU C++11,Accepted,404 ms,600 KB,2016-02-04 11:27:00
17830466,May/10/2016 14:02,naij,613C - Necklace,GNU C++11,Accepted,15 ms,2200 KB,2016-05-10 14:02:00
70539023,Feb/08/2020 08:05,Phosphorus_He,614E - Necklace,GNU C++17,Accepted,31 ms,600 KB,2020-02-08 08:05:00
28631795,Jul/17/2017 10:40,vjudge1,614E - Necklace,GNU C++,Accepted,15 ms,2400 KB,2017-07-17 10:40:00
15443724,Jan/19/2016 23:04,bluefi,613C - Necklace,GNU C++,Accepted,31 ms,400 KB,2016-01-19 23:04:00
28488287,Jul/13/2017 06:38,vjudge3,613C - Necklace,GNU C++14,Accepted,15 ms,2000 KB,2017-07-13 06:38:00
28488315,Jul/13/2017 06:39,vjudge3,613C - Necklace,GNU C++14,Accepted,15 ms,2000 KB,2017-07-13 06:39:00
15623301,Jan/28/2016 08:36,NeverSayNever,614E - Necklace,GNU C++11,Accepted,31 ms,500 KB,2016-01-28 08:36:00
21570871,Oct/18/2016 18:12,OmarHashim,613C - Necklace,GNU C++11,Accepted,30 ms,2100 KB,2016-10-18 18:12:00
61456798,Sep/29/2019 09:41,yaksha,613C - Necklace,GNU C++14,Accepted,31 ms,200 KB,2019-09-29 09:41:00
28488293,Jul/13/2017 06:38,HunTer,613C - Necklace,GNU C++14,Accepted,31 ms,2000 KB,2017-07-13 06:38:00
16677213,Mar/12/2016 19:19,_Eren_,613C - Necklace,GNU C++,Accepted,15 ms,200 KB,2016-03-12 19:19:00
70538822,Feb/08/2020 07:58,vjudge2,614E - Necklace,GNU C++17,Accepted,31 ms,600 KB,2020-02-08 07:58:00
19959811,Aug/19/2016 11:00,augurar,614E - Necklace,Python 3,Accepted,109 ms,6200 KB,2016-08-19 11:00:00
62836402,Oct/18/2019 01:53,ivan100sic,613C - Necklace,GNU C++17,Accepted,30 ms,300 KB,2019-10-18 01:53:00
18007918,May/20/2016 19:31,vjtest,613C - Necklace,GNU C++,Accepted,15 ms,2800 KB,2016-05-20 19:31:00
35965984,Mar/05/2018 16:03,DeadPillow,613C - Necklace,GNU C++11,Accepted,31 ms,2400 KB,2018-03-05 16:03:00
22298847,Nov/18/2016 05:30,_ShadowSong,613C - Necklace,GNU C++,Accepted,15 ms,0 KB,2016-11-18 05:30:00
15376900,Jan/14/2016 23:25,waterfalls,613C - Necklace,GNU C++11,Accepted,15 ms,0 KB,2016-01-14 23:25:00
24916005,Feb/23/2017 15:38,Shying,614E - Necklace,GNU C++,Accepted,15 ms,2400 KB,2017-02-23 15:38:00
66634535,Dec/11/2019 15:26,hjk1030,613C - Necklace,GNU C++17,Accepted,30 ms,0 KB,2019-12-11 15:26:00
42136218,Aug/27/2018 03:15,Mk_Python_v1,613C - Necklace,Python 3,Accepted,187 ms,1400 KB,2018-08-27 03:15:00
65672653,Nov/24/2019 19:36,NonGoxicTum,613C - Necklace,GNU C++17,Accepted,31 ms,300 KB,2019-11-24 19:36:00
16823630,Mar/19/2016 19:34,freebsdx,613C - Necklace,GNU C++11,Accepted,15 ms,2800 KB,2016-03-19 19:34:00
15416077,Jan/17/2016 18:00,A.Arslan2016,613C - Necklace,GNU C++,Accepted,15 ms,800 KB,2016-01-17 18:00:00
15506310,Jan/23/2016 05:37,mdwudier,613C - Necklace,GNU C++,Accepted,31 ms,800 KB,2016-01-23 05:37:00
15386509,Jan/15/2016 13:25,130705009,613C - Necklace,GNU C++,Accepted,15 ms,800 KB,2016-01-15 13:25:00
16224520,Feb/20/2016 10:35,lretin3#,613C - Necklace,GNU C++,Accepted,15 ms,800 KB,2016-02-20 10:35:00
61898582,Oct/05/2019 10:58,vjudge4,613C - Necklace,GNU C++17,Accepted,31 ms,2100 KB,2019-10-05 10:58:00
16775404,Mar/18/2016 07:38,sigma425,613C - Necklace,GNU C++11,Accepted,31 ms,300 KB,2016-03-18 07:38:00
19870749,Aug/14/2016 17:55,helloworldaplusb,614E - Necklace,GNU C++11,Accepted,31 ms,2300 KB,2016-08-14 17:55:00
65576329,Nov/23/2019 12:30,GioChkhaidze,613C - Necklace,GNU C++17,Accepted,31 ms,400 KB,2019-11-23 12:30:00
65576380,Nov/23/2019 12:31,GioChkhaidze,614E - Necklace,GNU C++17,Accepted,31 ms,400 KB,2019-11-23 12:31:00
15450372,Jan/20/2016 11:29,jacky860226,613C - Necklace,GNU C++,Accepted,15 ms,400 KB,2016-01-20 11:29:00
