310358,Feb/28/2011 19:20,* watashi,63C - Bulls and Cows,Ruby,Accepted,190 ms,5000 KB,2011-02-28 19:20:00
35886766,Mar/03/2018 16:51,______M______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 16:51:00
35889372,Mar/03/2018 17:39,______i______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 17:39:00
35889583,Mar/03/2018 17:42,______k______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 17:42:00
35889596,Mar/03/2018 17:42,______h______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 17:42:00
35895789,Mar/03/2018 19:52,_____i_____,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 19:52:00
35896006,Mar/03/2018 19:58,______n______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 19:58:00
35897023,Mar/03/2018 20:41,______u______,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 20:41:00
35897031,Mar/03/2018 20:41,_____k_____,63C - Bulls and Cows,Ruby,Accepted,218 ms,6600 KB,2018-03-03 20:41:00
56016296,Jun/25/2019 00:30,sorry_im_smurfing,63C - Bulls and Cows,Ruby,Accepted,186 ms,400 KB,2019-06-25 00:30:00
312693,Mar/01/2011 01:08,Aleksey,63C - Bulls and Cows,Python 2,Accepted,110 ms,2800 KB,2011-03-01 01:08:00
310613,Feb/28/2011 19:27,yowa,63C - Bulls and Cows,Ruby,Accepted,270 ms,5200 KB,2011-02-28 19:27:00
313138,Mar/01/2011 12:52,lyrics,63C - Bulls and Cows,Python 2,Accepted,80 ms,2800 KB,2011-03-01 12:52:00
395935,Apr/18/2011 22:11,Tsumiman,63C - Bulls and Cows,Python 2,Accepted,90 ms,2800 KB,2011-04-18 22:11:00
312455,Feb/28/2011 21:49,-dp-,63C - Bulls and Cows,Python 2,Accepted,130 ms,4200 KB,2011-02-28 21:49:00
312302,Feb/28/2011 21:30,AntonDubovik,63C - Bulls and Cows,Python 2,Accepted,110 ms,3300 KB,2011-02-28 21:30:00
312130,Feb/28/2011 20:56,miniput,63C - Bulls and Cows,Python 2,Accepted,360 ms,2800 KB,2011-02-28 20:56:00
312286,Feb/28/2011 21:28,Aman,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 21:28:00
57906278,Jul/28/2019 20:45,lopare,63C - Bulls and Cows,GNU C++11,Accepted,60 ms,0 KB,2019-07-28 20:45:00
70474417,Feb/07/2020 05:51,big_tq,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2020-02-07 05:51:00
2525328,Nov/09/2012 09:11,dut200901102,63C - Bulls and Cows,Python 2,Accepted,156 ms,0 KB,2012-11-09 09:11:00
17505503,Apr/25/2016 11:44,DukeOfYork,63C - Bulls and Cows,Python 2,Accepted,218 ms,4600 KB,2016-04-25 11:44:00
59837997,Sep/01/2019 08:39,Alex_Wei,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2019-09-01 08:39:00
994172,Jan/01/2012 22:01,lysine,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2012-01-01 22:01:00
372426,Apr/09/2011 19:31,riktor,63C - Bulls and Cows,Python 2,Accepted,90 ms,3200 KB,2011-04-09 19:31:00
76652748,Apr/14/2020 06:15,LeierKing,63C - Bulls and Cows,Python 3,Accepted,248 ms,500 KB,2020-04-14 06:15:00
670889,Sep/06/2011 18:44,CindyLinz,63C - Bulls and Cows,Haskell,Accepted,30 ms,2000 KB,2011-09-06 18:44:00
58222156,Aug/03/2019 15:58,vjudge3,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,0 KB,2019-08-03 15:58:00
368312,Mar/31/2011 22:32,fura2,63C - Bulls and Cows,GNU C++,Accepted,60 ms,1300 KB,2011-03-31 22:32:00
45324108,Nov/05/2018 15:03,ashashwat,63C - Bulls and Cows,Python 2,Accepted,1122 ms,5300 KB,2018-11-05 15:03:00
887566,Nov/23/2011 16:23,tmt514,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-11-23 16:23:00
312044,Feb/28/2011 20:52,* l0nwlf,63C - Bulls and Cows,Python 2,Accepted,480 ms,2900 KB,2011-02-28 20:52:00
