22735150,Dec/06/2016 17:42,Shik,741A - Arpa's loud Owf and Mehrdad's evil plan,Ruby,Accepted,62 ms,6500 KB,2016-12-06 17:42:00
28384610,Jul/09/2017 12:38,nns2009,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,5400 KB,2017-07-09 12:38:00
57813536,Jul/26/2019 21:32,py_ultron,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2019-07-26 21:32:00
22823372,Dec/09/2016 02:54,nealzane,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 2,Accepted,77 ms,0 KB,2016-12-09 02:54:00
22979944,Dec/14/2016 21:37,ITDOI#,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-14 21:37:00
57878044,Jul/28/2019 09:28,lopare,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 09:28:00
63250524,Oct/23/2019 18:54,soumyasarkar1998,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,265 ms,5200 KB,2019-10-23 18:54:00
22739512,Dec/06/2016 17:52,Heisenbug,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,62 ms,4600 KB,2016-12-06 17:52:00
26118114,Apr/04/2017 12:30,MyTien,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,2000 KB,2017-04-04 12:30:00
70464698,Feb/06/2020 22:58,Salman_Farsi,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,0 KB,2020-02-06 22:58:00
23277813,Dec/24/2016 21:48,Basharo,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-24 21:48:00
28384512,Jul/09/2017 12:32,nns2009,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,5400 KB,2017-07-09 12:32:00
22737308,Dec/06/2016 17:47,nwi,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,124 ms,9700 KB,2016-12-06 17:47:00
22815570,Dec/08/2016 19:46,EmilioK,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,77 ms,0 KB,2016-12-08 19:46:00
23032483,Dec/16/2016 17:58,agarajaev,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,800 KB,2016-12-16 17:58:00
80057156,May/14/2020 13:13,Mohamed_Ayman,742C - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,155 ms,21000 KB,2020-05-14 13:13:00
80057173,May/14/2020 13:14,Mohamed_Ayman,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,155 ms,21000 KB,2020-05-14 13:14:00
22855309,Dec/10/2016 15:27,erfre,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,100 KB,2016-12-10 15:27:00
22773170,Dec/07/2016 04:23,ntd275,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2100 KB,2016-12-07 04:23:00
42118750,Aug/26/2018 14:20,Mk_Python_v1,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,139 ms,0 KB,2018-08-26 14:20:00
42140912,Aug/27/2018 08:23,Mk_Python_v1,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,139 ms,0 KB,2018-08-27 08:23:00
29436720,Aug/13/2017 17:43,Qumeric,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,108 ms,23000 KB,2017-08-13 17:43:00
22764930,Dec/06/2016 20:42,Vosatorp,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,109 ms,23000 KB,2016-12-06 20:42:00
22770166,Dec/06/2016 23:53,OMA,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2100 KB,2016-12-06 23:53:00
22770207,Dec/06/2016 23:55,Shepard_y,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-06 23:55:00
22898447,Dec/12/2016 09:10,ELNUR.ktl,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-12 09:10:00
23020409,Dec/16/2016 03:23,tieuchanlong,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,31 ms,0 KB,2016-12-16 03:23:00
22766200,Dec/06/2016 21:11,BoJack_Horseman,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 21:11:00
22770327,Dec/07/2016 00:02,paul970410,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,2100 KB,2016-12-07 00:02:00
22820125,Dec/08/2016 22:51,yellow_mango,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,0 KB,2016-12-08 22:51:00
60732689,Sep/17/2019 19:17,Sevlll,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,155 ms,1600 KB,2019-09-17 19:17:00
22906615,Dec/12/2016 17:55,ThatMathGuy,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-12 17:55:00
22748129,Dec/06/2016 18:26,kylych03,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 18:26:00
22872128,Dec/11/2016 10:44,wangzpeng,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2016-12-11 10:44:00
51401171,Mar/17/2019 10:26,toysheeyeyraku,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,109 ms,0 KB,2019-03-17 10:26:00
22828676,Dec/09/2016 11:18,i.am.batman,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2016-12-09 11:18:00
22737068,Dec/06/2016 17:46,king_of_math,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C,Accepted,15 ms,1900 KB,2016-12-06 17:46:00
51656962,Mar/22/2019 01:22,111vad111,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,187 ms,1200 KB,2019-03-22 01:22:00
22737192,Dec/06/2016 17:46,xyz2606,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,62 ms,4600 KB,2016-12-06 17:46:00
23673607,Jan/10/2017 06:04,IcyGirl#,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2017-01-10 06:04:00
22896926,Dec/12/2016 05:40,713,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,139 ms,1200 KB,2016-12-12 05:40:00
22790984,Dec/07/2016 18:50,beyondunderscorespace,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,2000 KB,2016-12-07 18:50:00
22949331,Dec/14/2016 16:19,RomaKaul#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,2000 KB,2016-12-14 16:19:00
23225844,Dec/22/2016 16:26,smartnj,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,31 ms,2000 KB,2016-12-22 16:26:00
22743642,Dec/06/2016 18:10,tjake,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,62 ms,4600 KB,2016-12-06 18:10:00
22821835,Dec/09/2016 00:33,bluefi,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2016-12-09 00:33:00
22747189,Dec/06/2016 18:23,TLKing,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 18:23:00
22820440,Dec/08/2016 23:06,bluefi,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-08 23:06:00
22735499,Dec/06/2016 17:42,SpyCheese,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-06 17:42:00
22781694,Dec/07/2016 12:40,abdullah009,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-07 12:40:00
