23465416,Dec/31/2016 10:51,cielavenir,750C - New Year and Rating,Ruby,Accepted,655 ms,6300 KB,2016-12-31 10:51:00
57813227,Jul/26/2019 21:24,py_ultron,750C - New Year and Rating,GNU C++11,Accepted,483 ms,0 KB,2019-07-26 21:24:00
23625761,Jan/07/2017 17:52,nealzane,750C - New Year and Rating,Python 2,Accepted,857 ms,8000 KB,2017-01-07 17:52:00
23480562,Jan/01/2017 12:00,sas1905,750C - New Year and Rating,GNU C++14,Accepted,436 ms,1900 KB,2017-01-01 12:00:00
24096580,Jan/24/2017 20:35,rajat050298,750C - New Year and Rating,GNU C++11,Accepted,686 ms,2000 KB,2017-01-24 20:35:00
31688602,Oct/24/2017 19:16,musafir_v,750C - New Year and Rating,GNU C++14,Accepted,374 ms,1900 KB,2017-10-24 19:16:00
34396441,Jan/21/2018 04:23,taslar,750C - New Year and Rating,GNU C++11,Accepted,514 ms,2000 KB,2018-01-21 04:23:00
46821643,Dec/09/2018 18:39,jaaguptamme,750C - New Year and Rating,GNU C++11,Accepted,483 ms,0 KB,2018-12-09 18:39:00
54518126,May/23/2019 14:00,luogu_bot1,750C - New Year and Rating,GNU C++11,Accepted,483 ms,0 KB,2019-05-23 14:00:00
57877664,Jul/28/2019 09:17,lopare,750C - New Year and Rating,GNU C++11,Accepted,483 ms,0 KB,2019-07-28 09:17:00
79664846,May/10/2020 17:57,Minotaur,750C - New Year and Rating,GNU C++17,Accepted,451 ms,3600 KB,2020-05-10 17:57:00
30947910,Oct/02/2017 19:14,yugle7,750C - New Year and Rating,Python 3,Accepted,748 ms,0 KB,2017-10-02 19:14:00
23471631,Dec/31/2016 18:11,179000,750C - New Year and Rating,GNU C++11,Accepted,546 ms,2000 KB,2016-12-31 18:11:00
23494442,Jan/02/2017 10:13,Helli.code,750C - New Year and Rating,GNU C++14,Accepted,436 ms,1900 KB,2017-01-02 10:13:00
23500789,Jan/02/2017 17:22,wangzpeng,750C - New Year and Rating,GNU C++11,Accepted,546 ms,2000 KB,2017-01-02 17:22:00
50599556,Feb/28/2019 15:03,codexharsh,750C - New Year and Rating,GNU C++14,Accepted,343 ms,200 KB,2019-02-28 15:03:00
