36337612,Mar/17/2018 01:06,daleks,779C - Dishonest Sellers,Python 3,Accepted,280 ms,24200 KB,2018-03-17 01:06:00
25088701,Feb/28/2017 00:16,nealzane,779C - Dishonest Sellers,Python 2,Accepted,374 ms,19200 KB,2017-02-28 00:16:00
25288279,Mar/06/2017 13:20,BlueHazard_rony,779C - Dishonest Sellers,Python 2,Accepted,374 ms,19400 KB,2017-03-06 13:20:00
33153374,Dec/12/2017 14:37,laoliumang,779C - Dishonest Sellers,Python 2,Accepted,374 ms,19100 KB,2017-12-12 14:37:00
25078136,Feb/27/2017 16:15,eddy1021,779C - Dishonest Sellers,Python 3,Accepted,358 ms,22300 KB,2017-02-27 16:15:00
25365915,Mar/09/2017 20:41,Zombarian,779C - Dishonest Sellers,Python 3,Accepted,389 ms,22200 KB,2017-03-09 20:41:00
25119239,Mar/01/2017 12:11,pcchou,779C - Dishonest Sellers,Python 3,Accepted,405 ms,22300 KB,2017-03-01 12:11:00
28943041,Jul/28/2017 08:01,Vasiliy_48,779C - Dishonest Sellers,Python 3,Accepted,358 ms,22200 KB,2017-07-28 08:01:00
25449878,Mar/13/2017 11:55,orailly,779C - Dishonest Sellers,Ruby,Accepted,421 ms,43100 KB,2017-03-13 11:55:00
31880069,Oct/30/2017 05:29,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,389 ms,17600 KB,2017-10-30 05:29:00
54660669,May/26/2019 13:39,ShifaT57,779C - Dishonest Sellers,Python 3,Accepted,265 ms,18200 KB,2019-05-26 13:39:00
25700289,Mar/22/2017 00:14,merolish,779C - Dishonest Sellers,Python 3,Accepted,810 ms,43500 KB,2017-03-22 00:14:00
25445977,Mar/13/2017 06:02,orailly,779C - Dishonest Sellers,Ruby,Accepted,436 ms,45300 KB,2017-03-13 06:02:00
25445913,Mar/13/2017 05:52,orailly,779C - Dishonest Sellers,Ruby,Accepted,452 ms,64100 KB,2017-03-13 05:52:00
42141206,Aug/27/2018 08:37,Mk_Python_v1,779C - Dishonest Sellers,Python 3,Accepted,499 ms,17600 KB,2018-08-27 08:37:00
78295797,Apr/27/2020 16:37,vjudge3,779C - Dishonest Sellers,PyPy 3,Accepted,405 ms,19900 KB,2020-04-27 16:37:00
31880095,Oct/30/2017 05:32,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,405 ms,17600 KB,2017-10-30 05:32:00
31879816,Oct/30/2017 04:59,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,373 ms,17600 KB,2017-10-30 04:59:00
78297846,Apr/27/2020 16:59,vjudge2,779C - Dishonest Sellers,Python 3,Accepted,358 ms,18200 KB,2020-04-27 16:59:00
25217584,Mar/04/2017 17:50,serszab,779C - Dishonest Sellers,Python 2,Accepted,405 ms,19200 KB,2017-03-04 17:50:00
25037213,Feb/26/2017 11:34,potpath,779C - Dishonest Sellers,PyPy 3,Accepted,405 ms,50700 KB,2017-02-26 11:34:00
78297585,Apr/27/2020 16:57,vjudge1,779C - Dishonest Sellers,Python 3,Accepted,327 ms,18200 KB,2020-04-27 16:57:00
25466248,Mar/14/2017 08:32,dolphin1999,779C - Dishonest Sellers,Python 2,Accepted,467 ms,19200 KB,2017-03-14 08:32:00
52021890,Mar/30/2019 16:07,weirdflex,779C - Dishonest Sellers,Python 3,Accepted,358 ms,18200 KB,2019-03-30 16:07:00
59096212,Aug/19/2019 17:19,tanu38,779C - Dishonest Sellers,PyPy 3,Accepted,421 ms,18500 KB,2019-08-19 17:19:00
25053211,Feb/26/2017 15:07,rsFalse,779C - Dishonest Sellers,Perl,Accepted,1481 ms,108600 KB,2017-02-26 15:07:00
31879745,Oct/30/2017 04:50,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,373 ms,17600 KB,2017-10-30 04:50:00
25053611,Feb/26/2017 15:18,elistark,779C - Dishonest Sellers,Python 2,Accepted,358 ms,19200 KB,2017-02-26 15:18:00
25068400,Feb/27/2017 06:43,Itsfakebro,779C - Dishonest Sellers,PyPy 3,Accepted,436 ms,50600 KB,2017-02-27 06:43:00
26467533,Apr/18/2017 06:04,rishabh_bitsg,779C - Dishonest Sellers,Python 2,Accepted,389 ms,19200 KB,2017-04-18 06:04:00
34942316,Feb/05/2018 14:36,Paixao,779C - Dishonest Sellers,Python 3,Accepted,358 ms,23200 KB,2018-02-05 14:36:00
31879359,Oct/30/2017 04:05,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,358 ms,17600 KB,2017-10-30 04:05:00
31879391,Oct/30/2017 04:08,ipeisbouri64,779C - Dishonest Sellers,PyPy 3,Accepted,405 ms,16400 KB,2017-10-30 04:08:00
25115785,Mar/01/2017 09:06,Ishtiaq11,779C - Dishonest Sellers,Python 3,Accepted,358 ms,22200 KB,2017-03-01 09:06:00
