25730176,Mar/23/2017 13:09,s_p,780C - Andryusha and Colored Balloons,Perl,Accepted,1341 ms,113500 KB,2017-03-23 13:09:00
25289030,Mar/06/2017 14:01,Flandr.Scarlet,781A - Andryusha and Colored Balloons,Python 2,Accepted,1232 ms,41500 KB,2017-03-06 14:01:00
51332115,Mar/15/2019 15:35,ashok123,780C - Andryusha and Colored Balloons,Python 2,Accepted,1076 ms,37000 KB,2019-03-15 15:35:00
57770117,Jul/26/2019 02:47,py_ultron,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,218 ms,15700 KB,2019-07-26 02:47:00
35110422,Feb/10/2018 06:26,vjudge2,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,17700 KB,2018-02-10 06:26:00
35110463,Feb/10/2018 06:29,vjudge2,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,17700 KB,2018-02-10 06:29:00
57875236,Jul/28/2019 07:50,lopare,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,15700 KB,2019-07-28 07:50:00
27576864,Jun/05/2017 09:25,amit88265,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,655 ms,15800 KB,2017-06-05 09:25:00
26719897,Apr/28/2017 16:18,luka25,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,717 ms,17700 KB,2017-04-28 16:18:00
27068724,May/13/2017 08:23,ravi_singh123,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,904 ms,18800 KB,2017-05-13 08:23:00
52539755,Apr/09/2019 20:26,wh1te_whale,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,592 ms,15800 KB,2019-04-09 20:26:00
58190599,Aug/02/2019 22:22,darkshadow07,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,561 ms,15800 KB,2019-08-02 22:22:00
39701715,Jun/27/2018 15:43,Nodir_Bobiev,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,217 ms,18800 KB,2018-06-27 15:43:00
