51205734,Mar/12/2019 07:38,DOlaBMOon,925C - Big Secret,PyPy 3,Accepted,514 ms,29300 KB,2019-03-12 07:38:00
57715878,Jul/25/2019 05:40,xumingyang,966C - Big Secret,GNU C++11,Accepted,78 ms,1700 KB,2019-07-25 05:40:00
37785739,May/01/2018 05:23,zhangzy,966C - Big Secret,GNU C++14,Accepted,342 ms,5100 KB,2018-05-01 05:23:00
57871521,Jul/28/2019 05:12,lopare,925C - Big Secret,GNU C++11,Accepted,358 ms,1700 KB,2019-07-28 05:12:00
61867032,Oct/04/2019 19:53,pajenegod,925C - Big Secret,PyPy 2,Accepted,280 ms,21700 KB,2019-10-04 19:53:00
37745133,Apr/30/2018 12:45,erge,967E - Big Secret,GNU C++11,Accepted,171 ms,5800 KB,2018-04-30 12:45:00
38412914,May/19/2018 02:44,ONION_CYC,925C - Big Secret,GNU C++11,Accepted,93 ms,2300 KB,2018-05-19 02:44:00
41734534,Aug/18/2018 04:33,alonefight#,966C - Big Secret,GNU C++11,Accepted,421 ms,3100 KB,2018-08-18 04:33:00
37725611,Apr/29/2018 18:22,zx2003,966C - Big Secret,GNU C++11,Accepted,171 ms,6600 KB,2018-04-29 18:22:00
37744696,Apr/30/2018 12:20,Perfectxx,966C - Big Secret,GNU C++14,Accepted,358 ms,6100 KB,2018-04-30 12:20:00
37732216,Apr/29/2018 22:02,Ali_Pi,966C - Big Secret,GNU C++14,Accepted,108 ms,6600 KB,2018-04-29 22:02:00
37717302,Apr/29/2018 17:10,FtFall,966C - Big Secret,GNU C++14,Accepted,124 ms,5200 KB,2018-04-29 17:10:00
37734982,Apr/30/2018 01:34,ITer,966C - Big Secret,GNU C++11,Accepted,420 ms,6600 KB,2018-04-30 01:34:00
37718588,Apr/29/2018 17:20,kczno1,966C - Big Secret,GNU C++14,Accepted,124 ms,5700 KB,2018-04-29 17:20:00
37738888,Apr/30/2018 07:07,Fizzmy_,966C - Big Secret,GNU C++,Accepted,109 ms,6600 KB,2018-04-30 07:07:00
57715572,Jul/25/2019 05:32,xielinhan,966C - Big Secret,GNU C++11,Accepted,93 ms,7100 KB,2019-07-25 05:32:00
71514104,Feb/20/2020 22:16,ONION_CYC,925C - Big Secret,GNU C++11,Accepted,93 ms,2300 KB,2020-02-20 22:16:00
37789506,May/01/2018 09:01,nqiiii,966C - Big Secret,GNU C++14,Accepted,124 ms,5100 KB,2018-05-01 09:01:00
73871997,Mar/21/2020 12:35,CaiJiZXY,925C - Big Secret,GNU C++11,Accepted,93 ms,2300 KB,2020-03-21 12:35:00
37859739,May/03/2018 14:05,zhongzero,967E - Big Secret,GNU C++14,Accepted,171 ms,63800 KB,2018-05-03 14:05:00
60680875,Sep/16/2019 16:53,mlby,925C - Big Secret,GNU C++11,Accepted,109 ms,4700 KB,2019-09-16 16:53:00
39694246,Jun/27/2018 10:32,jokergh,967E - Big Secret,GNU C++,Accepted,124 ms,48400 KB,2018-06-27 10:32:00
59853629,Sep/01/2019 15:37,Owen_codeisking,925C - Big Secret,GNU C++11,Accepted,93 ms,2600 KB,2019-09-01 15:37:00
59850967,Sep/01/2019 14:31,Owen_codeisking#,966C - Big Secret,GNU C++14,Accepted,77 ms,2600 KB,2019-09-01 14:31:00
37727935,Apr/29/2018 18:42,hekai,966C - Big Secret,GNU C++,Accepted,109 ms,5800 KB,2018-04-29 18:42:00
37736362,Apr/30/2018 04:33,consecutivelimit,966C - Big Secret,GNU C++14,Accepted,124 ms,5600 KB,2018-04-30 04:33:00
38420220,May/19/2018 09:50,cr0n,925C - Big Secret,GNU C++14,Accepted,343 ms,3800 KB,2018-05-19 09:50:00
41460245,Aug/11/2018 11:18,DEMOPON,925C - Big Secret,GNU C++14,Accepted,358 ms,3500 KB,2018-08-11 11:18:00
44831354,Oct/25/2018 11:36,"linkfqy carry Lynstery and ZigZagK: Lynstery, ZigZagK#",966C - Big Secret,GNU C++14,Accepted,109 ms,3300 KB,2018-10-25 11:36:00
42879242,Sep/15/2018 08:16,xielinhan,966C - Big Secret,GNU C++11,Accepted,93 ms,49300 KB,2018-09-15 08:16:00
37729690,Apr/29/2018 20:18,khsoo01#,925C - Big Secret,GNU C++11,Accepted,109 ms,7600 KB,2018-04-29 20:18:00
38310909,May/16/2018 09:25,ZqlwMatt,967E - Big Secret,GNU C++14,Accepted,358 ms,53700 KB,2018-05-16 09:25:00
37725360,Apr/29/2018 18:20,Samsara_Karma,966C - Big Secret,GNU C++17,Accepted,140 ms,6600 KB,2018-04-29 18:20:00
37738034,Apr/30/2018 06:11,wcy1122,967E - Big Secret,GNU C++14,Accepted,109 ms,5800 KB,2018-04-30 06:11:00
39688372,Jun/27/2018 04:20,ZhongJQ#,966C - Big Secret,GNU C++,Accepted,124 ms,1800 KB,2018-06-27 04:20:00
38950662,Jun/04/2018 19:39,oToToT,967E - Big Secret,GNU C++14,Accepted,109 ms,6800 KB,2018-06-04 19:39:00
37738111,Apr/30/2018 06:16,xy961218,967E - Big Secret,GNU C++14,Accepted,124 ms,6800 KB,2018-04-30 06:16:00
37815646,May/01/2018 18:26,DraZxlNDdt,966C - Big Secret,GNU C++11,Accepted,108 ms,5100 KB,2018-05-01 18:26:00
61348863,Sep/27/2019 09:54,ZUTTER_,966C - Big Secret,GNU C++11,Accepted,389 ms,3200 KB,2019-09-27 09:54:00
37830680,May/02/2018 07:35,chenyanbo,966C - Big Secret,GNU C++14,Accepted,374 ms,7400 KB,2018-05-02 07:35:00
37727640,Apr/29/2018 18:40,bleacher,967E - Big Secret,GNU C++11,Accepted,124 ms,5800 KB,2018-04-29 18:40:00
37720277,Apr/29/2018 17:34,chenyanbo,966C - Big Secret,GNU C++14,Accepted,358 ms,7400 KB,2018-04-29 17:34:00
37852672,May/03/2018 06:32,170104100115,967E - Big Secret,GNU C++,Accepted,108 ms,5900 KB,2018-05-03 06:32:00
37732301,Apr/29/2018 22:07,xsc,967E - Big Secret,GNU C++14,Accepted,124 ms,5800 KB,2018-04-29 22:07:00
53126751,Apr/22/2019 17:26,3015218054,966C - Big Secret,GNU C++14,Accepted,93 ms,2500 KB,2019-04-22 17:26:00
37728001,Apr/29/2018 18:42,Gold_Three_Fat,967E - Big Secret,GNU C++14,Accepted,156 ms,8700 KB,2018-04-29 18:42:00
37727781,Apr/29/2018 18:41,xymtxdy,966C - Big Secret,GNU C++,Accepted,108 ms,6600 KB,2018-04-29 18:41:00
38310946,May/16/2018 09:26,ZqlwMatt,967E - Big Secret,GNU C++14,Accepted,358 ms,150700 KB,2018-05-16 09:26:00
37851000,May/03/2018 03:30,poorpool,967E - Big Secret,GNU C++11,Accepted,109 ms,5100 KB,2018-05-03 03:30:00
37742398,Apr/30/2018 10:23,Elegia,966C - Big Secret,GNU C++14,Accepted,109 ms,5100 KB,2018-04-30 10:23:00
37795381,May/01/2018 13:37,Timsei,966C - Big Secret,GNU C++14,Accepted,139 ms,21700 KB,2018-05-01 13:37:00
49887862,Feb/14/2019 02:57,mohammedehab2002,967E - Big Secret,GNU C++14,Accepted,108 ms,3200 KB,2019-02-14 02:57:00
49197173,Jan/30/2019 13:59,Madeline,966C - Big Secret,GNU C++11,Accepted,156 ms,3400 KB,2019-01-30 13:59:00
37851159,May/03/2018 03:51,Treeloveswater,967E - Big Secret,GNU C++,Accepted,109 ms,5900 KB,2018-05-03 03:51:00
39689773,Jun/27/2018 06:13,SXnoname,967E - Big Secret,GNU C++,Accepted,109 ms,3100 KB,2018-06-27 06:13:00
37721225,Apr/29/2018 17:42,smallling,966C - Big Secret,GNU C++,Accepted,108 ms,54300 KB,2018-04-29 17:42:00
37810756,May/01/2018 17:51,Marco_L_T,925C - Big Secret,GNU C++14,Accepted,109 ms,53400 KB,2018-05-01 17:51:00
37720138,Apr/29/2018 17:33,cxt,966C - Big Secret,GNU C++14,Accepted,124 ms,5100 KB,2018-04-29 17:33:00
37722664,Apr/29/2018 17:54,arjunkohli,967E - Big Secret,GNU C++14,Accepted,171 ms,5800 KB,2018-04-29 17:54:00
37730180,Apr/29/2018 20:48,smtcoder,966C - Big Secret,GNU C++14,Accepted,140 ms,5800 KB,2018-04-29 20:48:00
46230515,Nov/25/2018 23:30,smtcoder,967E - Big Secret,GNU C++14,Accepted,124 ms,2500 KB,2018-11-25 23:30:00
37744423,Apr/30/2018 12:05,zhuaiballl,966C - Big Secret,GNU C++14,Accepted,124 ms,5800 KB,2018-04-30 12:05:00
37749199,Apr/30/2018 16:32,Artistic_Fantasy,966C - Big Secret,GNU C++17,Accepted,124 ms,6800 KB,2018-04-30 16:32:00
59850036,Sep/01/2019 14:06,ljc1301#,966C - Big Secret,GNU C++14,Accepted,109 ms,47800 KB,2019-09-01 14:06:00
59853666,Sep/01/2019 15:38,luogu_bot3,925C - Big Secret,GNU C++11,Accepted,93 ms,47800 KB,2019-09-01 15:38:00
37737775,Apr/30/2018 05:58,wxh010910,966C - Big Secret,GNU C++11,Accepted,108 ms,5800 KB,2018-04-30 05:58:00
37797052,May/01/2018 14:40,yfzcsc,925C - Big Secret,GNU C++11,Accepted,108 ms,5800 KB,2018-05-01 14:40:00
63106753,Oct/22/2019 08:15,lenaAlyth,925C - Big Secret,GNU C++11,Accepted,374 ms,9800 KB,2019-10-22 08:15:00
39688677,Jun/27/2018 04:47,DeadPillow,966C - Big Secret,GNU C++11,Accepted,109 ms,3100 KB,2018-06-27 04:47:00
37783900,May/01/2018 02:37,tamionv,925C - Big Secret,GNU C++17,Accepted,390 ms,6800 KB,2018-05-01 02:37:00
41885270,Aug/20/2018 06:14,tanghao,925C - Big Secret,PyPy 2,Accepted,919 ms,19700 KB,2018-08-20 06:14:00
37742536,Apr/30/2018 10:31,NaVi_Awson,925C - Big Secret,GNU C++,Accepted,109 ms,5100 KB,2018-04-30 10:31:00
38980238,Jun/06/2018 01:59,Daniar#,967E - Big Secret,GNU C++14,Accepted,124 ms,3400 KB,2018-06-06 01:59:00
78964784,May/04/2020 15:07,Pety,925C - Big Secret,GNU C++14,Accepted,311 ms,4300 KB,2020-05-04 15:07:00
37724354,Apr/29/2018 18:11,xpchf,966C - Big Secret,GNU C++,Accepted,124 ms,5800 KB,2018-04-29 18:11:00
38933304,Jun/04/2018 06:04,20050901,925C - Big Secret,GNU C++,Accepted,405 ms,5800 KB,2018-06-04 06:04:00
37725766,Apr/29/2018 18:24,robinliu,966C - Big Secret,GNU C++,Accepted,436 ms,5800 KB,2018-04-29 18:24:00
37831303,May/02/2018 08:15,Democy,925C - Big Secret,GNU C++,Accepted,109 ms,8500 KB,2018-05-02 08:15:00
38934353,Jun/04/2018 07:45,20050901,925C - Big Secret,GNU C++,Accepted,405 ms,5800 KB,2018-06-04 07:45:00
37733072,Apr/29/2018 22:53,kotatsugame,966C - Big Secret,GNU C++14,Accepted,109 ms,6900 KB,2018-04-29 22:53:00
77457987,Apr/21/2020 14:04,kzvd4729,966C - Big Secret,GNU C++14,Accepted,93 ms,3500 KB,2020-04-21 14:04:00
44960699,Oct/27/2018 19:19,minson123,925C - Big Secret,GNU C++14,Accepted,109 ms,3300 KB,2018-10-27 19:19:00
37716531,Apr/29/2018 17:05,fateice,966C - Big Secret,GNU C++14,Accepted,124 ms,7600 KB,2018-04-29 17:05:00
46529597,Dec/03/2018 06:35,CQUzbx,967E - Big Secret,GNU C++11,Accepted,109 ms,2400 KB,2018-12-03 06:35:00
38589462,May/24/2018 17:25,guille#,966C - Big Secret,GNU C++,Accepted,187 ms,3300 KB,2018-05-24 17:25:00
38553988,May/23/2018 10:17,"Melon Farm: Sinogi, Amphetamine#",966C - Big Secret,GNU C++11,Accepted,124 ms,6200 KB,2018-05-23 10:17:00
37721957,Apr/29/2018 17:48,Billyshuai,967E - Big Secret,GNU C++14,Accepted,140 ms,5800 KB,2018-04-29 17:48:00
37884014,May/04/2018 16:24,beginend#,966C - Big Secret,GNU C++,Accepted,93 ms,55100 KB,2018-05-04 16:24:00
37995110,May/07/2018 15:38,fengsuiyan,966C - Big Secret,GNU C++17,Accepted,373 ms,6600 KB,2018-05-07 15:38:00
50079387,Feb/18/2019 05:21,cyhzz,925C - Big Secret,GNU C++11,Accepted,93 ms,2700 KB,2019-02-18 05:21:00
64742474,Nov/12/2019 15:25,Az hamin jom-e: Arpa#,966C - Big Secret,GNU C++17,Accepted,109 ms,3700 KB,2019-11-12 15:25:00
74671892,Mar/28/2020 22:29,Yuki726,925C - Big Secret,GNU C++14,Accepted,312 ms,4800 KB,2020-03-28 22:29:00
57988899,Jul/30/2019 15:27,mmmod_lqs,966C - Big Secret,GNU C++11,Accepted,78 ms,2400 KB,2019-07-30 15:27:00
37838870,May/02/2018 14:59,mengbier233,967E - Big Secret,GNU C++,Accepted,421 ms,5900 KB,2018-05-02 14:59:00
37722871,Apr/29/2018 17:56,Alpha_Q,966C - Big Secret,GNU C++11,Accepted,187 ms,8100 KB,2018-04-29 17:56:00
37718444,Apr/29/2018 17:19,Subconscious,966C - Big Secret,GNU C++14,Accepted,109 ms,5800 KB,2018-04-29 17:19:00
37721800,Apr/29/2018 17:47,Tommyr7,966C - Big Secret,GNU C++11,Accepted,140 ms,12000 KB,2018-04-29 17:47:00
37738758,Apr/30/2018 06:57,vjudge5,966C - Big Secret,GNU C++11,Accepted,140 ms,7400 KB,2018-04-30 06:57:00
49176499,Jan/29/2019 23:59,SunGlasses,967E - Big Secret,GNU C++17,Accepted,109 ms,3500 KB,2019-01-29 23:59:00
39695136,Jun/27/2018 11:07,wubingxian,966C - Big Secret,GNU C++,Accepted,436 ms,50900 KB,2018-06-27 11:07:00
37789255,May/01/2018 08:49,---------,966C - Big Secret,GNU C++14,Accepted,109 ms,6600 KB,2018-05-01 08:49:00
37736505,Apr/30/2018 04:41,zjo_2001,966C - Big Secret,GNU C++,Accepted,93 ms,23000 KB,2018-04-30 04:41:00
37716460,Apr/29/2018 17:04,_h_,966C - Big Secret,GNU C++17,Accepted,358 ms,6800 KB,2018-04-29 17:04:00
37738569,Apr/30/2018 06:45,dsyhy,966C - Big Secret,GNU C++11,Accepted,109 ms,5500 KB,2018-04-30 06:45:00
