540238,Jul/10/2011 06:05,Rotsor,95A - Hockey,Haskell,Accepted,200 ms,4100 KB,2011-07-10 06:05:00
32158771,Nov/09/2017 16:18,yugle7,95A - Hockey,PyPy 3,Accepted,218 ms,300 KB,2017-11-09 16:18:00
552228,Jul/20/2011 15:00,jemiam,96C - Hockey,Ruby,Accepted,590 ms,3600 KB,2011-07-20 15:00:00
56017335,Jun/25/2019 01:33,sorry_im_smurfing,96C - Hockey,Ruby,Accepted,560 ms,200 KB,2019-06-25 01:33:00
540700,Jul/10/2011 15:01,urutom,96C - Hockey,Ruby,Accepted,90 ms,3600 KB,2011-07-10 15:01:00
4905758,Oct/26/2013 20:03,yangff,95A - Hockey,Python 2,Accepted,92 ms,0 KB,2013-10-26 20:03:00
35666922,Feb/25/2018 06:20,0w1,95A - Hockey,Ruby,Accepted,154 ms,8000 KB,2018-02-25 06:20:00
534012,Jul/08/2011 19:43,ziliang,96C - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-07-08 19:43:00
538373,Jul/09/2011 04:52,ziliang,95A - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-07-09 04:52:00
538566,Jul/09/2011 07:18,fanatid,95A - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-07-09 07:18:00
538569,Jul/09/2011 07:20,fanatid,96C - Hockey,Python 2,Accepted,90 ms,2800 KB,2011-07-09 07:20:00
7099609,Jul/14/2014 14:49,ItsLastDay,96C - Hockey,Python 3,Accepted,154 ms,0 KB,2014-07-14 14:49:00
20324437,Sep/01/2016 17:40,AymanGamal,95A - Hockey,GNU C++,Accepted,62 ms,0 KB,2016-09-01 17:40:00
57904842,Jul/28/2019 20:11,lopare,95A - Hockey,GNU C++11,Accepted,92 ms,0 KB,2019-07-28 20:11:00
59852067,Sep/01/2019 14:57,Carl___P,95A - Hockey,GNU C++17,Accepted,62 ms,0 KB,2019-09-01 14:57:00
23569615,Jan/06/2017 03:24,nologic,95A - Hockey,GNU C++14,Accepted,30 ms,1900 KB,2017-01-06 03:24:00
17126246,Apr/02/2016 11:22,vjudge5,95A - Hockey,GNU C++,Accepted,30 ms,2000 KB,2016-04-02 11:22:00
