1897492,Jul/13/2012 16:23,SamanSami,10D - LCIS,Ruby,Accepted,280 ms,5600 KB,2012-07-13 16:23:00
35829667,Mar/02/2018 11:44,______M______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 11:44:00
35830880,Mar/02/2018 12:31,______i______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 12:31:00
35830905,Mar/02/2018 12:31,______k______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 12:31:00
35830937,Mar/02/2018 12:32,______h______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 12:32:00
35836928,Mar/02/2018 16:04,_____k_____,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 16:04:00
35836941,Mar/02/2018 16:04,_____i_____,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 16:04:00
35836943,Mar/02/2018 16:04,______u______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 16:04:00
35836950,Mar/02/2018 16:04,______n______,10D - LCIS,Ruby,Accepted,140 ms,6300 KB,2018-03-02 16:04:00
4163397,Jul/25/2013 15:24,E478,10D - LCIS,Python 2,Accepted,171 ms,0 KB,2013-07-25 15:24:00
2791215,Dec/18/2012 18:41,ghafi007,10D - LCIS,Ruby,Accepted,156 ms,100 KB,2012-12-18 18:41:00
56014510,Jun/24/2019 23:08,sorry_im_smurfing,10D - LCIS,Ruby,Accepted,108 ms,100 KB,2019-06-24 23:08:00
54748716,May/28/2019 14:50,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-05-28 14:50:00
57914416,Jul/29/2019 02:48,lopare,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-07-29 02:48:00
75238146,Apr/02/2020 15:34,kopistr,10D - LCIS,GNU C++11,Accepted,31 ms,1300 KB,2020-04-02 15:34:00
54244615,May/16/2019 17:21,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-05-16 17:21:00
68302020,Jan/06/2020 10:08,nabid_anzum,10D - LCIS,GNU C++14,Accepted,30 ms,100 KB,2020-01-06 10:08:00
56451533,Jul/03/2019 02:05,Kubic,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-03 02:05:00
56250976,Jun/29/2019 06:06,wyt-ycyz2019,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-06-29 06:06:00
41290165,Aug/07/2018 05:09,luogu_bot2,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-08-07 05:09:00
59395913,Aug/24/2019 13:18,lxrtxdy,10D - LCIS,GNU C++11,Accepted,31 ms,7800 KB,2019-08-24 13:18:00
59395914,Aug/24/2019 13:18,zrmpaul,10D - LCIS,GNU C++11,Accepted,31 ms,7800 KB,2019-08-24 13:18:00
36749034,Mar/30/2018 17:04,luogu_bot4,10D - LCIS,GNU C++,Accepted,31 ms,3300 KB,2018-03-30 17:04:00
1421331,Mar/27/2012 07:07,xiaotao,10D - LCIS,GNU C++,Accepted,30 ms,1400 KB,2012-03-27 07:07:00
34823414,Feb/02/2018 04:32,Loner_Knowledge,10D - LCIS,GNU C++11,Accepted,15 ms,1800 KB,2018-02-02 04:32:00
66269445,Dec/04/2019 14:45,luyuchen,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-12-04 14:45:00
47332119,Dec/21/2018 16:24,hardikdua,10D - LCIS,GNU C++14,Accepted,31 ms,0 KB,2018-12-21 16:24:00
71483054,Feb/20/2020 12:08,ak_taniya124,10D - LCIS,GNU C++14,Accepted,31 ms,300 KB,2020-02-20 12:08:00
41965784,Aug/22/2018 15:14,hejiayang,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-08-22 15:14:00
61948557,Oct/06/2019 04:57,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-10-06 04:57:00
61190347,Sep/24/2019 05:18,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-09-24 05:18:00
58425274,Aug/07/2019 12:25,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-08-07 12:25:00
60166131,Sep/06/2019 14:01,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-09-06 14:01:00
34920738,Feb/04/2018 14:00,luogu_bot5,10D - LCIS,GNU C++,Accepted,31 ms,1800 KB,2018-02-04 14:00:00
34920762,Feb/04/2018 14:01,luogu_bot1,10D - LCIS,GNU C++,Accepted,31 ms,1800 KB,2018-02-04 14:01:00
43979641,Oct/08/2018 04:27,hejiayang,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-08 04:27:00
47488861,Dec/25/2018 13:48,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,15700 KB,2018-12-25 13:48:00
57882844,Jul/28/2019 11:34,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 11:34:00
55267894,Jun/07/2019 18:03,SharpnessV,10D - LCIS,GNU C++11,Accepted,46 ms,7800 KB,2019-06-07 18:03:00
56965342,Jul/13/2019 11:09,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-13 11:09:00
56251031,Jun/29/2019 06:08,wyt-ycyz2019,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-06-29 06:08:00
64201855,Nov/04/2019 14:42,ddytxdy,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-11-04 14:42:00
65581752,Nov/23/2019 14:14,monk_z,10D - LCIS,GNU C++14,Accepted,31 ms,7800 KB,2019-11-23 14:14:00
23494604,Jan/02/2017 10:26,tuanalt,10D - LCIS,GNU C++11,Accepted,30 ms,2100 KB,2017-01-02 10:26:00
41965731,Aug/22/2018 15:12,hejiayang,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-08-22 15:12:00
34912425,Feb/04/2018 05:22,suki_cz,10D - LCIS,GNU C++,Accepted,15 ms,2000 KB,2018-02-04 05:22:00
39789473,Jun/30/2018 09:27,daifucong,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-06-30 09:27:00
41965823,Aug/22/2018 15:15,hejiayang,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-08-22 15:15:00
58241544,Aug/04/2019 04:40,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-08-04 04:40:00
52494204,Apr/08/2019 15:59,cschenshuo,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-04-08 15:59:00
62254561,Oct/10/2019 13:24,wssstc,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-10-10 13:24:00
62682513,Oct/16/2019 16:14,pranto1209,10D - LCIS,GNU C++17,Accepted,31 ms,0 KB,2019-10-16 16:14:00
40706499,Jul/24/2018 16:33,luogu_bot1,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-07-24 16:33:00
56639523,Jul/07/2019 02:31,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-07 02:31:00
31681608,Oct/24/2017 15:45,230575,10D - LCIS,GNU C++14,Accepted,15 ms,1900 KB,2017-10-24 15:45:00
42723269,Sep/10/2018 07:41,wky32768,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-10 07:41:00
39789497,Jun/30/2018 09:28,daifucong,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-06-30 09:28:00
41965873,Aug/22/2018 15:17,hejiayang,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-08-22 15:17:00
63625972,Oct/28/2019 06:44,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-10-28 06:44:00
57886514,Jul/28/2019 13:11,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 13:11:00
35000088,Feb/07/2018 16:39,shiyanrui,10D - LCIS,GNU C++14,Accepted,15 ms,1800 KB,2018-02-07 16:39:00
34999882,Feb/07/2018 16:32,shiyanrui,10D - LCIS,GNU C++14,Accepted,15 ms,1800 KB,2018-02-07 16:32:00
55267809,Jun/07/2019 17:56,SharpnessV,10D - LCIS,GNU C++11,Accepted,31 ms,7800 KB,2019-06-07 17:56:00
44321930,Oct/14/2018 17:29,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-14 17:29:00
64054267,Nov/02/2019 03:10,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-11-02 03:10:00
2637338,Nov/24/2012 15:53,hariprasath,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2012-11-24 15:53:00
9439486,Jan/16/2015 02:47,Mintoo,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2015-01-16 02:47:00
10458525,Mar/26/2015 18:07,stescobedo,10D - LCIS,GNU C++,Accepted,60 ms,0 KB,2015-03-26 18:07:00
43596167,Sep/30/2018 10:15,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2018-09-30 10:15:00
40060692,Jul/07/2018 15:20,luogu_bot5,10D - LCIS,GNU C++,Accepted,31 ms,7800 KB,2018-07-07 15:20:00
