20621132,Sep/14/2016 18:49,Yash_,118D - Caesar's Legions,PyPy 3,Accepted,1402 ms,21500 KB,2016-09-14 18:49:00
35829885,Mar/02/2018 11:54,______M______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 11:54:00
35831236,Mar/02/2018 12:41,______i______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 12:41:00
35831263,Mar/02/2018 12:41,______k______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 12:41:00
35831296,Mar/02/2018 12:42,______h______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 12:42:00
35837470,Mar/02/2018 16:15,_____k_____,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 16:15:00
35837479,Mar/02/2018 16:15,_____i_____,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 16:15:00
35837493,Mar/02/2018 16:15,______u______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 16:15:00
35837496,Mar/02/2018 16:15,______n______,118D - Caesar's Legions,PyPy 3,Accepted,840 ms,45200 KB,2018-03-02 16:15:00
4779571,Oct/14/2013 00:48,Unlenin,118D - Caesar's Legions,Python 2,Accepted,780 ms,13600 KB,2013-10-14 00:48:00
10644140,Apr/10/2015 00:36,See_what_I_Become_soon,118D - Caesar's Legions,Python 2,Accepted,780 ms,13600 KB,2015-04-10 00:36:00
56017904,Jun/25/2019 02:16,sorry_im_smurfing,118D - Caesar's Legions,PyPy 3,Accepted,748 ms,26800 KB,2019-06-25 02:16:00
61704653,Oct/02/2019 12:38,amigunova,118D - Caesar's Legions,Python 3,Accepted,840 ms,15300 KB,2019-10-02 12:38:00
78796839,May/02/2020 11:16,nocreative1,118D - Caesar's Legions,Python 3,Accepted,748 ms,14000 KB,2020-05-02 11:16:00
58925621,Aug/16/2019 22:20,abhirock753,118D - Caesar's Legions,Python 2,Accepted,934 ms,13700 KB,2019-08-16 22:20:00
2730847,Dec/08/2012 20:53,daidailanlan,118D - Caesar's Legions,Python 2,Accepted,843 ms,13500 KB,2012-12-08 20:53:00
35809137,Mar/01/2018 13:59,pavankatta,118D - Caesar's Legions,PyPy 2,Accepted,592 ms,43400 KB,2018-03-01 13:59:00
14769283,Dec/12/2015 09:01,ving.xia,118D - Caesar's Legions,Python 3,Accepted,904 ms,14800 KB,2015-12-12 09:01:00
1898415,Jul/13/2012 22:38,bryn,118D - Caesar's Legions,Python 2,Accepted,630 ms,16400 KB,2012-07-13 22:38:00
6190833,Mar/30/2014 16:55,vjudge4,118D - Caesar's Legions,Python 2,Accepted,934 ms,13600 KB,2014-03-30 16:55:00
1131277,Feb/01/2012 21:52,lastland,118D - Caesar's Legions,Python 2,Accepted,560 ms,18800 KB,2012-02-01 21:52:00
