2098742,Sep/06/2012 07:23,xlk,22D - Segments,Ruby,Accepted,110 ms,5100 KB,2012-09-06 07:23:00
56014771,Jun/24/2019 23:19,sorry_im_smurfing,22D - Segments,Ruby,Accepted,62 ms,0 KB,2019-06-24 23:19:00
35838817,Mar/02/2018 16:41,______M______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 16:41:00
35841504,Mar/02/2018 17:37,______i______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 17:37:00
35841771,Mar/02/2018 17:42,______k______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 17:42:00
35841892,Mar/02/2018 17:43,______h______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 17:43:00
35848549,Mar/02/2018 20:01,_____k_____,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 20:01:00
35848601,Mar/02/2018 20:01,_____i_____,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 20:01:00
35848885,Mar/02/2018 20:06,______n______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 20:06:00
35849017,Mar/02/2018 20:07,______u______,22D - Segments,Ruby,Accepted,78 ms,6300 KB,2018-03-02 20:07:00
97158,Dec/15/2010 16:10,watashi,22D - Segments,Ruby,Accepted,90 ms,3000 KB,2010-12-15 16:10:00
11779161,Jun/27/2015 05:47,tmxk,22D - Segments,Python 2,Accepted,61 ms,100 KB,2015-06-27 05:47:00
2542452,Nov/12/2012 10:24,nealzane,22D - Segments,Python 2,Accepted,78 ms,300 KB,2012-11-12 10:24:00
1378823,Mar/19/2012 12:54,SamanSami,22D - Segments,Python 2,Accepted,60 ms,2900 KB,2012-03-19 12:54:00
74792082,Mar/30/2020 09:42,Vasiliy_48,22D - Segments,Python 3,Accepted,109 ms,300 KB,2020-03-30 09:42:00
2475912,Nov/01/2012 03:43,Lebesgue,22D - Segments,Python 2,Accepted,78 ms,0 KB,2012-11-01 03:43:00
64797025,Nov/13/2019 16:15,MinecraftFuns,22D - Segments,Python 3,Accepted,124 ms,400 KB,2019-11-13 16:15:00
287154,Feb/18/2011 15:10,Aleksey,22D - Segments,Python 2,Accepted,90 ms,3100 KB,2011-02-18 15:10:00
94079,Jun/29/2010 19:30,* rem,22D - Segments,Python 2,Accepted,60 ms,2700 KB,2010-06-29 19:30:00
54340737,May/18/2019 13:12,tushartyagi8750,22D - Segments,Python 3,Accepted,109 ms,400 KB,2019-05-18 13:12:00
55737551,Jun/19/2019 08:25,kapilkatrodiya79,22D - Segments,Python 3,Accepted,109 ms,400 KB,2019-06-19 08:25:00
64067213,Nov/02/2019 09:13,dingdingsb,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-11-02 09:13:00
67003250,Dec/16/2019 09:47,Soren_15,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2019-12-16 09:47:00
554235,Jul/22/2011 10:33,compales2,22D - Segments,Python 2,Accepted,140 ms,2900 KB,2011-07-22 10:33:00
36799918,Apr/01/2018 16:38,luogu_bot2,22D - Segments,GNU C++,Accepted,31 ms,3500 KB,2018-04-01 16:38:00
37915223,May/06/2018 00:56,Qumeric,22D - Segments,GNU C++17,Accepted,30 ms,3300 KB,2018-05-06 00:56:00
51082566,Mar/09/2019 14:54,luogu_bot5,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-03-09 14:54:00
57908383,Jul/28/2019 21:41,lopare,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 21:41:00
60909655,Sep/20/2019 08:09,___U___,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-09-20 08:09:00
14217268,Nov/12/2015 20:10,xskhirtladze,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-11-12 20:10:00
54495245,May/22/2019 20:24,WOSHIGEPACHONG2,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-05-22 20:24:00
26161619,Apr/06/2017 06:26,move_on,22D - Segments,GNU C++11,Accepted,15 ms,6000 KB,2017-04-06 06:26:00
25871510,Mar/28/2017 14:13,Meowl,22D - Segments,GNU C++11,Accepted,15 ms,6000 KB,2017-03-28 14:13:00
78965113,May/04/2020 15:11,luogu_bot5,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-05-04 15:11:00
79022301,May/05/2020 08:09,shimao,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-05-05 08:09:00
2874052,Jan/04/2013 21:52,SlavaSSU,22D - Segments,MS C++,Accepted,15 ms,0 KB,2013-01-04 21:52:00
655511,Sep/02/2011 10:26,Archon.JK,22D - Segments,GNU C++0x,Accepted,30 ms,1300 KB,2011-09-02 10:26:00
2866862,Jan/02/2013 19:07,SlavaSSU,22D - Segments,MS C++,Accepted,15 ms,0 KB,2013-01-02 19:07:00
14568988,Nov/30/2015 14:07,baqargam,22D - Segments,GNU C++11,Accepted,30 ms,500 KB,2015-11-30 14:07:00
25871524,Mar/28/2017 14:13,toster1287,22D - Segments,GNU C++11,Accepted,15 ms,6000 KB,2017-03-28 14:13:00
39885368,Jul/03/2018 09:43,Jake_sep,22D - Segments,GNU C++14,Accepted,31 ms,300 KB,2018-07-03 09:43:00
94406,Jun/29/2010 19:54,muntasir,22D - Segments,Python 2,Accepted,60 ms,2700 KB,2010-06-29 19:54:00
883995,Nov/21/2011 13:47,o_logn,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-11-21 13:47:00
8520186,Nov/02/2014 09:18,Tzn-40,22D - Segments,GNU C++,Accepted,62 ms,0 KB,2014-11-02 09:18:00
12534518,Aug/14/2015 20:57,vjudge2,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-08-14 20:57:00
97023,Oct/25/2010 23:23,Shady,22D - Segments,GNU C++,Accepted,50 ms,1300 KB,2010-10-25 23:23:00
2874045,Jan/04/2013 21:49,SlavaSSU,22D - Segments,MS C++,Accepted,15 ms,0 KB,2013-01-04 21:49:00
94792,Jun/29/2010 20:18,insane,22D - Segments,Python 2,Accepted,60 ms,2700 KB,2010-06-29 20:18:00
71825920,Feb/25/2020 01:24,TarekHelwani,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2020-02-25 01:24:00
58532909,Aug/10/2019 13:27,monk_z,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2019-08-10 13:27:00
33150684,Dec/12/2017 12:59,I_love_chickpea,22D - Segments,GNU C++14,Accepted,15 ms,1900 KB,2017-12-12 12:59:00
96559,Jul/18/2010 22:24,Ra16bit,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2010-07-18 22:24:00
296113,Feb/22/2011 12:08,Shik,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-02-22 12:08:00
64607084,Nov/10/2019 00:25,marian013,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2019-11-10 00:25:00
65668243,Nov/24/2019 17:48,vjudge1,22D - Segments,Clang++17 Diagnostics,Accepted,62 ms,0 KB,2019-11-24 17:48:00
275722,Feb/05/2011 19:01,slycelote,22D - Segments,Haskell,Accepted,60 ms,2600 KB,2011-02-05 19:01:00
75447720,Apr/04/2020 05:07,luogu_bot4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-04-04 05:07:00
29153479,Aug/03/2017 14:05,analog123,22D - Segments,GNU C++14,Accepted,15 ms,1900 KB,2017-08-03 14:05:00
12561356,Aug/16/2015 16:20,andreas.chelsau,22D - Segments,MS C++,Accepted,15 ms,0 KB,2015-08-16 16:20:00
22463173,Nov/24/2016 12:58,_ShadowSong,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2016-11-24 12:58:00
79757657,May/11/2020 17:59,born_again2,22D - Segments,GNU C++17,Accepted,31 ms,3600 KB,2020-05-11 17:59:00
9781112,Feb/09/2015 18:01,PAP,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-02-09 18:01:00
45084503,Oct/30/2018 09:20,luogu_bot4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2018-10-30 09:20:00
45084544,Oct/30/2018 09:22,Juanzhang,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2018-10-30 09:22:00
96768,Aug/05/2010 16:04,pius_88,22D - Segments,GNU C++,Accepted,50 ms,1300 KB,2010-08-05 16:04:00
12534591,Aug/14/2015 21:03,vjudge3,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-08-14 21:03:00
17832816,May/10/2016 17:09,MLine,22D - Segments,GNU C++,Accepted,31 ms,2000 KB,2016-05-10 17:09:00
75227185,Apr/02/2020 13:37,vaibhavnandan,22D - Segments,GNU C++17,Accepted,46 ms,0 KB,2020-04-02 13:37:00
588080,Aug/06/2011 16:54,tmt514,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-08-06 16:54:00
798137,Oct/27/2011 10:47,aminabedi,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-10-27 10:47:00
74699100,Mar/29/2020 09:27,luogu_bot4,22D - Segments,GNU C++11,Accepted,31 ms,1400 KB,2020-03-29 09:27:00
79049423,May/05/2020 14:07,Erystil,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-05-05 14:07:00
11585631,Jun/14/2015 21:04,poikniok,22D - Segments,Python 3,Accepted,62 ms,300 KB,2015-06-14 21:04:00
79757762,May/11/2020 18:00,ojtrans1,22D - Segments,GNU C++11,Accepted,31 ms,3800 KB,2020-05-11 18:00:00
12577193,Aug/17/2015 18:26,Behrad_Mazaheri,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2015-08-17 18:26:00
40473335,Jul/17/2018 13:36,History#,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2018-07-17 13:36:00
64844969,Nov/13/2019 20:18,stefzah,22D - Segments,GNU C++11,Accepted,31 ms,100 KB,2019-11-13 20:18:00
12577209,Aug/17/2015 18:28,vjudge4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2015-08-17 18:28:00
60439015,Sep/12/2019 14:46,ojtrans2,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-09-12 14:46:00
33848449,Jan/01/2018 16:56,rawatds,22D - Segments,GNU C++14,Accepted,15 ms,1900 KB,2018-01-01 16:56:00
686336,Sep/09/2011 19:00,Amr_Mesbah,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-09-09 19:00:00
65667157,Nov/24/2019 17:24,vjudge5,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-11-24 17:24:00
65667253,Nov/24/2019 17:26,vjudge4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-11-24 17:26:00
96743,Aug/02/2010 15:00,gote,22D - Segments,GNU C++,Accepted,50 ms,1300 KB,2010-08-02 15:00:00
367742,Mar/31/2011 05:25,dreamoon_love_AA,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-03-31 05:25:00
554072,Jul/22/2011 10:11,vjudge3,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-07-22 10:11:00
97057,Nov/04/2010 09:05,era_kaz_93,22D - Segments,GNU C++,Accepted,50 ms,1300 KB,2010-11-04 09:05:00
56460568,Jul/03/2019 09:36,vjudge4,22D - Segments,GNU C++17,Accepted,31 ms,100 KB,2019-07-03 09:36:00
75837348,Apr/08/2020 16:15,Daniel_lele#,22D - Segments,GNU C++11,Accepted,30 ms,0 KB,2020-04-08 16:15:00
13871364,Oct/26/2015 14:59,vanogam,22D - Segments,GNU C++11,Accepted,15 ms,0 KB,2015-10-26 14:59:00
38671574,May/27/2018 19:34,Rxcso,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2018-05-27 19:34:00
75339249,Apr/03/2020 14:44,vjudge4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2020-04-03 14:44:00
275055,Feb/04/2011 17:51,kasra,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-02-04 17:51:00
12571403,Aug/17/2015 10:16,Altria-PenDragon,22D - Segments,GNU C++,Accepted,30 ms,0 KB,2015-08-17 10:16:00
65666630,Nov/24/2019 17:11,vjudge4,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-11-24 17:11:00
817345,Oct/29/2011 19:58,vjudge5,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-10-29 19:58:00
18756965,Jun/27/2016 21:55,TMC,22D - Segments,GNU C++11,Accepted,15 ms,0 KB,2016-06-27 21:55:00
13871754,Oct/26/2015 15:24,ioane_kapanadze,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-10-26 15:24:00
17310550,Apr/14/2016 09:21,apoorv_kulsh,22D - Segments,GNU C++11,Accepted,15 ms,0 KB,2016-04-14 09:21:00
80279357,May/16/2020 08:04,luogu_bot4,22D - Segments,GNU C++11,Accepted,31 ms,4000 KB,2020-05-16 08:04:00
23004302,Dec/15/2016 14:22,AshishYadav,22D - Segments,GNU C++14,Accepted,15 ms,0 KB,2016-12-15 14:22:00
65584963,Nov/23/2019 15:08,vjudge3,22D - Segments,GNU C++11,Accepted,31 ms,100 KB,2019-11-23 15:08:00
80078731,May/14/2020 17:28,Tom66,22D - Segments,GNU C++11,Accepted,31 ms,3900 KB,2020-05-14 17:28:00
40547993,Jul/19/2018 15:48,_nthoang_,22D - Segments,GNU C++17,Accepted,30 ms,0 KB,2018-07-19 15:48:00
95667,Jun/30/2010 09:43,RosyIsh,22D - Segments,GNU C++,Accepted,50 ms,1400 KB,2010-06-30 09:43:00
96875,Sep/07/2010 23:29,guille,22D - Segments,GNU C++,Accepted,50 ms,1300 KB,2010-09-07 23:29:00
15614658,Jan/27/2016 18:43,exp,22D - Segments,GNU C++11,Accepted,15 ms,0 KB,2016-01-27 18:43:00
14537651,Nov/28/2015 11:55,AminAnvari,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-11-28 11:55:00
96127,Jul/03/2010 09:30,danielfleischman,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2010-07-03 09:30:00
27966913,Jun/22/2017 17:02,alepic,22D - Segments,GNU C++11,Accepted,15 ms,2100 KB,2017-06-22 17:02:00
76222267,Apr/11/2020 03:34,tower_rush,22D - Segments,GNU C++11,Accepted,31 ms,200 KB,2020-04-11 03:34:00
77433941,Apr/21/2020 08:56,vjudge5,22D - Segments,GNU C++17 (64),Accepted,31 ms,0 KB,2020-04-21 08:56:00
78545124,Apr/30/2020 10:50,tamajitbuba,22D - Segments,GNU C++14,Accepted,31 ms,200 KB,2020-04-30 10:50:00
3321665,Mar/15/2013 18:50,aiiYuu,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2013-03-15 18:50:00
14123192,Nov/07/2015 14:50,Temotoloraia,22D - Segments,GNU C++,Accepted,15 ms,100 KB,2015-11-07 14:50:00
18758146,Jun/27/2016 23:49,monster,22D - Segments,GNU C++,Accepted,15 ms,800 KB,2016-06-27 23:49:00
77434113,Apr/21/2020 08:58,ZUST-18ZZL,22D - Segments,GNU C++17,Accepted,31 ms,300 KB,2020-04-21 08:58:00
14339233,Nov/19/2015 12:08,guguli,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-11-19 12:08:00
58344966,Aug/05/2019 17:35,Laura_Cornei,22D - Segments,GNU C++14,Accepted,31 ms,100 KB,2019-08-05 17:35:00
47529933,Dec/26/2018 21:15,"Allame Helli 4 IOI: Nima324, sayin_ala#",22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2018-12-26 21:15:00
7289522,Jul/30/2014 08:45,kawazaki,22D - Segments,GNU C++,Accepted,30 ms,400 KB,2014-07-30 08:45:00
59237738,Aug/21/2019 21:09,SavicS,22D - Segments,GNU C++17,Accepted,30 ms,0 KB,2019-08-21 21:09:00
31910692,Oct/31/2017 07:58,Stronger2020,22D - Segments,GNU C++14,Accepted,15 ms,100 KB,2017-10-31 07:58:00
43591213,Sep/30/2018 05:04,Anachor,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2018-09-30 05:04:00
58333011,Aug/05/2019 13:13,vjudge1,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2019-08-05 13:13:00
62043538,Oct/07/2019 09:46,alan10086,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-10-07 09:46:00
49630250,Feb/08/2019 18:38,aapc_image,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-02-08 18:38:00
78547370,Apr/30/2020 11:23,cinnabar233,22D - Segments,GNU C++17,Accepted,30 ms,0 KB,2020-04-30 11:23:00
57082086,Jul/15/2019 10:33,StartDash,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2019-07-15 10:33:00
57182600,Jul/17/2019 10:44,qyx,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2019-07-17 10:44:00
6688657,May/23/2014 21:09,hyoussef,22D - Segments,GNU C++0x,Accepted,30 ms,0 KB,2014-05-23 21:09:00
63921867,Oct/31/2019 14:57,luogu_bot3,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-10-31 14:57:00
64461638,Nov/07/2019 13:35,Becky,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-11-07 13:35:00
4780447,Oct/14/2013 05:44,gaoxiao1988,22D - Segments,Python 2,Accepted,92 ms,300 KB,2013-10-14 05:44:00
67676091,Dec/27/2019 04:57,yyl2015,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2019-12-27 04:57:00
76314073,Apr/12/2020 13:03,utkarsh_kumar,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2020-04-12 13:03:00
94377,Jun/29/2010 19:51,* ft.azadi,22D - Segments,MS C++,Accepted,30 ms,1300 KB,2010-06-29 19:51:00
25066793,Feb/27/2017 03:26,rawr,22D - Segments,GNU C++14,Accepted,15 ms,1900 KB,2017-02-27 03:26:00
13871517,Oct/26/2015 15:09,saba_tavdgiridze,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-10-26 15:09:00
65394312,Nov/19/2019 21:28,Bleotiu,22D - Segments,GNU C++17,Accepted,31 ms,0 KB,2019-11-19 21:28:00
7681474,Sep/04/2014 15:49,E478,22D - Segments,GNU C++,Accepted,15 ms,100 KB,2014-09-04 15:49:00
10514295,Mar/29/2015 13:34,vjudge3,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-03-29 13:34:00
80078808,May/14/2020 17:29,vjudge5,22D - Segments,GNU C++11,Accepted,31 ms,3600 KB,2020-05-14 17:29:00
22684300,Dec/03/2016 22:43,Neroo,22D - Segments,GNU C++14,Accepted,15 ms,200 KB,2016-12-03 22:43:00
94987,Jun/29/2010 20:33,mavr,22D - Segments,FPC,Accepted,50 ms,1100 KB,2010-06-29 20:33:00
46665450,Dec/06/2018 04:06,C.D.A.D,22D - Segments,GNU C++11,Accepted,31 ms,900 KB,2018-12-06 04:06:00
25833072,Mar/27/2017 10:02,sicon54,22D - Segments,GNU C++14,Accepted,15 ms,2200 KB,2017-03-27 10:02:00
4173655,Jul/27/2013 09:56,moji,22D - Segments,GNU C++,Accepted,62 ms,0 KB,2013-07-27 09:56:00
4026241,Jul/05/2013 14:07,delta_4d,22D - Segments,GNU C++0x,Accepted,15 ms,0 KB,2013-07-05 14:07:00
5518726,Dec/25/2013 16:16,name,22D - Segments,GNU C++,Accepted,30 ms,0 KB,2013-12-25 16:16:00
39532999,Jun/23/2018 08:44,jimmy18,22D - Segments,GNU C++17,Accepted,30 ms,0 KB,2018-06-23 08:44:00
43814632,Oct/05/2018 07:14,pushpendra1997,22D - Segments,GNU C++17,Accepted,30 ms,200 KB,2018-10-05 07:14:00
12579805,Aug/17/2015 22:02,Navick,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-08-17 22:02:00
484729,Jun/10/2011 12:29,gustav,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2011-06-10 12:29:00
12579825,Aug/17/2015 22:04,vjudge5,22D - Segments,GNU C++,Accepted,31 ms,0 KB,2015-08-17 22:04:00
93950,Jun/29/2010 19:21,a20012251,22D - Segments,GNU C++,Accepted,30 ms,1300 KB,2010-06-29 19:21:00
18131446,May/28/2016 15:19,Mhammad1,22D - Segments,GNU C++11,Accepted,15 ms,2200 KB,2016-05-28 15:19:00
23545292,Jan/05/2017 02:19,Shayan,22D - Segments,GNU C++11,Accepted,15 ms,2100 KB,2017-01-05 02:19:00
