2785546,Dec/17/2012 11:32,daidailanlan,249D - Donkey and Stars,Python 2,Accepted,718 ms,20200 KB,2012-12-17 11:32:00
35840640,Mar/02/2018 17:21,______M______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 17:21:00
35842710,Mar/02/2018 17:58,______i______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 17:58:00
35842972,Mar/02/2018 18:04,______k______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 18:04:00
35843158,Mar/02/2018 18:06,______h______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 18:06:00
35854278,Mar/02/2018 22:38,_____k_____,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 22:38:00
35854299,Mar/02/2018 22:38,_____i_____,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 22:38:00
35854717,Mar/02/2018 22:47,______n______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 22:47:00
35855002,Mar/02/2018 22:52,______u______,249D - Donkey and Stars,Python 2,Accepted,996 ms,23600 KB,2018-03-02 22:52:00
57821738,Jul/27/2019 02:56,py_ultron,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,2400 KB,2019-07-27 02:56:00
41263472,Aug/06/2018 08:10,xymtxdy,249D - Donkey and Stars,GNU C++,Accepted,154 ms,2400 KB,2018-08-06 08:10:00
57898369,Jul/28/2019 17:35,lopare,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,2400 KB,2019-07-28 17:35:00
8597751,Nov/07/2014 04:31,ljcc,249D - Donkey and Stars,GNU C++,Accepted,124 ms,2300 KB,2014-11-07 04:31:00
14119191,Nov/07/2015 11:25,130705009,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2200 KB,2015-11-07 11:25:00
11528011,Jun/11/2015 08:22,zld3794955,249D - Donkey and Stars,GNU C++11,Accepted,92 ms,2400 KB,2015-06-11 08:22:00
