3502883,Apr/11/2013 14:13,daidailanlan,260D - Black and White Tree,Python 2,Accepted,875 ms,18500 KB,2013-04-11 14:13:00
35841566,Mar/02/2018 17:38,______M______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 17:38:00
35843576,Mar/02/2018 18:14,______i______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 18:14:00
35843838,Mar/02/2018 18:19,______k______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 18:19:00
35843985,Mar/02/2018 18:22,______h______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 18:22:00
35855111,Mar/02/2018 22:55,_____k_____,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 22:55:00
35855143,Mar/02/2018 22:56,_____i_____,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 22:56:00
35855604,Mar/02/2018 23:03,______n______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 23:03:00
35855892,Mar/02/2018 23:09,______u______,260D - Black and White Tree,Python 2,Accepted,607 ms,22700 KB,2018-03-02 23:09:00
3419855,Mar/29/2013 19:41,nealzane,260D - Black and White Tree,Python 2,Accepted,1109 ms,11300 KB,2013-03-29 19:41:00
58925182,Aug/16/2019 22:05,abhirock753,260D - Black and White Tree,Python 2,Accepted,685 ms,11200 KB,2019-08-16 22:05:00
2845723,Dec/28/2012 00:28,serega.belarus,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2012-12-28 00:28:00
2859267,Dec/30/2012 23:39,konstantanter,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2012-12-30 23:39:00
3085394,Feb/09/2013 09:06,ae23love#,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2013-02-09 09:06:00
3227017,Mar/01/2013 23:24,nikusha24,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2013-03-01 23:24:00
57897921,Jul/28/2019 17:23,lopare,260D - Black and White Tree,GNU C++11,Accepted,78 ms,600 KB,2019-07-28 17:23:00
2924479,Jan/14/2013 19:36,hariprasath,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2013-01-14 19:36:00
2844466,Dec/27/2012 21:59,lnminusone,260D - Black and White Tree,Python 2,Accepted,998 ms,11400 KB,2012-12-27 21:59:00
2853107,Dec/29/2012 14:29,hanfei19910905,260D - Black and White Tree,Python 2,Accepted,953 ms,11400 KB,2012-12-29 14:29:00
4173350,Jul/27/2013 09:09,acmzhy,260D - Black and White Tree,GNU C++,Accepted,342 ms,1400 KB,2013-07-27 09:09:00
12389850,Aug/06/2015 17:11,_Eren_,260D - Black and White Tree,GNU C++,Accepted,77 ms,1400 KB,2015-08-06 17:11:00
72308382,Mar/03/2020 16:47,vipghn2003,260D - Black and White Tree,GNU C++14,Accepted,109 ms,1400 KB,2020-03-03 16:47:00
3083420,Feb/08/2013 15:45,I_love_Malika,260D - Black and White Tree,Python 2,Accepted,781 ms,3400 KB,2013-02-08 15:45:00
40153126,Jul/10/2018 02:59,vjudge3,260D - Black and White Tree,GNU C++11,Accepted,78 ms,1600 KB,2018-07-10 02:59:00
2847283,Dec/28/2012 10:23,goooooooopan#,260D - Black and White Tree,Python 2,Accepted,750 ms,12900 KB,2012-12-28 10:23:00
35081789,Feb/09/2018 10:38,comalmot,260D - Black and White Tree,GNU C++14,Accepted,420 ms,3300 KB,2018-02-09 10:38:00
40153120,Jul/10/2018 02:58,PinkEx,260D - Black and White Tree,GNU C++14,Accepted,93 ms,1600 KB,2018-07-10 02:58:00
2847298,Dec/28/2012 10:29,goooooooopan#,260D - Black and White Tree,Python 2,Accepted,750 ms,12900 KB,2012-12-28 10:29:00
15095927,Dec/30/2015 14:17,ITDOI,260D - Black and White Tree,GNU C++11,Accepted,467 ms,3100 KB,2015-12-30 14:17:00
40100545,Jul/09/2018 07:47,vjudge3,260D - Black and White Tree,GNU C++,Accepted,78 ms,1600 KB,2018-07-09 07:47:00
