6858876,Jun/10/2014 15:55,nab#,416D - Population Size,Python 2,Accepted,280 ms,11200 KB,2014-06-10 15:55:00
35859490,Mar/03/2018 00:21,______M______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 00:21:00
35860985,Mar/03/2018 00:53,______i______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 00:53:00
35861510,Mar/03/2018 01:05,______h______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 01:05:00
35861524,Mar/03/2018 01:05,______k______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 01:05:00
35870171,Mar/03/2018 09:22,_____k_____,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 09:22:00
35870182,Mar/03/2018 09:22,_____i_____,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 09:22:00
35870752,Mar/03/2018 09:34,______n______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 09:34:00
35870978,Mar/03/2018 09:40,______u______,416D - Population Size,Python 2,Accepted,311 ms,15200 KB,2018-03-03 09:40:00
57819679,Jul/27/2019 01:04,py_ultron,416D - Population Size,GNU C++11,Accepted,420 ms,1600 KB,2019-07-27 01:04:00
26156812,Apr/05/2017 21:51,Meowl,416D - Population Size,GNU C++11,Accepted,546 ms,3600 KB,2017-04-05 21:51:00
57890802,Jul/28/2019 14:46,lopare,416D - Population Size,GNU C++11,Accepted,421 ms,1600 KB,2019-07-28 14:46:00
58502217,Aug/09/2019 17:48,zrmpaul,416D - Population Size,GNU C++11,Accepted,62 ms,1600 KB,2019-08-09 17:48:00
58502158,Aug/09/2019 17:46,zrmpaul,416D - Population Size,GNU C++11,Accepted,61 ms,1600 KB,2019-08-09 17:46:00
23985966,Jan/20/2017 13:26,gosaindhruv,416D - Population Size,GNU C++14,Accepted,389 ms,3400 KB,2017-01-20 13:26:00
76159633,Apr/10/2020 18:44,Dachim14,416D - Population Size,GNU C++14,Accepted,358 ms,1600 KB,2020-04-10 18:44:00
21713070,Oct/23/2016 16:01,Yougoslavie,416D - Population Size,GNU C++11,Accepted,530 ms,1600 KB,2016-10-23 16:01:00
58501705,Aug/09/2019 17:36,zrmpaul,416D - Population Size,GNU C++11,Accepted,62 ms,1600 KB,2019-08-09 17:36:00
13870519,Oct/26/2015 14:04,FST_master,416D - Population Size,GNU C++11,Accepted,452 ms,1600 KB,2015-10-26 14:04:00
22502384,Nov/26/2016 09:52,chzeze,416D - Population Size,GNU C,Accepted,61 ms,1600 KB,2016-11-26 09:52:00
22503150,Nov/26/2016 10:42,chzeze,416D - Population Size,GNU C++14,Accepted,390 ms,1600 KB,2016-11-26 10:42:00
