215733,Dec/10/2010 22:30,watashi,47D - Safe,Ruby,Accepted,4140 ms,20400 KB,2010-12-10 22:30:00
260262,Jan/23/2011 14:31,phoenixwright,47D - Safe,Python 2,Accepted,2380 ms,11000 KB,2011-01-23 14:31:00
260260,Jan/23/2011 14:30,phoenixwright,47D - Safe,Python 2,Accepted,2310 ms,11000 KB,2011-01-23 14:30:00
260264,Jan/23/2011 14:32,phoenixwright,47D - Safe,Python 2,Accepted,1420 ms,11000 KB,2011-01-23 14:32:00
215549,Dec/09/2010 03:10,zibada,47D - Safe,Python 2,Accepted,1230 ms,11000 KB,2010-12-09 03:10:00
215967,Dec/19/2010 16:45,slycelote,47D - Safe,Haskell,Accepted,550 ms,1500 KB,2010-12-19 16:45:00
260257,Jan/23/2011 14:28,phoenixwright,47D - Safe,Python 2,Accepted,2390 ms,12400 KB,2011-01-23 14:28:00
47825073,Jan/02/2019 00:30,WA3012,47D - Safe,Python 3,Accepted,1902 ms,11000 KB,2019-01-02 00:30:00
18904154,Jul/05/2016 19:15,mowji,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2016-07-05 19:15:00
3498901,Apr/10/2013 13:08,vjudge4,47D - Safe,GNU C++,Accepted,93 ms,0 KB,2013-04-10 13:08:00
57907113,Jul/28/2019 21:06,lopare,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2019-07-28 21:06:00
3498899,Apr/10/2013 13:07,vjudge2,47D - Safe,GNU C++,Accepted,93 ms,0 KB,2013-04-10 13:07:00
47595585,Dec/27/2018 21:19,moss3s,47D - Safe,Kotlin,Accepted,1900 ms,5700 KB,2018-12-27 21:19:00
5836534,Jan/30/2014 10:38,vjudge2,47D - Safe,GNU C++,Accepted,124 ms,0 KB,2014-01-30 10:38:00
7303400,Aug/01/2014 06:16,vjudge3,47D - Safe,GNU C++,Accepted,62 ms,0 KB,2014-08-01 06:16:00
215649,Dec/10/2010 06:58,KTR,47D - Safe,Haskell,Accepted,3440 ms,2600 KB,2010-12-10 06:58:00
215328,Dec/08/2010 10:27,vepifanov,47D - Safe,GNU C++,Accepted,970 ms,1300 KB,2010-12-08 10:27:00
