12429342,Aug/09/2015 22:09,johannesk,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,935 ms,15900 KB,2015-08-09 22:09:00
35873653,Mar/03/2018 10:34,______M______,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 10:34:00
35875320,Mar/03/2018 11:14,______i______,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 11:14:00
35882902,Mar/03/2018 15:45,______k______,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 15:45:00
35883269,Mar/03/2018 15:51,______h______,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 15:51:00
35887040,Mar/03/2018 16:57,_____i_____,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 16:57:00
35888550,Mar/03/2018 17:25,______n______,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 17:25:00
35893779,Mar/03/2018 19:07,_____k_____,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,888 ms,40200 KB,2018-03-03 19:07:00
13894427,Oct/27/2015 18:39,nealzane,567D - One-Dimensional Battle Ships,PyPy 2,Accepted,717 ms,13700 KB,2015-10-27 18:39:00
17363576,Apr/17/2016 15:04,wujuihsuan2016#,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,998 ms,38800 KB,2016-04-17 15:04:00
57817405,Jul/26/2019 23:31,py_ultron,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2019-07-26 23:31:00
12559337,Aug/16/2015 13:51,herkarlsson,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,155 ms,6300 KB,2015-08-16 13:51:00
57885020,Jul/28/2019 12:27,lopare,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2019-07-28 12:27:00
18640559,Jun/22/2016 08:16,nguyen.silver,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2016-06-22 08:16:00
31918179,Oct/31/2017 13:55,Ashkan_Zarkhah,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,155 ms,6300 KB,2017-10-31 13:55:00
12395671,Aug/07/2015 04:28,Erona,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,498 ms,6300 KB,2015-08-07 04:28:00
23386392,Dec/28/2016 23:24,blackflag777,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,530 ms,8300 KB,2016-12-28 23:24:00
12414128,Aug/08/2015 15:02,Al.Cash,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-08 15:02:00
36797907,Apr/01/2018 15:31,vjudge5,567D - One-Dimensional Battle Ships,GNU C++,Accepted,468 ms,9700 KB,2018-04-01 15:31:00
12384735,Aug/06/2015 11:20,SerVasilich,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-06 11:20:00
12385870,Aug/06/2015 12:28,someone23,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-06 12:28:00
32241174,Nov/12/2017 13:56,realcomplex,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,171 ms,6400 KB,2017-11-12 13:56:00
12389232,Aug/06/2015 16:25,fands,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,6300 KB,2015-08-06 16:25:00
12395605,Aug/07/2015 04:12,sky_fire,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,451 ms,6300 KB,2015-08-07 04:12:00
13414879,Oct/05/2015 14:47,vanogam,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-10-05 14:47:00
12985328,Sep/13/2015 18:11,chudak,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-09-13 18:11:00
21509281,Oct/17/2016 04:17,zhanglexing,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,8300 KB,2016-10-17 04:17:00
13190069,Sep/23/2015 18:15,m.Sina,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,280 ms,6300 KB,2015-09-23 18:15:00
12401992,Aug/07/2015 15:07,shr_320,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,6300 KB,2015-08-07 15:07:00
12384472,Aug/06/2015 11:05,SerVasilich,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,514 ms,6300 KB,2015-08-06 11:05:00
12693644,Aug/25/2015 12:15,neerajbattan,567D - One-Dimensional Battle Ships,GNU C++,Accepted,467 ms,6300 KB,2015-08-25 12:15:00
12809671,Sep/02/2015 04:54,ZaymMarzuki,567D - One-Dimensional Battle Ships,GNU C++,Accepted,452 ms,6300 KB,2015-09-02 04:54:00
35542216,Feb/21/2018 11:54,giovannihsu123,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,8400 KB,2018-02-21 11:54:00
