33139747,Dec/12/2017 00:41,yugle7,601B - Lipshitz Sequence,PyPy 3,Accepted,733 ms,34300 KB,2017-12-12 00:41:00
35883243,Mar/03/2018 15:50,______M______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 15:50:00
35885126,Mar/03/2018 16:22,______i______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 16:22:00
35885994,Mar/03/2018 16:38,______k______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 16:38:00
35886633,Mar/03/2018 16:50,______h______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 16:50:00
35894844,Mar/03/2018 19:30,_____i_____,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 19:30:00
35895084,Mar/03/2018 19:35,______u______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 19:35:00
35895169,Mar/03/2018 19:36,______n______,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 19:36:00
35895769,Mar/03/2018 19:52,_____k_____,601B - Lipshitz Sequence,PyPy 3,Accepted,608 ms,32600 KB,2018-03-03 19:52:00
57816714,Jul/26/2019 23:07,py_ultron,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1600 KB,2019-07-26 23:07:00
49899032,Feb/14/2019 11:23,vjudge4,601B - Lipshitz Sequence,GNU C++17,Accepted,62 ms,1600 KB,2019-02-14 11:23:00
57883569,Jul/28/2019 11:52,lopare,601B - Lipshitz Sequence,GNU C++11,Accepted,46 ms,1600 KB,2019-07-28 11:52:00
49901046,Feb/14/2019 12:22,C2o19362o,601B - Lipshitz Sequence,GNU C++11,Accepted,77 ms,1600 KB,2019-02-14 12:22:00
28107291,Jun/28/2017 06:45,vjudge2,602D - Lipshitz Sequence,GNU C++,Accepted,109 ms,3600 KB,2017-06-28 06:45:00
32075436,Nov/05/2017 14:59,TadijaSebez,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1400 KB,2017-11-05 14:59:00
14470108,Nov/25/2015 16:34,rqgao2014,601B - Lipshitz Sequence,GNU C++,Accepted,93 ms,1400 KB,2015-11-25 16:34:00
30364132,Sep/15/2017 16:32,vjudge5,602D - Lipshitz Sequence,GNU C++,Accepted,93 ms,1400 KB,2017-09-15 16:32:00
73544199,Mar/18/2020 09:38,zzctommy,601B - Lipshitz Sequence,GNU C++11,Accepted,78 ms,2000 KB,2020-03-18 09:38:00
14449697,Nov/24/2015 20:20,aaaaajack,601B - Lipshitz Sequence,GNU C++,Accepted,77 ms,600 KB,2015-11-24 20:20:00
14464430,Nov/25/2015 10:31,grothendieck,601B - Lipshitz Sequence,GNU C++11,Accepted,77 ms,600 KB,2015-11-25 10:31:00
16829687,Mar/20/2016 04:36,freebsdx,601B - Lipshitz Sequence,GNU C++11,Accepted,77 ms,2600 KB,2016-03-20 04:36:00
14550765,Nov/29/2015 05:32,130705009,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,600 KB,2015-11-29 05:32:00
73544229,Mar/18/2020 09:38,vjudge3,602D - Lipshitz Sequence,GNU C++14,Accepted,78 ms,2000 KB,2020-03-18 09:38:00
21982389,Nov/02/2016 08:17,Tzn-40,601B - Lipshitz Sequence,GNU C++,Accepted,124 ms,2000 KB,2016-11-02 08:17:00
73620125,Mar/19/2020 06:35,vjudge5,602D - Lipshitz Sequence,GNU C++17,Accepted,77 ms,800 KB,2020-03-19 06:35:00
14447420,Nov/24/2015 20:02,zld3794955,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1200 KB,2015-11-24 20:02:00
14734492,Dec/09/2015 22:26,bluefi,601B - Lipshitz Sequence,GNU C++,Accepted,280 ms,3100 KB,2015-12-09 22:26:00
28006576,Jun/24/2017 16:59,vjudge3,602D - Lipshitz Sequence,GNU C++,Accepted,93 ms,3400 KB,2017-06-24 16:59:00
24821330,Feb/20/2017 14:57,acwaterbio,602D - Lipshitz Sequence,GNU C++,Accepted,124 ms,3700 KB,2017-02-20 14:57:00
24821410,Feb/20/2017 15:00,acwaterbio,602D - Lipshitz Sequence,GNU C++,Accepted,78 ms,3300 KB,2017-02-20 15:00:00
29477803,Aug/15/2017 12:29,lllllllllllllllllllllll,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,3000 KB,2017-08-15 12:29:00
