16948946,Mar/26/2016 11:23,Vosatorp,649D - Дефрагментация памяти,PyPy 3,Accepted,280 ms,37700 KB,2016-03-26 11:23:00
16947159,Mar/26/2016 10:42,* Aphanasiy,649D - Дефрагментация памяти,Python 3,Accepted,404 ms,33900 KB,2016-03-26 10:42:00
16946591,Mar/26/2016 10:28,* maxplus,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,3600 KB,2016-03-26 10:28:00
16949697,Mar/26/2016 11:42,Rahmandretop,649D - Дефрагментация памяти,Python 3,Accepted,420 ms,27000 KB,2016-03-26 11:42:00
16947918,Mar/26/2016 11:00,xmm_,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,3200 KB,2016-03-26 11:00:00
16946664,Mar/26/2016 10:30,hey_boris,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,2800 KB,2016-03-26 10:30:00
16949101,Mar/26/2016 11:27,Southernair,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,2800 KB,2016-03-26 11:27:00
16948532,Mar/26/2016 11:14,fivut,649D - Дефрагментация памяти,FPC,Accepted,46 ms,3100 KB,2016-03-26 11:14:00
16948459,Mar/26/2016 11:12,koloshmet,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,4300 KB,2016-03-26 11:12:00
16946631,Mar/26/2016 10:29,s-lissov,649D - Дефрагментация памяти,Python 3,Accepted,811 ms,28100 KB,2016-03-26 10:29:00
16949027,Mar/26/2016 11:25,* f1u77y,649D - Дефрагментация памяти,GNU C++11,Accepted,436 ms,2800 KB,2016-03-26 11:25:00
16949634,Mar/26/2016 11:40,lesswrong,649D - Дефрагментация памяти,GNU C++,Accepted,436 ms,12700 KB,2016-03-26 11:40:00
16948790,Mar/26/2016 11:20,ogree,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,5100 KB,2016-03-26 11:20:00
16947800,Mar/26/2016 10:57,Alex_PKZDL,649D - Дефрагментация памяти,GNU C++11,Accepted,373 ms,5900 KB,2016-03-26 10:57:00
