17967838,May/17/2016 16:42,SerVasilich,675D - Дерево,Python 3,Accepted,1356 ms,20800 KB,2016-05-17 16:42:00
57815252,Jul/26/2019 22:19,py_ultron,675D - Дерево,GNU C++11,Accepted,467 ms,3200 KB,2019-07-26 22:19:00
18055001,May/24/2016 15:19,patrickg,675D - Дерево,GNU C++11,Accepted,592 ms,5200 KB,2016-05-24 15:19:00
57880727,Jul/28/2019 10:39,lopare,675D - Дерево,GNU C++11,Accepted,452 ms,3200 KB,2019-07-28 10:39:00
68930591,Jan/16/2020 14:14,luogu_bot4,675D - Дерево,GNU C++14,Accepted,514 ms,3300 KB,2020-01-16 14:14:00
17959101,May/17/2016 05:35,johannesk,675D - Дерево,GNU C++11,Accepted,655 ms,5300 KB,2016-05-17 05:35:00
18050232,May/24/2016 07:07,zeosutt,675D - Дерево,GNU C++11,Accepted,592 ms,5300 KB,2016-05-24 07:07:00
79623531,May/10/2020 10:01,noipak,675D - Дерево,GNU C++11,Accepted,93 ms,7000 KB,2020-05-10 10:01:00
40581004,Jul/20/2018 17:22,luogu_bot5,675D - Дерево,GNU C++11,Accepted,514 ms,3200 KB,2018-07-20 17:22:00
25305754,Mar/07/2017 04:18,ysl6.626,675D - Дерево,GNU C++14,Accepted,561 ms,8300 KB,2017-03-07 04:18:00
17943288,May/16/2016 20:09,Flandr.Scarlet,675D - Дерево,GNU C++11,Accepted,108 ms,5300 KB,2016-05-16 20:09:00
17980992,May/18/2016 17:08,kliu31415,675D - Дерево,GNU C++11,Accepted,545 ms,5300 KB,2016-05-18 17:08:00
18271885,Jun/06/2016 17:41,ahmedAbuamra,675D - Дерево,GNU C++,Accepted,701 ms,8500 KB,2016-06-06 17:41:00
21223758,Oct/06/2016 03:54,Steven_Chen,675D - Дерево,GNU C++14,Accepted,140 ms,6400 KB,2016-10-06 03:54:00
18050243,May/24/2016 07:08,zeosutt,675D - Дерево,GNU C++11,Accepted,187 ms,5300 KB,2016-05-24 07:08:00
40918234,Jul/29/2018 16:03,DoaaWael,675D - Дерево,GNU C++17,Accepted,124 ms,6400 KB,2018-07-29 16:03:00
68960460,Jan/17/2020 03:08,luogu_bot5,675D - Дерево,GNU C++14,Accepted,530 ms,3500 KB,2020-01-17 03:08:00
17962185,May/17/2016 10:29,Hackrxer,675D - Дерево,GNU C++11,Accepted,561 ms,5300 KB,2016-05-17 10:29:00
23920738,Jan/18/2017 14:44,luka25,675D - Дерево,GNU C++14,Accepted,717 ms,8300 KB,2017-01-18 14:44:00
38202304,May/14/2018 02:04,chetan52720,675D - Дерево,GNU C++14,Accepted,468 ms,6600 KB,2018-05-14 02:04:00
18043002,May/23/2016 14:55,Yassincpp,675D - Дерево,GNU C++11,Accepted,702 ms,5700 KB,2016-05-23 14:55:00
29809915,Aug/26/2017 18:45,Momentum,675D - Дерево,GNU C++14,Accepted,124 ms,6500 KB,2017-08-26 18:45:00
18041262,May/23/2016 12:06,zjhl2,675D - Дерево,GNU C++11,Accepted,732 ms,5700 KB,2016-05-23 12:06:00
