20626670,Sep/14/2016 22:54,cielavenir,713B - Searching Rectangles,Ruby,Accepted,77 ms,100 KB,2016-09-14 22:54:00
21647357,Oct/21/2016 19:41,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-21 19:41:00
57879253,Jul/28/2019 09:59,lopare,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 09:59:00
21647231,Oct/21/2016 19:36,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-21 19:36:00
21647192,Oct/21/2016 19:35,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-10-21 19:35:00
21647141,Oct/21/2016 19:33,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,46 ms,0 KB,2016-10-21 19:33:00
21715988,Oct/23/2016 18:23,tcchung,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-23 18:23:00
21647072,Oct/21/2016 19:30,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-10-21 19:30:00
27776056,Jun/14/2017 18:43,nutella228#,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-06-14 18:43:00
20644410,Sep/15/2016 19:42,llgyc,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 19:42:00
20644485,Sep/15/2016 19:45,llgyc,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 19:45:00
26331916,Apr/13/2017 09:22,Enigma_Inu,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,1900 KB,2017-04-13 09:22:00
20644381,Sep/15/2016 19:41,llgyc,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 19:41:00
22147465,Nov/10/2016 15:05,014-12183-09-Adil,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-11-10 15:05:00
21646992,Oct/21/2016 19:26,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-10-21 19:26:00
20782598,Sep/20/2016 21:17,rpk74m,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-20 21:17:00
32420452,Nov/18/2017 07:48,beka00,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-11-18 07:48:00
21645842,Oct/21/2016 18:39,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-21 18:39:00
21646873,Oct/21/2016 19:21,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-10-21 19:21:00
72414683,Mar/04/2020 15:59,bujunianyadexianhuo,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-03-04 15:59:00
73849324,Mar/21/2020 06:58,CaiJiZXY,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-03-21 06:58:00
35189945,Feb/13/2018 04:23,-w-#,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,1900 KB,2018-02-13 04:23:00
20725860,Sep/18/2016 09:09,zhanglexing,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-18 09:09:00
21643968,Oct/21/2016 17:21,ian9696,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-21 17:21:00
22062689,Nov/05/2016 21:26,mutreta,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-11-05 21:26:00
65054800,Nov/15/2019 17:41,user202729_#,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2019-11-15 17:41:00
20586635,Sep/13/2016 20:29,Jatana,713B - Searching Rectangles,Python 3,Accepted,62 ms,300 KB,2016-09-13 20:29:00
23418342,Dec/30/2016 14:49,aufeas,713B - Searching Rectangles,GNU C++,Accepted,31 ms,2000 KB,2016-12-30 14:49:00
74513841,Mar/27/2020 02:41,GioChkhaidze,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2020-03-27 02:41:00
20630589,Sep/15/2016 06:00,bluefi,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-15 06:00:00
20766727,Sep/20/2016 04:13,Steven_Chen,714D - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-20 04:13:00
30369200,Sep/15/2017 20:45,DeadPillow,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-09-15 20:45:00
49667752,Feb/09/2019 18:15,OrangE_3,713B - Searching Rectangles,GNU C++17,Accepted,46 ms,200 KB,2019-02-09 18:15:00
20677090,Sep/17/2016 11:57,rterte,714D - Searching Rectangles,FPC,Accepted,15 ms,0 KB,2016-09-17 11:57:00
20644512,Sep/15/2016 19:46,llgyc,714D - Searching Rectangles,FPC,Accepted,15 ms,0 KB,2016-09-15 19:46:00
20583699,Sep/13/2016 20:16,vanogam,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:16:00
34988764,Feb/07/2018 08:28,Turkey,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,1800 KB,2018-02-07 08:28:00
27826304,Jun/16/2017 16:39,Tdop,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-06-16 16:39:00
49197500,Jan/30/2019 14:07,vjudge4,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,400 KB,2019-01-30 14:07:00
74519041,Mar/27/2020 05:20,geneanlyz#,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-03-27 05:20:00
20649840,Sep/16/2016 01:42,flm8620,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-16 01:42:00
23014281,Dec/15/2016 20:48,yancouto#,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-12-15 20:48:00
20592995,Sep/13/2016 21:10,consecutivelimit,713B - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-13 21:10:00
20959114,Sep/28/2016 05:55,cxaphoenix,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-28 05:55:00
20772822,Sep/20/2016 13:22,jyuno426,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-20 13:22:00
21224224,Oct/06/2016 04:50,Xin-Jie,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-06 04:50:00
23516833,Jan/03/2017 16:07,smeke#,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,1900 KB,2017-01-03 16:07:00
20816295,Sep/22/2016 15:04,Tzn-40,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-22 15:04:00
20630504,Sep/15/2016 05:48,bluefi,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-15 05:48:00
71168885,Feb/15/2020 19:09,blackcoffee,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-02-15 19:09:00
20767657,Sep/20/2016 06:17,RedBowtie,714D - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-20 06:17:00
20597686,Sep/13/2016 22:50,Klungs,714D - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-13 22:50:00
20582210,Sep/13/2016 20:10,csehydrogen,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:10:00
20587948,Sep/13/2016 20:36,tun,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-13 20:36:00
27009814,May/11/2017 13:05,RNS3,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-05-11 13:05:00
22512482,Nov/26/2016 18:44,theodor.moroianu,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-11-26 18:44:00
27828036,Jun/16/2017 18:02,awatjkim,714D - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2017-06-16 18:02:00
20583078,Sep/13/2016 20:13,Ra16bit,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:13:00
20901648,Sep/25/2016 09:20,ankiteciitkgp,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-25 09:20:00
20993433,Sep/29/2016 16:27,ManiSadati,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-29 16:27:00
20615669,Sep/14/2016 16:30,iamexist,714D - Searching Rectangles,MS C++,Accepted,15 ms,0 KB,2016-09-14 16:30:00
20630760,Sep/15/2016 06:22,SGZW,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-15 06:22:00
23416505,Dec/30/2016 12:50,Vladyslav,713B - Searching Rectangles,GNU C++14,Accepted,30 ms,1900 KB,2016-12-30 12:50:00
20778768,Sep/20/2016 17:55,sagitta,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-20 17:55:00
22204308,Nov/14/2016 11:22,Philipsweng#,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,100 KB,2016-11-14 11:22:00
27340895,May/25/2017 19:25,vjudge5,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-25 19:25:00
20609088,Sep/14/2016 11:09,452660407,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,143800 KB,2016-09-14 11:09:00
35190131,Feb/13/2018 04:59,laugher#,713B - Searching Rectangles,GNU C++,Accepted,15 ms,1800 KB,2018-02-13 04:59:00
78402850,Apr/28/2020 19:04,peti1234,714D - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2020-04-28 19:04:00
20622579,Sep/14/2016 19:37,widelec,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 19:37:00
47506540,Dec/26/2018 04:05,markotee,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2018-12-26 04:05:00
20614754,Sep/14/2016 16:04,OnionPringles,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-09-14 16:04:00
26654103,Apr/25/2017 09:30,Herrwerner,714D - Searching Rectangles,GNU C++,Accepted,15 ms,1900 KB,2017-04-25 09:30:00
22694263,Dec/04/2016 14:12,krishnkant_,714D - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-12-04 14:12:00
61737177,Oct/02/2019 21:39,Anachor,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2019-10-02 21:39:00
20599226,Sep/13/2016 23:29,faiface,714D - Searching Rectangles,Go,Accepted,31 ms,0 KB,2016-09-13 23:29:00
27340762,May/25/2017 19:18,ccw630,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-25 19:18:00
45503879,Nov/10/2018 12:14,__ShaW,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-11-10 12:14:00
