32733451,Nov/27/2017 22:07,yugle7,721D - Maxim and Array,Python 3,Accepted,1684 ms,32100 KB,2017-11-27 22:07:00
57814104,Jul/26/2019 21:48,py_ultron,721D - Maxim and Array,GNU C++11,Accepted,717 ms,9500 KB,2019-07-26 21:48:00
65918729,Nov/28/2019 18:34,cs71107,721D - Maxim and Array,GNU C++11,Accepted,748 ms,9500 KB,2019-11-28 18:34:00
68554714,Jan/10/2020 19:36,AgonyXcalibur,721D - Maxim and Array,GNU C++17,Accepted,577 ms,9600 KB,2020-01-10 19:36:00
21373146,Oct/12/2016 07:37,gahou,721D - Maxim and Array,Python 2,Accepted,1294 ms,32900 KB,2016-10-12 07:37:00
21054528,Oct/01/2016 05:33,llgyc,721D - Maxim and Array,GNU C++11,Accepted,218 ms,2400 KB,2016-10-01 05:33:00
21116719,Oct/02/2016 16:59,Wuvin,721D - Maxim and Array,GNU C++11,Accepted,187 ms,2400 KB,2016-10-02 16:59:00
26334928,Apr/13/2017 13:45,Enigma_Inu,721D - Maxim and Array,GNU C++14,Accepted,280 ms,4200 KB,2017-04-13 13:45:00
51047188,Mar/08/2019 22:11,BaharErdalYilmaz,721D - Maxim and Array,GNU C++14,Accepted,187 ms,2400 KB,2019-03-08 22:11:00
23374694,Dec/28/2016 12:45,Ali.Pi,721D - Maxim and Array,GNU C++14,Accepted,202 ms,4200 KB,2016-12-28 12:45:00
21175914,Oct/04/2016 04:17,RedBowtie,721D - Maxim and Array,GNU C++,Accepted,217 ms,2900 KB,2016-10-04 04:17:00
21070318,Oct/01/2016 16:39,rpk74m,721D - Maxim and Array,GNU C++14,Accepted,265 ms,9500 KB,2016-10-01 16:39:00
22995249,Dec/15/2016 04:33,_yxg123,721D - Maxim and Array,GNU C++14,Accepted,701 ms,9600 KB,2016-12-15 04:33:00
23825844,Jan/15/2017 01:26,shruti_gupta,721D - Maxim and Array,GNU C++11,Accepted,842 ms,17800 KB,2017-01-15 01:26:00
28258961,Jul/03/2017 18:04,rawatds,721D - Maxim and Array,GNU C++14,Accepted,577 ms,11500 KB,2017-07-03 18:04:00
57878972,Jul/28/2019 09:52,lopare,721D - Maxim and Array,GNU C++11,Accepted,717 ms,9500 KB,2019-07-28 09:52:00
43691607,Oct/02/2018 17:34,KevinWan,721D - Maxim and Array,GNU C++17,Accepted,202 ms,7800 KB,2018-10-02 17:34:00
21092626,Oct/01/2016 19:41,rpk74m,721D - Maxim and Array,GNU C++14,Accepted,202 ms,7700 KB,2016-10-01 19:41:00
25945900,Mar/30/2017 11:47,vjudge2,721D - Maxim and Array,GNU C++11,Accepted,186 ms,9600 KB,2017-03-30 11:47:00
55747983,Jun/19/2019 14:07,scientificuber,721D - Maxim and Array,GNU C++14,Accepted,545 ms,15900 KB,2019-06-19 14:07:00
