34273676,Jan/18/2018 14:02,yugle7,785D - Anton and School - 2,Python 3,Accepted,1887 ms,15200 KB,2018-01-18 14:02:00
25681188,Mar/21/2017 09:25,179000,785D - Anton and School - 2,GNU C++11,Accepted,155 ms,4200 KB,2017-03-21 09:25:00
26716925,Apr/28/2017 13:16,Enigma_Inu,785D - Anton and School - 2,GNU C++14,Accepted,140 ms,3900 KB,2017-04-28 13:16:00
57770063,Jul/26/2019 02:44,py_ultron,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,2100 KB,2019-07-26 02:44:00
25676887,Mar/21/2017 00:18,179000,785D - Anton and School - 2,GNU C++11,Accepted,140 ms,4100 KB,2017-03-21 00:18:00
25676723,Mar/21/2017 00:05,179000,785D - Anton and School - 2,GNU C++11,Accepted,140 ms,4100 KB,2017-03-21 00:05:00
57875115,Jul/28/2019 07:45,lopare,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,2100 KB,2019-07-28 07:45:00
38544987,May/22/2018 22:16,abrunoaa,785D - Anton and School - 2,Python 3,Accepted,1918 ms,9200 KB,2018-05-22 22:16:00
38545010,May/22/2018 22:17,abrunoaa,785D - Anton and School - 2,Python 3,Accepted,1871 ms,9200 KB,2018-05-22 22:17:00
25519711,Mar/15/2017 19:20,* ditoly,785D - Anton and School - 2,GNU C++11,Accepted,30 ms,3600 KB,2017-03-15 19:20:00
29627066,Aug/20/2017 20:42,DeadPillow,785D - Anton and School - 2,Python 3,Accepted,623 ms,14200 KB,2017-08-20 20:42:00
25550889,Mar/16/2017 16:52,zhyx#,785D - Anton and School - 2,GNU C++,Accepted,31 ms,3600 KB,2017-03-16 16:52:00
25648317,Mar/19/2017 17:22,zeinsakkour2001#,785D - Anton and School - 2,GNU C++,Accepted,30 ms,3600 KB,2017-03-19 17:22:00
40624746,Jul/22/2018 08:11,newgate,785D - Anton and School - 2,GNU C++14,Accepted,46 ms,1800 KB,2018-07-22 08:11:00
25769524,Mar/24/2017 13:40,YakutovDmitriy,785D - Anton and School - 2,Python 3,Accepted,639 ms,18800 KB,2017-03-24 13:40:00
25579243,Mar/17/2017 20:12,fantasier,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,3600 KB,2017-03-17 20:12:00
