27744129,Jun/12/2017 22:42,Yash_,798D - Mike and distribution,PyPy 2,Accepted,872 ms,11600 KB,2017-06-12 22:42:00
41091463,Aug/01/2018 19:53,Ali_Pi#,798D - Mike and distribution,Python 2,Accepted,451 ms,10100 KB,2018-08-01 19:53:00
26567353,Apr/21/2017 22:27,Xris,798D - Mike and distribution,Python 3,Accepted,467 ms,24500 KB,2017-04-21 22:27:00
26566844,Apr/21/2017 22:02,JHSN,798D - Mike and distribution,Python 3,Accepted,467 ms,25200 KB,2017-04-21 22:02:00
26594566,Apr/23/2017 06:39,phirasit,798D - Mike and distribution,Ruby,Accepted,545 ms,28100 KB,2017-04-23 06:39:00
26819013,May/03/2017 15:52,huythanhlqd123,798D - Mike and distribution,Python 3,Accepted,467 ms,24500 KB,2017-05-03 15:52:00
57769904,Jul/26/2019 02:36,py_ultron,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-07-26 02:36:00
26901366,May/06/2017 15:40,sonya123,798D - Mike and distribution,Python 3,Accepted,436 ms,13300 KB,2017-05-06 15:40:00
26574318,Apr/22/2017 07:24,acesine,798D - Mike and distribution,Python 3,Accepted,374 ms,19100 KB,2017-04-22 07:24:00
27269545,May/21/2017 18:04,wwang,798D - Mike and distribution,Python 3,Accepted,358 ms,10500 KB,2017-05-21 18:04:00
26901189,May/06/2017 15:32,sonya123,798D - Mike and distribution,Python 3,Accepted,436 ms,13000 KB,2017-05-06 15:32:00
36437836,Mar/20/2018 19:22,abhicodesm,798D - Mike and distribution,GNU C++14,Accepted,390 ms,4500 KB,2018-03-20 19:22:00
57874775,Jul/28/2019 07:31,lopare,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-07-28 07:31:00
26750732,Apr/29/2017 17:38,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,3200 KB,2017-04-29 17:38:00
27090472,May/13/2017 16:38,vjudge4,798D - Mike and distribution,GNU C++,Accepted,62 ms,1200 KB,2017-05-13 16:38:00
67669459,Dec/26/2019 22:29,-Apprentice-,798D - Mike and distribution,GNU C++17,Accepted,358 ms,11700 KB,2019-12-26 22:29:00
26600339,Apr/23/2017 12:39,ZYF1024,798D - Mike and distribution,GNU C++11,Accepted,451 ms,3000 KB,2017-04-23 12:39:00
40567025,Jul/20/2018 09:10,shivsharmastr,798D - Mike and distribution,GNU C++14,Accepted,405 ms,1200 KB,2018-07-20 09:10:00
37882422,May/04/2018 15:17,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,4700 KB,2018-05-04 15:17:00
54265161,May/17/2019 08:25,vjudge2,798D - Mike and distribution,GNU C++11,Accepted,451 ms,1200 KB,2019-05-17 08:25:00
26631026,Apr/24/2017 03:59,zhan8855,798D - Mike and distribution,GNU C++,Accepted,62 ms,3300 KB,2017-04-24 03:59:00
26600268,Apr/23/2017 12:35,ZYF1024,798D - Mike and distribution,GNU C++11,Accepted,421 ms,3000 KB,2017-04-23 12:35:00
26571002,Apr/22/2017 03:10,0w1,798D - Mike and distribution,PyPy 3,Accepted,1918 ms,36300 KB,2017-04-22 03:10:00
27176079,May/17/2017 12:25,free_001,798D - Mike and distribution,GNU C++11,Accepted,93 ms,1200 KB,2017-05-17 12:25:00
54281153,May/17/2019 16:28,luogu_bot4,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-05-17 16:28:00
30676738,Sep/24/2017 18:16,lerka,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1000 KB,2017-09-24 18:16:00
26900975,May/06/2017 15:22,sonya123,798D - Mike and distribution,Python 3,Accepted,405 ms,13000 KB,2017-05-06 15:22:00
28252699,Jul/03/2017 13:44,Miloris#,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3000 KB,2017-07-03 13:44:00
29254750,Aug/07/2017 09:12,gyyhope,798D - Mike and distribution,GNU C++,Accepted,483 ms,3200 KB,2017-08-07 09:12:00
29918247,Aug/30/2017 16:21,ASSWECAN,798D - Mike and distribution,GNU C++14,Accepted,77 ms,1200 KB,2017-08-30 16:21:00
54265062,May/17/2019 08:21,vjudge2,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-05-17 08:21:00
26569482,Apr/22/2017 00:32,simonmysun,798D - Mike and distribution,JavaScript,Accepted,202 ms,36500 KB,2017-04-22 00:32:00
45342400,Nov/06/2018 01:14,mohammedehab2002,798D - Mike and distribution,GNU C++14,Accepted,78 ms,1200 KB,2018-11-06 01:14:00
36356286,Mar/17/2018 17:10,vjudge3,798D - Mike and distribution,GNU C++,Accepted,78 ms,4700 KB,2018-03-17 17:10:00
26647815,Apr/24/2017 22:24,mutreta,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3200 KB,2017-04-24 22:24:00
28456121,Jul/12/2017 02:59,wilson.ho,798D - Mike and distribution,GNU C++14,Accepted,405 ms,3500 KB,2017-07-12 02:59:00
41928885,Aug/21/2018 11:55,vjudge3,798D - Mike and distribution,GNU C++11,Accepted,498 ms,1200 KB,2018-08-21 11:55:00
26579672,Apr/22/2017 12:23,0w1,798D - Mike and distribution,PyPy 3,Accepted,982 ms,38400 KB,2017-04-22 12:23:00
26591854,Apr/23/2017 00:22,Vasilevich,798D - Mike and distribution,GNU C++11,Accepted,483 ms,3800 KB,2017-04-23 00:22:00
45198364,Nov/02/2018 11:35,luogu_bot3,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2018-11-02 11:35:00
45198419,Nov/02/2018 11:37,vjudge5,798D - Mike and distribution,MS C++,Accepted,77 ms,1200 KB,2018-11-02 11:37:00
37735848,Apr/30/2018 03:18,vjudge3,798D - Mike and distribution,GNU C++,Accepted,62 ms,4800 KB,2018-04-30 03:18:00
26767842,Apr/30/2017 15:47,bblss135,798D - Mike and distribution,GNU C++11,Accepted,77 ms,4100 KB,2017-04-30 15:47:00
36187135,Mar/11/2018 08:44,vjudge2,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3000 KB,2018-03-11 08:44:00
54260466,May/17/2019 03:55,vjudge3,798D - Mike and distribution,GNU C++11,Accepted,93 ms,1600 KB,2019-05-17 03:55:00
26607978,Apr/23/2017 17:57,silence401,798D - Mike and distribution,GNU C++11,Accepted,483 ms,3200 KB,2017-04-23 17:57:00
37697903,Apr/29/2018 04:50,vjudge2,798D - Mike and distribution,GNU C++,Accepted,77 ms,4600 KB,2018-04-29 04:50:00
70622286,Feb/09/2020 14:59,AC_AR,798D - Mike and distribution,GNU C++17,Accepted,77 ms,1200 KB,2020-02-09 14:59:00
48082960,Jan/08/2019 12:14,vjudge2,798D - Mike and distribution,GNU C++17,Accepted,78 ms,1800 KB,2019-01-08 12:14:00
54281239,May/17/2019 16:30,luogu_bot2,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-05-17 16:30:00
36339635,Mar/17/2018 05:08,vjudge1,798D - Mike and distribution,GNU C++,Accepted,77 ms,4400 KB,2018-03-17 05:08:00
27660659,Jun/08/2017 03:41,I_Love_Umirzhanova_Amina,798D - Mike and distribution,GNU C++14,Accepted,93 ms,1200 KB,2017-06-08 03:41:00
59271268,Aug/22/2019 15:48,vjudge4,798D - Mike and distribution,MS C++,Accepted,202 ms,1600 KB,2019-08-22 15:48:00
26883107,May/05/2017 17:44,liangziqi,798D - Mike and distribution,GNU C++11,Accepted,61 ms,1600 KB,2017-05-05 17:44:00
27101355,May/14/2017 08:58,Xiaodongdong,798D - Mike and distribution,GNU C++14,Accepted,93 ms,1200 KB,2017-05-14 08:58:00
28121818,Jun/28/2017 16:57,vjudge3,798D - Mike and distribution,GNU C++,Accepted,62 ms,3200 KB,2017-06-28 16:57:00
26575041,Apr/22/2017 08:13,rawr,798D - Mike and distribution,GNU C++14,Accepted,763 ms,5000 KB,2017-04-22 08:13:00
26584041,Apr/22/2017 15:59,halfyarn,798D - Mike and distribution,GNU C++11,Accepted,436 ms,4400 KB,2017-04-22 15:59:00
44036909,Oct/09/2018 16:13,DeaphetS,798D - Mike and distribution,GNU C++11,Accepted,78 ms,2800 KB,2018-10-09 16:13:00
26643670,Apr/24/2017 18:04,daminho,798D - Mike and distribution,GNU C++14,Accepted,764 ms,5000 KB,2017-04-24 18:04:00
59271615,Aug/22/2019 15:57,vjudge2,798D - Mike and distribution,MS C++,Accepted,202 ms,11800 KB,2019-08-22 15:57:00
